outcome,stage,learner,modality,mean,sd,draws,k,reg,mean_platt,slope,slope_platt,brier,brier_platt,vs_125
death_30d_inhosp,A,l2,ehr,0.8687344354882505,0.011650724930483403,,,,,,,,,
death_30d_inhosp,A,l2,ecg,0.7139931264012909,0.012307308027433194,,,,,,,,,
death_30d_inhosp,A,l2,ctpa,0.7658135439375015,0.01206310709777212,,,,,,,,,
death_30d_inhosp,A,l1,ehr,0.8589593402586522,0.003648480993285634,,,,,,,,,
death_30d_inhosp,A,l1,ecg,0.6909890689609695,0.01582273182562535,,,,,,,,,
death_30d_inhosp,A,l1,ctpa,0.7125897020147558,0.010888231565461102,,,,,,,,,
death_30d_inhosp,A,rf,ehr,0.9078022327558786,0.00357970852463685,,,,,,,,,
death_30d_inhosp,A,rf,ecg,0.733326092522052,0.006140810840423286,,,,,,,,,
death_30d_inhosp,A,rf,ctpa,0.7742806383292345,0.006569556827981866,,,,,,,,,
death_30d_inhosp,A,et,ehr,0.8967734427730238,0.005136153803357071,,,,,,,,,
death_30d_inhosp,A,et,ecg,0.7278427295789726,0.00864999282956552,,,,,,,,,
death_30d_inhosp,A,et,ctpa,0.7643177992071312,0.006688729627632171,,,,,,,,,
death_30d_inhosp,A,gb,ehr,0.8916934964584675,0.01108281052810327,,,,,,,,,
death_30d_inhosp,A,gb,ecg,0.7202569453603209,0.00778322847776463,,,,,,,,,
death_30d_inhosp,A,gb,ctpa,0.7289947943738895,0.015284274353350696,,,,,,,,,
death_30d_inhosp,A,ens,ehr,0.9020558732030505,0.0030845689228913165,,,,,,,,,
death_30d_inhosp,A,ens,ecg,0.7371174330289606,0.0049015509308352745,,,,,,,,,
death_30d_inhosp,A,ens,ctpa,0.7875809742511579,0.003625850349304129,,,,,,,,,
death_30d_inhosp,A,catboost,ehr,0.8910433750455784,0.003894790961590388,,,,,,,,,
death_30d_inhosp,A,catboost,ecg,0.7101311879843909,0.004495369376190466,,,,,,,,,
death_30d_inhosp,A,catboost,ctpa,0.7427024259303796,0.010380497903181032,,,,,,,,,
death_30d_inhosp,A,late_l2,all,0.8692115532316,,,,,,,,,,
death_30d_inhosp,A,late_best,all,0.9100846399118688,,,,,,,,,,
