outcome,method,na,nb,mean,sd,vs_late,vs_ehr
death_30d,ehr,,,0.8650778064867953,,-0.004890902126775454,0.0
death_30d,ecg,,,0.7286299955854476,,-0.14133871302812318,-0.13644781090134772
death_30d,late_wsrc,,,0.8699687086135708,,0.0,0.004890902126775454
death_30d,block,8.0,8.0,0.8834996364486225,0.0037744965598021283,0.01353092783505172,0.018421829961827174
death_30d,block,8.0,16.0,0.87519768106157,0.001879541203949288,0.005228972447999247,0.010119874574774701
death_30d,block,14.0,8.0,0.890206023267288,0.0032101189791733653,0.020237314653717253,0.025128216780492707
death_30d,block,14.0,16.0,0.8880118933236387,0.0013747202747447153,0.01804318471006794,0.022934086836843393
death_30d,block,20.0,8.0,0.892327767534862,0.00254603795828378,0.022359058921291197,0.02724996104806665
death_30d,block,20.0,16.0,0.891567880235789,0.0033378149066944,0.02159917162221825,0.026490073748993703
death_30d,block,28.0,8.0,0.8924042107039913,0.0031831779068386885,0.022435502090420556,0.02732640421719601
death_30d,block,28.0,16.0,0.893166207899452,0.002345498637875029,0.023197499285881218,0.02808840141265667
death_30d,block,38.0,8.0,0.8888436793996208,0.0032831910314094596,0.01887497078605005,0.023765872912825503
death_30d,block,38.0,16.0,0.8885878950375237,0.0022224839884334097,0.018619186423952883,0.023510088550728336
death_30d,block_rot,28.0,16.0,0.89389087615882,0.001370882859635398,0.02392216754524923,0.028813069672024683
death_30d_inhosp,ehr,,,0.8702664458752494,,-0.0016825624652900828,0.0
death_30d_inhosp,ecg,,,0.7272575119376983,,-0.14469149640284118,-0.1430089339375511
death_30d_inhosp,late_wsrc,,,0.8719490083405395,,0.0,0.0016825624652900828
death_30d_inhosp,block,8.0,8.0,0.9091010526475951,0.003922135878945506,0.037152044307055654,0.03883460677234574
death_30d_inhosp,block,8.0,16.0,0.8996515688278359,0.0026904543622503804,0.027702560487296468,0.02938512295258655
death_30d_inhosp,block,14.0,8.0,0.9122922155810104,0.003317274352694626,0.04034320724047091,0.042025769705760996
death_30d_inhosp,block,14.0,16.0,0.9081942186798668,0.0037924032219239503,0.03624521033932737,0.037927772804617454
death_30d_inhosp,block,20.0,8.0,0.9113306064071777,0.0041598156225099315,0.03938159806663821,0.041064160531928295
death_30d_inhosp,block,20.0,16.0,0.909948293219793,0.002156914879368074,0.037999284879253525,0.03968184734454361
death_30d_inhosp,block,28.0,8.0,0.9099832884903598,0.005465479909497697,0.038034280149820354,0.03971684261511044
death_30d_inhosp,block,28.0,16.0,0.9086973390914922,0.004144980143078874,0.03674833075095274,0.03843089321624282
death_30d_inhosp,block,38.0,8.0,0.9034178714253471,0.0037461470958829327,0.031468863084807674,0.03315142555009776
death_30d_inhosp,block,38.0,16.0,0.9032816941768376,0.003438924789202765,0.03133268583629811,0.033015248301588196
death_30d_inhosp,block_rot,14.0,8.0,0.9072911885458957,0.002681710382537603,0.03534218020535629,0.03702474267064637
