outcome,stage,name,draws,leaf,mean,sd,value,rot_frac,within,cw,ccp,boot,oob_w,rot_size,rot_boot,reg,ntree,mean_rot,mean_plain,boot_diff,lo,hi,sig,slope,slope_platt,brier,brier_platt,vs_117
death_30d_inhosp,E,draws_leaf,14+8+16,5.0,0.9141125997874303,0.006301352848823739,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,14+8+16,10.0,0.9153383656971738,0.005817690278751307,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,14+8+16,25.0,0.91359436458002,0.005110853889336719,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,14+8+16,50.0,0.9106354587700448,0.003828286161479973,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,20+8+16,5.0,0.9127937377326434,0.0064650135894502025,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,20+8+16,10.0,0.9138364145571339,0.006838346830506776,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,20+8+16,25.0,0.9125113460926773,0.004042141694497517,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,20+8+16,50.0,0.9090667887260568,0.003835093061679245,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,14+4+8,5.0,0.914705311910876,0.005538434450820925,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,14+4+8,10.0,0.9160195191584108,0.005896798593219282,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,14+4+8,25.0,0.9135602293268373,0.0057485691716633175,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,14+4+8,50.0,0.9104880565403922,0.004320721735208078,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,20+12+24,5.0,0.912221196440624,0.0059181597438926386,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,20+12+24,10.0,0.9141513898478653,0.006209949223037918,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,20+12+24,25.0,0.9128170117689043,0.005516495955951408,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,20+12+24,50.0,0.9095664047044586,0.004293684387793659,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,28+8+16,5.0,0.911035772193733,0.003931286413367495,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,28+8+16,10.0,0.9133600726149931,0.005292287603787155,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,28+8+16,25.0,0.9110031885429677,0.00569295539651837,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,draws_leaf,28+8+16,50.0,0.9069395418118061,0.004561736175483465,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,cw,,,0.9160195191584108,0.005896798593219282,balanced,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,cw,,,0.9073041683798945,0.007331763902868609,None,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,ccp,,,0.9160195191584108,0.005896798593219282,0.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,ccp,,,0.9160164159535761,0.005901299553477786,0.0001,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,ccp,,,0.9159590066641325,0.005898570207188151,0.001,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,ccp,,,0.9131459514813924,0.004479315211488903,0.01,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,C,boot,,,0.9127270188286953,0.005273572842739886,0.6,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,C,boot,,,0.913574193748594,0.007017574147167328,0.8,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,C,boot,,,0.9160195191584108,0.005896798593219282,1.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,D,oob_w,,,0.9160195191584108,0.005896798593219282,False,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,D,oob_w,,,0.9158566009045842,0.006001405300219223,True,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,R1,frac_within,,,0.9160195191584108,0.005896798593219282,,0.0,0.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,R1,frac_within,,,0.9160195191584108,0.005896798593219282,,0.0,1.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,R1,frac_within,,,0.9126432322981559,0.004795591812132736,,0.5,0.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,R1,frac_within,,,0.9134423075431151,0.005713525459727873,,0.5,1.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,R1,frac_within,,,0.9122025772116154,0.0031270130309703145,,1.0,0.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,R1,frac_within,,,0.9115757298349871,0.005248343628358668,,1.0,1.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,G,reg,,,0.9125547909603643,0.003924897083127408,0.1,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,G,reg,,,0.9160195191584108,0.005896798593219282,0.5,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,G,reg,,,0.9166649857640479,0.005852964852108994,1.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,G,reg,,,0.9151025221297295,0.004627956261772312,2.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,H,ntree,,,0.9166649857640479,0.005852964852108994,600,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,H,ntree,,,0.917186324176293,0.006148728951397534,1200,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,H,ntree,,,0.9173445876228674,0.006336214543926408,2400,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,final,no_rotation,14+4+8,10.0,0.9147200521338412,0.005503927007559794,,0.0,0.0,balanced,0.0,1.0,0.0,3.0,0.75,1.0,2400.0,0.9134174819044368,0.9147200521338412,-0.0001766136034632458,-0.004551956174356586,0.004224491406516919,0.0,1.687148271003157,0.9753765881380655,0.04212916008649853,0.036946830012590505,-0.0008799478661587479
death_30d,E,draws_leaf,14+8+16,5.0,0.8999405944105547,0.007635917156732277,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,14+8+16,10.0,0.8999671939282168,0.0076251044644279455,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,14+8+16,25.0,0.8986850971769046,0.006282623790244656,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,14+8+16,50.0,0.8945577386863384,0.006266457216375211,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,20+8+16,5.0,0.8989165129805647,0.006852592665993598,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,20+8+16,10.0,0.8998474960987373,0.006380454781528696,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,20+8+16,25.0,0.8985636260462476,0.006330425505244956,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,20+8+16,50.0,0.8946721166122854,0.0061438277146332035,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,14+4+8,5.0,0.901087920272379,0.005032597030841515,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,14+4+8,10.0,0.901632323733863,0.0058641678414609495,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,14+4+8,25.0,0.8996293800539084,0.005914557254377147,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,14+4+8,50.0,0.8951952404596397,0.006094202888963748,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,20+12+24,5.0,0.8981114342459924,0.006880827315437337,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,20+12+24,10.0,0.8994414101290962,0.006555659505684363,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,20+12+24,25.0,0.8979101645623493,0.006682200852893115,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,20+12+24,50.0,0.894022201730742,0.006631991860406506,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,28+8+16,5.0,0.8971228188395516,0.007709793578817422,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,28+8+16,10.0,0.8983064973755143,0.007637148646299826,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,28+8+16,25.0,0.8971582848631012,0.0075111933602638814,,,,,,,,,,,,,,,,,,,,,,
death_30d,E,draws_leaf,28+8+16,50.0,0.892124769470847,0.006783148209176721,,,,,,,,,,,,,,,,,,,,,,
death_30d,A,cw,,,0.901632323733863,0.0058641678414609495,balanced,,,,,,,,,,,,,,,,,,,,,
death_30d,A,cw,,,0.8988730671017165,0.0073935090010065225,None,,,,,,,,,,,,,,,,,,,,,
death_30d,B,ccp,,,0.901632323733863,0.0058641678414609495,0.0,,,,,,,,,,,,,,,,,,,,,
death_30d,B,ccp,,,0.901625230529153,0.005874188462371046,0.0001,,,,,,,,,,,,,,,,,,,,,
