outcome,method,na,nb,mean,sd,vs_late,vs_ehr
death_30d,late_wsrc,,,0.8699687086135708,,0.0,0.004890902126775454
death_30d,ehr,,,0.8650778064867953,,-0.004890902126775454,0.0
death_30d,prop_rf,27.0,,0.8724944168895583,0.002744113035655272,0.002525708275987526,0.00741661040276298
death_30d,prop_rf,47.0,,0.8770847399309252,0.0018032842143128399,0.007116031317354388,0.012006933444129841
death_30d,prop_rf,78.0,,0.8817576735308629,0.0009228304970662231,0.011788964917292089,0.016679867044067542
death_30d,prop_rf,125.0,,0.8820640954062686,0.00308065100639541,0.012095386792697838,0.01698628891947329
death_30d,prop_rf,187.0,,0.8804696629359372,0.0022595197316400435,0.010500954322366418,0.015391856449141872
death_30d,block,4.0,4.0,0.8729941377340362,0.0029048401480710967,0.0030254291204654393,0.007916331247240893
death_30d,block,4.0,8.0,0.862255576618453,0.0041419160728955505,-0.007713131995117806,-0.002822229868342352
death_30d,block,8.0,8.0,0.8834996364486225,0.0037744965598021283,0.01353092783505172,0.018421829961827174
death_30d,block,8.0,16.0,0.87519768106157,0.001879541203949288,0.005228972447999247,0.010119874574774701
death_30d,block,14.0,8.0,0.890206023267288,0.0032101189791733653,0.020237314653717253,0.025128216780492707
death_30d,block,14.0,16.0,0.8880118933236387,0.0013747202747447153,0.01804318471006794,0.022934086836843393
death_30d,block_rot,4.0,4.0,0.8680225726453557,0.003356841635656736,-0.0019461359682151347,0.002944766158560319
death_30d,block_rot,4.0,8.0,0.8575307071074294,0.0017664203064069672,-0.012438001506141383,-0.007547099379365929
death_30d,block_rot,8.0,8.0,0.8768443740424317,0.0014195009870822148,0.0068756654288608665,0.01176656755563632
death_30d,block_rot,8.0,16.0,0.8733172764808227,0.0021579025696487073,0.003348567867251906,0.00823946999402736
death_30d,block_rot,14.0,8.0,0.8870978212885298,0.0012398975146636804,0.01712911267495898,0.022020014801734433
death_30d,block_rot,14.0,16.0,0.8843804370406918,0.0017491133560061619,0.014411728427121018,0.01930263055389647
death_30d_inhosp,late_wsrc,,,0.8719490083405395,,0.0,0.0016825624652900828
death_30d_inhosp,ehr,,,0.8702664458752494,,-0.0016825624652900828,0.0
death_30d_inhosp,prop_rf,27.0,,0.8933191999776842,0.0035149463226847345,0.02137019163714471,0.02305275410243479
death_30d_inhosp,prop_rf,47.0,,0.8956755481958417,0.003693860072046835,0.023726539855302264,0.025409102320592347
death_30d_inhosp,prop_rf,78.0,,0.8984640119288227,0.002851510316715058,0.026515003588283292,0.028197566053573375
death_30d_inhosp,prop_rf,125.0,,0.8971078183999046,0.003778327049237405,0.025158810059365155,0.026841372524655238
death_30d_inhosp,prop_rf,187.0,,0.8946842691187025,0.0033182086068412747,0.022735260778163013,0.024417823243453096
death_30d_inhosp,block,4.0,4.0,0.904513121958518,0.0024353346666925826,0.03256411361797851,0.03424667608326859
death_30d_inhosp,block,4.0,8.0,0.8936432866138018,0.003541344191339358,0.021694278273262313,0.023376840738552396
death_30d_inhosp,block,8.0,8.0,0.9091010526475951,0.003922135878945506,0.037152044307055654,0.03883460677234574
death_30d_inhosp,block,8.0,16.0,0.8996515688278359,0.0026904543622503804,0.027702560487296468,0.02938512295258655
death_30d_inhosp,block,14.0,8.0,0.9122922155810104,0.003317274352694626,0.04034320724047091,0.042025769705760996
