direction,outcome,arch,decile,pred,obs,n
I2M,death_30d,uni:ehr_only,0,0.05033353547604609,0.0,165
I2M,death_30d,uni:ehr_only,1,0.15039417828987264,0.012121212121212121,165
I2M,death_30d,uni:ehr_only,2,0.2504548211036992,0.01818181818181818,165
I2M,death_30d,uni:ehr_only,3,0.35051546391752575,0.006060606060606061,165
I2M,death_30d,uni:ehr_only,4,0.45057610673135234,0.03636363636363636,165
I2M,death_30d,uni:ehr_only,5,0.5503335354760461,0.042682926829268296,164
I2M,death_30d,uni:ehr_only,6,0.6500909642207399,0.05454545454545454,165
I2M,death_30d,uni:ehr_only,7,0.7501516070345664,0.16363636363636364,165
I2M,death_30d,uni:ehr_only,8,0.8502122498483929,0.17575757575757575,165
I2M,death_30d,uni:ehr_only,9,0.9502728926622195,0.4121212121212121,165
I2M,death_30d,early:plain,0,0.005198790774460954,0.012121212121212121,165
I2M,death_30d,early:plain,1,0.010037256592492737,0.012121212121212121,165
I2M,death_30d,early:plain,2,0.014919039112976016,0.006060606060606061,165
I2M,death_30d,early:plain,3,0.020821058959065428,0.01818181818181818,165
I2M,death_30d,early:plain,4,0.028564158264296733,0.03636363636363636,165
I2M,death_30d,early:plain,5,0.037973689960726344,0.036585365853658534,164
I2M,death_30d,early:plain,6,0.053225769575435906,0.09696969696969697,165
I2M,death_30d,early:plain,7,0.0768537231663895,0.11515151515151516,165
I2M,death_30d,early:plain,8,0.12147423899037643,0.18787878787878787,165
I2M,death_30d,early:plain,9,0.30327744430485654,0.4,165
I2M,death_30d,early:blockstd,0,0.020766075090913917,0.0,165
I2M,death_30d,early:blockstd,1,0.027293329656416655,0.006060606060606061,165
I2M,death_30d,early:blockstd,2,0.03303003374126046,0.012121212121212121,165
I2M,death_30d,early:blockstd,3,0.03844646833850857,0.01818181818181818,165
I2M,death_30d,early:blockstd,4,0.04399168754080106,0.012121212121212121,165
I2M,death_30d,early:blockstd,5,0.05214765326270367,0.03048780487804878,164
I2M,death_30d,early:blockstd,6,0.06298659781680144,0.07272727272727272,165
I2M,death_30d,early:blockstd,7,0.07867226737560666,0.1393939393939394,165
I2M,death_30d,early:blockstd,8,0.10389661393436778,0.22424242424242424,165
I2M,death_30d,early:blockstd,9,0.1853469496120984,0.40606060606060607,165
I2M,death_30d,inter:plain,0,1.6960740367721883e-06,0.048484848484848485,165
I2M,death_30d,inter:plain,1,3.592587381717749e-05,0.024242424242424242,165
I2M,death_30d,inter:plain,2,0.0002046004228759557,0.03636363636363636,165
I2M,death_30d,inter:plain,3,0.0007772925309836864,0.024242424242424242,165
I2M,death_30d,inter:plain,4,0.0022507268004119396,0.04242424242424243,165
I2M,death_30d,inter:plain,5,0.006935210432857275,0.054878048780487805,164
I2M,death_30d,inter:plain,6,0.02158345840871334,0.07272727272727272,165
I2M,death_30d,inter:plain,7,0.07865769416093826,0.08484848484848485,165
I2M,death_30d,inter:plain,8,0.32975149154663086,0.15757575757575756,165
I2M,death_30d,inter:plain,9,0.8410183787345886,0.37575757575757573,165
I2M,death_30d,late:mean,0,0.12406417112299464,0.0,165
I2M,death_30d,late:mean,1,0.2373006276165913,0.018072289156626505,166
I2M,death_30d,late:mean,2,0.31811223357836976,0.012195121951219513,164
I2M,death_30d,late:mean,3,0.3850313321204771,0.006060606060606061,165
I2M,death_30d,late:mean,4,0.45476689269897275,0.04242424242424243,165
I2M,death_30d,late:mean,5,0.5198679169932997,0.054878048780487805,164
I2M,death_30d,late:mean,6,0.5963513240347685,0.06060606060606061,165
I2M,death_30d,late:mean,7,0.6881700571512579,0.15151515151515152,165
I2M,death_30d,late:mean,8,0.779757903658296,0.18674698795180722,166
I2M,death_30d,late:mean,9,0.900952535904983,0.3902439024390244,164
I2M,death_30d,late:wsrc,0,0.12266828380836871,0.0,165
I2M,death_30d,late:wsrc,1,0.23104250509950935,0.012121212121212121,165
I2M,death_30d,late:wsrc,2,0.3112549387140048,0.012121212121212121,165
I2M,death_30d,late:wsrc,3,0.3824981163974493,0.006060606060606061,165
I2M,death_30d,late:wsrc,4,0.45747762647702006,0.030303030303030304,165
I2M,death_30d,late:wsrc,5,0.5236898933573932,0.06097560975609756,164
I2M,death_30d,late:wsrc,6,0.5994332653398754,0.05454545454545454,165
