direction,outcome,arch,n,ev,prev,auc,brier,slope,intercept
I2M,death_30d,uni:ehr_only,1649,152,0.09217707701637357,0.8459946208205885,0.27567472945177646,0.8258820707740754,-3.0394662402127506
I2M,death_30d,early:plain,1649,152,0.09217707701637357,0.8326829096790072,0.07114159868772175,1.0332920336867883,0.48427589871557675
I2M,death_30d,early:blockstd,1649,152,0.09217707701637357,0.8658193580142742,0.07384205776461963,2.1003499012631845,2.9994297217529637
I2M,death_30d,inter:plain,1649,152,0.09217707701637357,0.7610615968779666,0.10010715779730679,0.24935372942681275,-1.338378262054075
I2M,death_30d,late:mean,1649,152,0.09217707701637357,0.8367216889920192,0.2574448129594495,1.0719141646379713,-2.9602171360630902
I2M,death_30d,late:wsrc,1649,152,0.09217707701637357,0.8479305101430932,0.25657707264176066,1.1227651309982267,-3.0260084541126444
I2M,composite_30d,uni:ehr_only,1649,219,0.1328077622801698,0.8183191237985759,0.260234532129107,0.6782066655149387,-2.3379964170574055
I2M,composite_30d,early:plain,1649,219,0.1328077622801698,0.8214260625219529,0.09717327656925749,1.0814834778327285,0.11747778822705814
I2M,composite_30d,early:blockstd,1649,219,0.1328077622801698,0.8338218858766804,0.09698953934113518,1.6286312682358002,1.0112424755063516
I2M,composite_30d,inter:plain,1649,219,0.1328077622801698,0.8009898777022066,0.12720320388472606,0.33163742085248665,-0.9413673044018982
I2M,composite_30d,late:mean,1649,219,0.1328077622801698,0.817800236293387,0.24464459947019507,0.9787346198858846,-2.3797601563680995
I2M,composite_30d,late:wsrc,1649,219,0.1328077622801698,0.8321247245904779,0.2443241659214439,1.0182162502676364,-2.4505280562693152
I2M,cv_first,uni:ehr_only,1506,76,0.05046480743691899,0.8003496503496503,0.30484752740550264,0.5429492319684864,-3.360854219437672
I2M,cv_first,early:plain,1506,76,0.05046480743691899,0.8053551711446448,0.04569391180165779,0.9185162602844206,-0.4823999851547798
I2M,cv_first,early:blockstd,1506,76,0.05046480743691899,0.8098546190651453,0.04504068480412193,1.5241652712260672,0.6412570933216589
I2M,cv_first,inter:plain,1506,76,0.05046480743691899,0.7790577843209423,0.08140095971067608,0.36675885747084913,-1.9178021280136854
I2M,cv_first,late:mean,1506,76,0.05046480743691899,0.7574162679425838,0.27984826003064,0.7252854548736141,-3.2950864321969693
I2M,cv_first,late:wsrc,1506,76,0.05046480743691899,0.8006394920868606,0.29023636091450095,0.8027634108559476,-3.4859070624856656
M2I,death_30d,uni:ehr_only,3300,246,0.07454545454545454,0.773351355812183,0.29574611227982306,0.5380089685651993,-2.8970454254428946
M2I,death_30d,early:plain,3300,246,0.07454545454545454,0.7797091379558196,0.07737285255581271,0.43835767588435864,-1.370192511927665
M2I,death_30d,early:blockstd,3300,246,0.07454545454545454,0.7833535653627657,0.06596808964435961,0.90617004012493,-0.5902692069430474
M2I,death_30d,inter:plain,3300,246,0.07454545454545454,0.7380045362339673,0.1263257473986139,0.12710596143833447,-1.7285720319232745
M2I,death_30d,late:mean,3300,246,0.07454545454545454,0.7927335069028489,0.27151748991985974,0.9197641227974676,-3.0114892343821973
M2I,death_30d,late:wsrc,3300,246,0.07454545454545454,0.7980084761554885,0.27435437804407714,0.9259710068929993,-3.0552148337333724
M2I,composite_30d,uni:ehr_only,3300,505,0.15303030303030302,0.7359180998600754,0.2722828432256449,0.47744575581816323,-1.942846806467155
M2I,composite_30d,early:plain,3300,505,0.15303030303030302,0.7341256487008271,0.1297195851649317,0.46613862527608296,-0.8403830187854141
M2I,composite_30d,early:blockstd,3300,505,0.15303030303030302,0.7499410191466374,0.1178498623679615,0.9116261385402025,-0.19664766210390386
M2I,composite_30d,inter:plain,3300,505,0.15303030303030302,0.6880143112701251,0.20785073655533592,0.12535313898528627,-1.2671216986286167
