outcome,test,mode,learner,reg,k,mean,sd,lo,hi,vs_late,sig
death_30d_inhosp,ref,late,l2,,,0.8823040232911079,0.0069589240086324325,0.8645662340880231,0.8905751540867842,0.0,
death_30d_inhosp,ablation,raw,rf,0.1,10.0,0.9072327871898906,0.0041910872183187455,0.8998668194629418,0.911496887292099,0.024928763898782735,
death_30d_inhosp,ablation,raw,gb,0.1,10.0,0.8970630594356862,0.010506792957514291,0.8744153993867501,0.9082370613559637,0.014759036144578297,
death_30d_inhosp,ablation,raw,catboost,0.1,10.0,0.8996515625483941,0.00647583145062729,0.8856583144919008,0.908128658593242,0.01734753925728616,
death_30d_inhosp,ablation,raw,l2,0.1,10.0,0.8808885929321398,0.009065890123499131,0.8608960262644408,0.8882212655248242,-0.0014154303589680728,
death_30d_inhosp,ablation,cca,rf,0.1,10.0,0.8840361445783133,0.008962376048009745,0.8763047046799022,0.9022439371883421,0.001732121287205346,
death_30d_inhosp,ablation,cca,gb,0.1,10.0,0.8768683990460557,0.01155128661095441,0.8635518939511259,0.8990383126335676,-0.005435624245052173,
death_30d_inhosp,ablation,cca,catboost,0.1,10.0,0.8865998699166846,0.008326367944584561,0.8746631771301142,0.8972574101031374,0.004295846625576694,
death_30d_inhosp,ablation,cca,l2,0.1,10.0,0.8814522872982936,0.008476784940165356,0.8679267197324001,0.8968160559977699,-0.0008517359928142954,
death_30d_inhosp,ablation,ccaaug,rf,0.1,10.0,0.9105080992349863,0.005854453632816407,0.8986511599095611,0.919340601480472,0.028204075943878415,
death_30d_inhosp,ablation,ccaaug,gb,0.1,10.0,0.8935438411744665,0.011558563110817375,0.867686685043516,0.911024560968811,0.011239817883358594,
death_30d_inhosp,ablation,ccaaug,catboost,0.1,10.0,0.9023422739802397,0.004978335175581261,0.8933626536996315,0.9100489361043145,0.020038250689131787,
death_30d_inhosp,ablation,ccaaug,l2,0.1,10.0,0.8834515439650634,0.009323425728823075,0.864736581286586,0.8998823055719021,0.0011475206739555155,
death_30d_inhosp,ablation,ccaaug_shuf,rf,0.1,10.0,0.9028618329358565,0.006851266690731811,0.8919456747297674,0.9107612971164866,0.020557809644748626,
death_30d_inhosp,ablation,ccaaug_shuf,gb,0.1,10.0,0.8897187722612816,0.008106469956158284,0.8773113017623192,0.9045745965868617,0.00741474897017369,
death_30d_inhosp,ablation,ccaaug_shuf,catboost,0.1,10.0,0.897456406603277,0.0051562051520894926,0.8899479666738935,0.9058134853036826,0.01515238331216906,
death_30d_inhosp,ablation,ccaaug_shuf,l2,0.1,10.0,0.8735071390962308,0.012601923679861939,0.856017901941958,0.8859835227800663,-0.00879688419487712,
