outcome,pair,method,auc,sd,k,reg
death_30d,single,uni_ehr,0.8644991015274036,0.0028038680603565576,,
death_30d,single,uni_ecg,0.7185800586371589,0.01287403322449281,,
death_30d,single,uni_ctpa,0.7910548777604388,0.009505887123339343,,
death_30d,ehr+ecg,late_wsrc,0.8691015569584338,0.001102162764766504,,
death_30d,ehr+ecg,early,0.8434854825743606,0.013255892847548691,,
death_30d,ehr+ecg,pca10,0.7358328013429801,0.0056655972412184685,10.0,
death_30d,ehr+ecg,pca20,0.7869615075424411,0.007311864667274292,20.0,
death_30d,ehr+ecg,pca40,0.7935803541873553,0.009659253811073807,40.0,
death_30d,ehr+ecg,cca_r0.1_k5,0.8115187733484656,0.005052368797360665,5.0,0.1
death_30d,ehr+ecg,ccaaug_r0.1_k5,0.8457021090462004,0.01127080460253703,5.0,0.1
death_30d,ehr+ecg,cca_r0.1_k10,0.8213118291010545,0.013082727987737542,10.0,0.1
death_30d,ehr+ecg,ccaaug_r0.1_k10,0.8466360476663356,0.010891566894353763,10.0,0.1
death_30d,ehr+ecg,cca_r0.1_k20,0.850015664160401,0.0026527095474630324,20.0,0.1
death_30d,ehr+ecg,ccaaug_r0.1_k20,0.8508343382040007,0.005768697889019597,20.0,0.1
death_30d,ehr+ecg,cca_r0.5_k5,0.8176204071499503,0.0007421032373727598,5.0,0.5
death_30d,ehr+ecg,ccaaug_r0.5_k5,0.8468045112781954,0.01219505211747617,5.0,0.5
death_30d,ehr+ecg,cca_r0.5_k10,0.8167529673239704,0.010153944001314594,10.0,0.5
death_30d,ehr+ecg,ccaaug_r0.5_k10,0.8459163829384783,0.010985728114054103,10.0,0.5
death_30d,ehr+ecg,cca_r0.5_k20,0.8435534591194968,0.003091924054746573,20.0,0.5
death_30d,ehr+ecg,ccaaug_r0.5_k20,0.8454774908970539,0.013954307368454464,20.0,0.5
death_30d,ehr+ecg,kcca_r0.1,0.4455204934506077,0.004581958513317748,,0.1
death_30d,ehr+ecg,kcca_r0.5,0.4447557573178229,0.005430935856579867,,0.5
death_30d,ehr+ecg,pls5,0.8323875727053484,0.00800341036500733,5.0,
death_30d,ehr+ecg,pls10,0.8337411926041519,0.009409516798962547,10.0,
death_30d,ehr+ecg,pls20,0.8087346904998345,0.005867544394728972,20.0,
death_30d,ecg+ctpa,late_wsrc,0.8165771149572043,0.0053345548076435545,,
death_30d,ecg+ctpa,early,0.8058353430746678,0.008684610506262095,,
