block,feature,present,mean,sd
PE descriptors,pe_pos,1,0.7577791336180598,0.4285580189522585
PE descriptors,pe_neg,1,0.18059792556436852,0.38480210256672487
PE descriptors,saddle,1,0.044539353264185476,0.20635304575976382
PE descriptors,central,1,0.3410616229408176,0.47421070775088364
PE descriptors,lobar,1,0.2324588163514338,0.4225288648339779
PE descriptors,segmental,1,0.5594874923733985,0.4966001439664933
PE descriptors,subseg,1,0.5649786455155583,0.49591110403885
PE descriptors,bilateral,1,0.6357535082367297,0.481365099720719
PE descriptors,rv_strain,1,0.1683953630262355,0.37433121462771923
PE descriptors,septal_bow,1,0.004270896888346553,0.06523229704218785
PE descriptors,reflux,1,0.03355704697986577,0.1801409745332923
PE descriptors,mpa_enlarge,1,0.07443563148261134,0.2625586194901479
PE descriptors,infarct,1,0.21964612568639413,0.41413324667670703
Incidental thoracic,effusion,1,0.31543624161073824,0.4648312040760747
Incidental thoracic,malignancy,1,0.20378279438682123,0.4029322822750624
Incidental thoracic,consolid,1,0.18181818181818182,0.38581232335314125
Incidental thoracic,atelect,1,0.42892007321537523,0.495072908463491
Incidental thoracic,edema,1,0.06406345332519829,0.24494067134543818
Incidental thoracic,cardiomeg,1,0.04392922513727883,0.20500021708514057
Incidental thoracic,adenopathy,1,0.09334960341671751,0.2910105237883698
Comorbidity mentions,cm_emphysema,1,0.11348383160463697,0.3172801146250262
Comorbidity mentions,cm_fibrosis,1,0.042098840756558877,0.20087595110838444
Comorbidity mentions,cm_bronchiect,1,0.023794996949359364,0.15245647333947643
Comorbidity mentions,cm_mets,1,0.11592434411226357,0.32023188200608044
Comorbidity mentions,cm_lymphangitic,1,0.01586333129957291,0.12498486693795711
Comorbidity mentions,cm_cirrhosis,1,0.025625381330079317,0.1580631664281088
Comorbidity mentions,cm_ascites,1,0.03355704697986577,0.1801409745332923
Comorbidity mentions,cm_pericard_eff,1,0.0713849908480781,0.2575454202870856
Comorbidity mentions,cm_aortic_ath,1,0.1403294691885296,0.34743453814301606
Comorbidity mentions,cm_aneurysm,1,0.025015253203172667,0.15621901327648335
Comorbidity mentions,cm_valve,1,0.025015253203172667,0.15621901327648338
Comorbidity mentions,cm_cachexia,1,0.0006101281269066504,0.024700771787671945
Comorbidity mentions,cm_obesity,1,0.2202562538133008,0.4145458791765341
Comorbidity mentions,cm_renal,1,0.005491153142159854,0.0739211358367465
Comorbidity mentions,cm_pleural_thick,1,0.023794996949359364,0.15245647333947643
Comorbidity mentions,cm_vert_fx,1,0.02928615009151922,0.1686589075724885
Support devices,dv_ett,1,0.021354484441732765,0.14460715392026857
Support devices,dv_trach,1,0.0024405125076266015,0.04935628333352381
Support devices,dv_cvc,1,0.035387431360585725,0.18481342104661563
Support devices,dv_pacer,1,0.01586333129957291,0.12498486693795711
Support devices,dv_sternotomy,1,0.022574740695546065,0.14858866897711684
Support devices,dv_chesttube,1,0.009762050030506406,0.0983496515904148
Support devices,dv_ngtube,1,0.012812690665039659,0.11249998913589464
Support devices,dv_ivcfilter,1,0.009762050030506406,0.0983496515904148
Report structure,txt_len,1,1479.5851128737036,1031.0846180339652
Report structure,n_sent,1,24.96888346552776,17.991882124418314
