outcome,model,n,ev,mean,sd,published,lo,hi,sig
death_30d,ehr,1636,152,0.856424670165981,0.0,,,,
death_30d,ecg_opt,1636,152,0.7209939648649927,0.0037270053667021034,,,,
death_30d,ctpa_mimic46,1636,152,0.7932663321038445,0.008743387627664396,0.781,,,
death_30d,ctpa_mimic38,1636,152,0.771506448905282,0.009004110877445551,,,,
death_30d,ctpa_zeroshot,1636,152,0.6908737054901404,0.0,,,,
death_30d,2mod_mimic46,1636,152,0.8741336684872559,0.002193686901106794,,,,
death_30d,2mod_mimic38,1636,152,0.867822563484182,0.0018063484830657917,,,,
death_30d,2mod_zeroshot,1636,152,0.8577372824750555,0.001289596946621477,,,,
death_30d,3mod_mimic46,1636,152,0.876534644394004,0.002030684244200608,0.8715,,,
death_30d,3mod_zeroshot,1636,152,0.8605239513879037,0.0020480518657193234,,,,
death_30d,TRANSFER_COST,1636,152,0.0806327434151416,,,,,
death_30d,DEVICE_FLAGS,1636,152,0.02175988319856248,,,,,
death_30d,ctpa_zeroshot_vs_ctpa_mimic38,1636,152,-0.06462864583137666,,,-0.10766050634934735,-0.022620591990504754,1.0
death_30d,2mod_zeroshot_vs_ehr,1636,152,0.002666134315286104,,,-0.0015222268576597809,0.006757075810781848,0.0
death_30d,2mod_zeroshot_vs_2mod_mimic46,1636,152,-0.014172279227866836,,,-0.02649286975840137,-0.0012225210792703594,1.0
death_30d,3mod_zeroshot_vs_2mod_zeroshot,1636,152,0.0032101455011637097,,,-0.002726412005464035,0.009410817552760443,0.0
death_30d,3mod_zeroshot_vs_3mod_mimic46,1636,152,-0.015249358692604882,,,-0.026979499171107542,-0.0035933470376898874,1.0
composite_30d,ehr,1636,219,0.8209414062122368,1.2161883888976234e-16,,,,
composite_30d,ecg_opt,1636,219,0.7385911883209859,0.004419068296653425,,,,
composite_30d,ctpa_mimic46,1636,219,0.7438529102472798,0.007977700215029524,0.737,,,
composite_30d,ctpa_mimic38,1636,219,0.7344326180570997,0.0034712948026473104,,,,
composite_30d,ctpa_zeroshot,1636,219,0.6628722331248409,0.0,,,,
composite_30d,2mod_mimic46,1636,219,0.8384575641079347,0.0018540817261299147,,,,
composite_30d,2mod_mimic38,1636,219,0.8352042334384926,0.0013271852018545214,,,,
composite_30d,2mod_zeroshot,1636,219,0.8229159617559768,0.0006198150247922843,,,,
composite_30d,3mod_mimic46,1636,219,0.8427799421892673,0.00284565572189697,0.8389,,,
composite_30d,3mod_zeroshot,1636,219,0.8289352277036076,0.0017137553471559684,,,,
composite_30d,TRANSFER_COST,1636,219,0.0715603849322588,,,,,
composite_30d,DEVICE_FLAGS,1636,219,0.009420292190180146,,,,,
composite_30d,ctpa_zeroshot_vs_ctpa_mimic38,1636,219,-0.0652764032054306,,,-0.09889934662245303,-0.03200650399681642,1.0
composite_30d,2mod_zeroshot_vs_ehr,1636,219,0.002701876387996811,,,-0.002809180310850537,0.008069615187283455,0.0
composite_30d,2mod_zeroshot_vs_2mod_mimic46,1636,219,-0.013642212597719297,,,-0.023050501781921785,-0.0045259137519411685,1.0
composite_30d,3mod_zeroshot_vs_2mod_zeroshot,1636,219,0.006017876025700163,,,-0.0018954686263382675,0.013954404514986021,0.0
composite_30d,3mod_zeroshot_vs_3mod_mimic46,1636,219,-0.012947645818332652,,,-0.02221958333441445,-0.0041175973076648,1.0
cv_first,ehr,1493,76,0.8045258700739145,0.0,,,,
cv_first,ecg_opt,1493,76,0.7150515668140004,0.004674223397680852,,,,
cv_first,ctpa_mimic46,1493,76,0.6289185826245217,0.026956407870451362,0.581,,,
cv_first,ctpa_mimic38,1493,76,0.6292992979979942,0.024329722420207606,,,,
cv_first,ctpa_zeroshot,1493,76,0.6191314118040339,0.0,,,,
cv_first,2mod_mimic46,1493,76,0.8055620039866781,0.002609860523769873,,,,
cv_first,2mod_mimic38,1493,76,0.805463729896371,0.001883325885372338,,,,
cv_first,2mod_zeroshot,1493,76,0.8037752726912553,0.0016051892133538681,,,,
cv_first,3mod_mimic46,1493,76,0.803099735046862,0.00612966192245828,,,,
cv_first,3mod_zeroshot,1493,76,0.7991440094590748,0.005042735593845782,,,,
cv_first,TRANSFER_COST,1493,76,0.010167886193960363,,,,,
cv_first,DEVICE_FLAGS,1493,76,-0.0003807153734725066,,,,,
cv_first,ctpa_zeroshot_vs_ctpa_mimic38,1493,76,-6.822116971316577e-05,,,-0.0581799259641298,0.06307075708507427,0.0
cv_first,2mod_zeroshot_vs_ehr,1493,76,0.0007998475347613987,,,-0.004766851720571971,0.006135594790596293,0.0
cv_first,2mod_zeroshot_vs_2mod_mimic46,1493,76,-0.0009967697040879696,,,-0.006107378874701105,0.004455738986988747,0.0
