direction,outcome,arch,thresh,nb
I2M,death_30d,uni:ehr_only,0.01,0.08310515708938997
I2M,death_30d,uni:ehr_only,0.02,0.0740461132906771
I2M,death_30d,uni:ehr_only,0.03,0.06501909936043714
I2M,death_30d,uni:ehr_only,0.04,0.055993531433191836
I2M,death_30d,uni:ehr_only,0.05,0.047014139350802724
I2M,death_30d,uni:ehr_only,0.060000000000000005,0.0380243345418887
I2M,death_30d,uni:ehr_only,0.06999999999999999,0.029095509171410516
I2M,death_30d,uni:ehr_only,0.08,0.020143960766736108
I2M,death_30d,uni:ehr_only,0.09,0.01126890089897975
I2M,death_30d,uni:ehr_only,0.09999999999999999,0.0023583316488107325
I2M,death_30d,uni:ehr_only,0.11,-0.00645948174242475
I2M,death_30d,uni:ehr_only,0.12,-0.015326092948894629
I2M,death_30d,uni:ehr_only,0.13,-0.02408286457135289
I2M,death_30d,uni:ehr_only,0.14,-0.03290225224589957
I2M,death_30d,uni:ehr_only,0.15000000000000002,-0.04230728070488356
I2M,death_30d,uni:ehr_only,0.16,-0.051084351266279734
I2M,death_30d,uni:ehr_only,0.17,-0.05971490571138406
I2M,death_30d,uni:ehr_only,0.18000000000000002,-0.06843763404280497
I2M,death_30d,uni:ehr_only,0.19,-0.07699391325831594
I2M,death_30d,uni:ehr_only,0.2,-0.08641600970285022
I2M,death_30d,uni:ehr_only,0.21000000000000002,-0.09490216548579501
I2M,death_30d,uni:ehr_only,0.22,-0.10429009034224317
I2M,death_30d,uni:ehr_only,0.23,-0.11270112543611634
I2M,death_30d,uni:ehr_only,0.24000000000000002,-0.12205164214356388
I2M,death_30d,uni:ehr_only,0.25,-0.13038204972710732
I2M,death_30d,uni:ehr_only,0.26,-0.13887204366282596
I2M,death_30d,uni:ehr_only,0.27,-0.1479352367977272
I2M,death_30d,uni:ehr_only,0.28,-0.15635738831615126
I2M,death_30d,uni:ehr_only,0.29000000000000004,-0.16449576781489422
I2M,death_30d,uni:ehr_only,0.3,-0.17283201940570042
I2M,death_30d,uni:ehr_only,0.31,-0.1808562062207223
I2M,death_30d,uni:ehr_only,0.32,-0.1890985624085899
