outcome,direction,config,depth,drop,nparams,auc,sd,gain_vs_ehr
death_30d,I2M,ehr,,,,0.8571045599971874,,0.0
death_30d,I2M,late_wsrc,,,,0.8627342404106458,,0.00562968041345846
death_30d,I2M,depth0,0.0,0.5,2177.0,0.7701499490208485,0.003061989754634291,-0.08695461097633883
death_30d,I2M,depth1,1.0,0.5,4321.0,0.7605825686460642,0.017019078444366714,-0.09652199135112316
death_30d,I2M,depth2,2.0,0.5,6433.0,0.7256647798521018,0.0383206080478109,-0.13143978014508562
death_30d,I2M,depth3,3.0,0.5,8545.0,0.7418858184204667,0.014544974954336879,-0.11521874157672063
death_30d,I2M,noenc,-1.0,0.5,1089.0,0.7887024048096193,0.00785075828804802,-0.06840215518756809
death_30d,I2M,depth0,0.0,0.8,2177.0,0.8242449811904512,0.005075210747237469,-0.03285957880673618
death_30d,I2M,depth1,1.0,0.8,4321.0,0.8159037372991597,0.013565302787691485,-0.04120082269802772
death_30d,I2M,depth2,2.0,0.8,6433.0,0.8005660443694406,0.008307237945766193,-0.05653851562774681
death_30d,I2M,depth3,3.0,0.8,8545.0,0.8007052115927763,0.0065934207556771025,-0.056399348404411076
death_30d,I2M,noenc,-1.0,0.8,1089.0,0.8260548875528836,0.00569211484110652,-0.03104967244430379
death_30d,M2I,ehr,,,,0.7719883559346399,,0.0
death_30d,M2I,late_wsrc,,,,0.7955526804776888,,0.02356432454304891
death_30d,M2I,depth0,0.0,0.5,2177.0,0.7216514216550155,0.009137029203737292,-0.05033693427962438
death_30d,M2I,depth1,1.0,0.5,4321.0,0.7021155337617554,0.005259997923697635,-0.06987282217288449
death_30d,M2I,depth2,2.0,0.5,6433.0,0.7046724895867165,0.006239057584256131,-0.06731586634792341
death_30d,M2I,depth3,3.0,0.5,8545.0,0.7088628712089348,0.002170574291001557,-0.06312548472570512
death_30d,M2I,noenc,-1.0,0.5,1089.0,0.7338651783701858,0.0023126656879893237,-0.03812317756445405
death_30d,M2I,depth0,0.0,0.8,2177.0,0.7463387125685271,0.008952557484229295,-0.02564964336611275
death_30d,M2I,depth1,1.0,0.8,4321.0,0.7375510903111651,0.0012236021528222822,-0.03443726562347482
death_30d,M2I,depth2,2.0,0.8,6433.0,0.7312649632717676,0.007852063885427078,-0.04072339266287228
death_30d,M2I,depth3,3.0,0.8,8545.0,0.7291110951384564,0.004333935748298011,-0.04287726079618348
death_30d,M2I,noenc,-1.0,0.8,1089.0,0.7624429199432793,0.0035806493771333965,-0.009545435991360596
death_30d,M2M,ehr,,,,0.8712512744787823,,0.0
death_30d,M2M,late_wsrc,,,,0.8808010758358823,,0.00954980135710004
death_30d,M2M,depth0,0.0,0.5,2177.0,0.8268378862989136,0.01085668265545262,-0.04441338817986862
death_30d,M2M,depth1,1.0,0.5,4321.0,0.8283028044392879,0.01682691960474228,-0.04294847003949431
death_30d,M2M,depth2,2.0,0.5,6433.0,0.8202457546672292,0.014531287890848111,-0.0510055198115531
death_30d,M2M,depth3,3.0,0.5,8545.0,0.8211920917859109,0.015829738475393585,-0.05005918269287135
death_30d,M2M,noenc,-1.0,0.5,1089.0,0.8602365549813076,0.008877149470015265,-0.011014719497474679
death_30d,M2M,depth0,0.0,0.8,2177.0,0.8486490524909467,0.005500632973680608,-0.02260222198783557
death_30d,M2M,depth1,1.0,0.8,4321.0,0.8447802036822182,0.011615827556251086,-0.026471070796564078
death_30d,M2M,depth2,2.0,0.8,6433.0,0.8388707239039483,0.010052359756160052,-0.03238055057483391
death_30d,M2M,depth3,3.0,0.8,8545.0,0.8356750049807217,0.004193768716616483,-0.035576269498060586
death_30d,M2M,noenc,-1.0,0.8,1089.0,0.8709817295409533,0.0015999582161809029,-0.00026954493782893607
death_30d,I2I,ehr,,,,0.7795911177841313,,0.0
death_30d,I2I,late_wsrc,,,,0.7955167420043553,,0.015925624220224033
death_30d,I2I,depth0,0.0,0.5,2177.0,0.7342647165829876,0.01066102922038532,-0.04532640120114362
death_30d,I2I,depth1,1.0,0.5,4321.0,0.7206766460264471,0.018253537990021544,-0.05891447175768416
death_30d,I2I,depth2,2.0,0.5,6433.0,0.7115966354490002,0.005942693590657273,-0.06799448233513106
death_30d,I2I,depth3,3.0,0.5,8545.0,0.6962360438928554,0.011665597052454258,-0.08335507389127583
death_30d,I2I,noenc,-1.0,0.5,1089.0,0.7593537641335809,0.0030432839765778485,-0.02023735365055035
death_30d,I2I,depth0,0.0,0.8,2177.0,0.7678050732701172,0.01281839879304959,-0.011786044514014105
death_30d,I2I,depth1,1.0,0.8,4321.0,0.7613827349799366,0.0051448911715023795,-0.018208382804194678
death_30d,I2I,depth2,2.0,0.8,6433.0,0.7565146247402225,0.006219662411162314,-0.023076493043908797
death_30d,I2I,depth3,3.0,0.8,8545.0,0.7458402326328438,0.004303056005502063,-0.033750885151287435
death_30d,I2I,noenc,-1.0,0.8,1089.0,0.780268624559199,0.006280310034535906,0.0006775067750677266
