outcome,model,n_mod,n,ev,auc,ap,weights
death_30d,ctpa,1,1639,152,0.7838857820408451,0.28951360110922186,
death_30d,ecg,1,1635,152,0.7370594811370976,0.21801534880048623,
death_30d,ehr,1,1639,152,0.8564577213039324,0.4007969767046829,
death_30d,ctpa+ecg,2,1635,152,0.8082323348830607,0.3643330078541483,"[0.59, 0.41]"
death_30d,ctpa+ehr,2,1639,152,0.8718410434290164,0.44033606009716963,"[0.28, 0.72]"
death_30d,ecg+ehr,2,1635,152,0.8574901515420378,0.40887471377358664,"[0.2, 0.8]"
death_30d,ctpa+ecg+ehr,3,1635,152,0.8720388082478616,0.44480751725905526,"[0.25, 0.15, 0.6]"
composite_30d,ctpa,1,1639,219,0.7512283748151006,0.29598862393895875,
composite_30d,ecg,1,1635,218,0.7364408590315501,0.283074554956834,
composite_30d,ehr,1,1639,219,0.8211267605633803,0.37742278756279196,
composite_30d,ctpa+ecg,2,1635,218,0.7984516325354639,0.3626347620253773,"[0.52, 0.48]"
composite_30d,ctpa+ehr,2,1639,219,0.8368415975303877,0.41195572902569816,"[0.32, 0.68]"
composite_30d,ecg+ehr,2,1635,218,0.8280512518371284,0.37764832108491364,"[0.27, 0.73]"
composite_30d,ctpa+ecg+ehr,3,1635,218,0.8452231423151378,0.41517480116972966,"[0.29, 0.18, 0.53]"
cv_first,ctpa,1,1496,76,0.6256949592290585,0.08003891560068843,
cv_first,ecg,1,1492,75,0.6653022818160433,0.10248204238626285,
cv_first,ehr,1,1496,76,0.8047905856189772,0.18083611299468888,
cv_first,ctpa+ecg,2,1492,75,0.6592801693719126,0.11967251142700047,"[0.36, 0.64]"
cv_first,ctpa+ehr,2,1496,76,0.7973498888065235,0.18053583239451546,"[0.09, 0.91]"
cv_first,ecg+ehr,2,1492,75,0.8024464831804281,0.17142394377833048,"[0.06, 0.94]"
cv_first,ctpa+ecg+ehr,3,1492,75,0.792811103269819,0.15639016805843603,"[0.07, 0.04, 0.89]"
