direction,outcome,config,drop,wd,ls,auc,src_auc,overfit,ehr_ref,late_ref,gain,lo,hi,vs_late,sig
I2M,death_30d,drop00,0.0,0.0001,0.0,0.7868500158211159,1.0,0.2131499841788841,0.8571045599971874,0.8627364377878565,-0.069685136609382,-0.108382122950742,-0.032174080694372484,-0.07588642196674056,1
I2M,death_30d,drop20,0.2,0.0001,0.0,0.8033567134268536,0.997549528540472,0.1941928151136184,0.8571045599971874,0.8627364377878565,-0.05289036873334678,-0.09062674776983491,-0.0158804312664549,-0.05937972436100292,1
I2M,death_30d,drop40,0.4,0.0001,0.0,0.8158114474563161,0.9860678518376539,0.17025640438133782,0.8571045599971874,0.8627364377878565,-0.04051349850655636,-0.07411586620782279,-0.007441085919132801,-0.046924990331540406,1
I2M,death_30d,drop50,0.5,0.0001,0.0,0.8373105860844495,0.9726321870291395,0.13532160094468992,0.8571045599971874,0.8627364377878565,-0.01912489646710003,-0.04924918802144762,0.009321687494477994,-0.025425851703406943,0
I2M,death_30d,drop60,0.6,0.0001,0.0,0.8459506732763773,0.9542862619195936,0.10833558864321635,0.8571045599971874,0.8627364377878565,-0.010650849566561678,-0.03909439825705732,0.01645513557652598,-0.016785764511479173,0
I2M,death_30d,drop70,0.7,0.0001,0.0,0.8485172098583131,0.9290707641850484,0.08055355432673528,0.8571045599971874,0.8627364377878565,-0.008051247373420367,-0.03605047944537289,0.017947444822130978,-0.014219227929543332,0
I2M,death_30d,drop80,0.8,0.0001,0.0,0.8568848222761313,0.9003758898099787,0.04349106753384746,0.8571045599971874,0.8627364377878565,0.00012976434540985248,-0.024735394527637376,0.024233892671785735,-0.0058516155117251945,0
I2M,death_30d,drop90,0.9,0.0001,0.0,0.8694186618851739,0.8641499086896567,-0.005268753195517228,0.8571045599971874,0.8627364377878565,0.012431318044652752,-0.005694630303444456,0.031167848349582215,0.006682224097317446,0
I2M,death_30d,d50_wd1e2,0.5,0.01,0.0,0.8281563126252505,0.9659343204434009,0.13777800781815042,0.8571045599971874,0.8627364377878565,-0.028407372255239424,-0.05934535593274938,0.0015665478170878368,-0.034580125162606,0
I2M,death_30d,d50_wd1e1,0.5,0.1,0.0,0.8593810427873291,0.8339056867975359,-0.025475355989793225,0.8571045599971874,0.8627364377878565,0.002288692498838203,-0.006972702204929434,0.011837483225196652,-0.0033553950005273947,0
I2M,death_30d,d50_ls10,0.5,0.0001,0.1,0.8360185282846394,0.9730794213639583,0.1370608930793189,0.8571045599971874,0.8627364377878565,-0.02057645263970775,-0.04554854942373478,0.00437839592951859,-0.026717909503217063,0
I2M,death_30d,d80_wd1e2,0.8,0.01,0.0,0.858018668916781,0.8989503303677439,0.04093166145096283,0.8571045599971874,0.8627364377878565,0.0011457444637457165,-0.023256001794303264,0.023245939550454175,-0.004717768871075445,0
I2M,composite_30d,drop00,0.0,0.0001,0.0,0.7639939968707091,1.0,0.23600600312929088,0.8215154708305392,0.8316233994316184,-0.05758534896036096,-0.09073320203577945,-0.026601000828192275,-0.06762940256090932,1
I2M,composite_30d,drop20,0.2,0.0001,0.0,0.8215505955231982,0.9885254786659345,0.16697488314273634,0.8215154708305392,0.8316233994316184,0.00024177230029469855,-0.021668909904465603,0.02121248485491178,-0.010072803908420247,0
I2M,composite_30d,drop40,0.4,0.0001,0.0,0.8266340964971101,0.9478361288722791,0.12120203237516902,0.8215154708305392,0.8316233994316184,0.005311967800669984,-0.013846667001737718,0.02306168528456954,-0.004989302934508388,0
I2M,composite_30d,drop50,0.5,0.0001,0.0,0.8332343455631126,0.9175210329619724,0.0842866873988598,0.8215154708305392,0.8316233994316184,0.011897730351909984,-0.006153284929966002,0.028721427653120687,0.0016109461314941509,0
I2M,composite_30d,drop60,0.6,0.0001,0.0,0.837883577609605,0.8874043110930055,0.04952073348340058,0.8215154708305392,0.8316233994316184,0.016424328666052757,0.0009054145286400417,0.030678499163590004,0.0062601781779865195,1
I2M,composite_30d,drop70,0.7,0.0001,0.0,0.8355238368936997,0.8589496802989781,0.023425843405278424,0.8215154708305392,0.8316233994316184,0.01405356255899193,-0.0003070020722617222,0.027953356727674347,0.003900437462081241,0
I2M,composite_30d,drop80,0.8,0.0001,0.0,0.8378484529169461,0.8345652597460104,-0.0032831931709357276,0.8215154708305392,0.8316233994316184,0.016352853036912886,0.0042485416658561035,0.028598880095949318,0.006225053485327647,1
I2M,composite_30d,drop90,0.9,0.0001,0.0,0.8390522719289841,0.8035423935953523,-0.03550987833363184,0.8215154708305392,0.8316233994316184,0.017530113931520014,0.009228438229323205,0.026483502696322287,0.0074288724973656795,1
I2M,composite_30d,d50_wd1e2,0.5,0.01,0.0,0.83073729923045,0.9025763828618999,0.07183908363144986,0.8215154708305392,0.8316233994316184,0.00942308162183001,-0.009778079605171236,0.027599694077231094,-0.000886100201168416,0
I2M,composite_30d,d50_wd1e1,0.5,0.1,0.0,0.8166858255899353,0.771480189163818,-0.0452056364261173,0.8215154708305392,0.8316233994316184,-0.004903650587512775,-0.009994029401720186,5.416903428471203e-05,-0.01493757384168315,0
I2M,composite_30d,d50_ls10,0.5,0.0001,0.1,0.83163776862407,0.9312874829522307,0.09964971432816072,0.8215154708305392,0.8316233994316184,0.010222923862787496,-0.008638965764959807,0.028234610924211305,1.4369192451568757e-05,0
I2M,composite_30d,d80_wd1e2,0.8,0.01,0.0,0.8388287511575182,0.8261357799465099,-0.01269297121100832,0.8215154708305392,0.8316233994316184,0.01733812912573637,0.006247099808309528,0.02841767377855835,0.007205351725899756,1
M2I,death_30d,drop00,0.0,0.0001,0.0,0.7459775530957667,1.0,0.25402244690423326,0.7719883559346399,0.7955526804776889,-0.026204076135714013,-0.0539333235601199,0.0015106742273910273,-0.04957512738192216,0
M2I,death_30d,drop20,0.2,0.0001,0.0,0.7686400881690546,0.9993232078191471,0.23068311965009247,0.7719883559346399,0.7955526804776889,-0.0032359652220204644,-0.02463002152457635,0.01792329954492995,-0.026912592308634298,0
M2I,death_30d,drop40,0.4,0.0001,0.0,0.7693448815627646,0.996853355834476,0.2275084742717114,0.7719883559346399,0.7955526804776889,-0.0024503205982345194,-0.02141711190369027,0.01712878392191092,-0.026207798914924307,0
M2I,death_30d,drop50,0.5,0.0001,0.0,0.7722192939021728,0.9930343142425201,0.22081502034034728,0.7719883559346399,0.7955526804776889,0.0004162722584127664,-0.018138196248487493,0.019810905864705006,-0.02333338657551609,0
M2I,death_30d,drop60,0.6,0.0001,0.0,0.7727716815478567,0.9861345498013572,0.21336286825350048,0.7719883559346399,0.7955526804776889,0.000901350490397536,-0.016674020824166323,0.019106141902394673,-0.022780998929832208,0
M2I,death_30d,drop70,0.7,0.0001,0.0,0.7788446180139602,0.9741852125303239,0.19534059451636365,0.7719883559346399,0.7955526804776889,0.006994273733287917,-0.00854813114629693,0.023396550475068282,-0.01670806246372869,0
M2I,death_30d,drop80,0.8,0.0001,0.0,0.7850207112090767,0.9570984073409978,0.17207769613192114,0.7719883559346399,0.7955526804776889,0.013191708527966079,-0.0002537478975289553,0.027641225853146507,-0.010531969268612218,0
M2I,death_30d,drop90,0.9,0.0001,0.0,0.781955958066457,0.9212372112646345,0.13928125319817752,0.7719883559346399,0.7955526804776889,0.010047468121082379,-0.000322858727699446,0.02082519034453536,-0.013596722411231887,0
M2I,death_30d,d50_wd1e2,0.5,0.01,0.0,0.7735070891966287,0.992493759448722,0.21898667025209329,0.7719883559346399,0.7955526804776889,0.00169075246311814,-0.017009829308808753,0.0203650746974274,-0.022045591281060206,0
M2I,death_30d,d50_wd1e1,0.5,0.1,0.0,0.7889619637846674,0.9558810603663467,0.16691909658167925,0.7719883559346399,0.7955526804776889,0.017061839594068408,0.0010491564890313166,0.03369191998213755,-0.00659071669302147,1
M2I,death_30d,d50_ls10,0.5,0.0001,0.1,0.7788519388140835,0.9943747143409627,0.21552277552687915,0.7719883559346399,0.7955526804776889,0.007087719926490584,-0.012332609639600483,0.02700096061277378,-0.016700741663605356,0
M2I,death_30d,d80_wd1e2,0.8,0.01,0.0,0.7837269261690653,0.9547999507787506,0.17107302460968532,0.7719883559346399,0.7955526804776889,0.011887223001696338,-0.0021748549355475153,0.02695889055764603,-0.011825754308623648,0
