outcome,model,n,ev,auc,ap,published,gain,lo,hi,seed_mean,seed_sd,C,sig
composite_30d,baseline,3501,547,0.7164146405765925,0.3121653736279429,0.7207,0.0,0.0,0.0,0.7153842154968505,0.0038993472928732687,,0
composite_30d,no_classweight,3501,547,0.7193771900400906,0.31460349476236327,0.7207,0.0029668880433619186,0.00025525001207478415,0.0056235553362527155,0.7177959671699762,0.0030477023579706638,,1
composite_30d,C_tuned_bal,3501,547,0.72298460613007,0.31883797177387074,0.7207,0.006449045033747728,-0.0016881863300486715,0.01503068464219445,0.7212243224052578,0.0017996619898670565,"[0.003, 0.01, 0.03]",0
composite_30d,C_tuned_none,3501,547,0.7221751190403989,0.32111298032882274,0.7207,0.005632956218987128,-0.0030657325963225706,0.014837725976972044,0.7206101931835577,0.0016105535194216095,"[0.003, 0.01, 0.1]",0
composite_30d,boosting,3501,547,0.7117956750614851,0.29606297182544367,0.7207,-0.0047744583914557295,-0.018444632251615786,0.009030939664028494,0.709586914034699,0.002538879030123973,,0
composite_30d,logit_traj,3501,547,0.7167773006947478,0.3046225546867577,0.7207,0.00021893584829782537,-0.011269283123669718,0.011747904386200625,0.7160055649143043,0.0006691023172435285,"[0.003, 0.01]",0
composite_30d,blend_gb,3501,547,0.7220825973890947,0.31519580905248074,0.7207,0.005522051288731635,-0.004135629534231571,0.01567731898075251,,,,0
death_30d,baseline,3501,397,0.7188319613596821,0.2429891532515444,0.7229,0.0,0.0,0.0,0.7164623854163962,0.0021741538052155195,,0
death_30d,no_classweight,3501,397,0.7222848879482718,0.24890916785148726,0.7229,0.0033841449805201993,-0.0005307636816306444,0.007506648713174906,0.719309934041393,0.0034373536087683792,,0
death_30d,C_tuned_bal,3501,397,0.7165930366927212,0.24623694999508036,0.7229,-0.0024809273474018312,-0.012473833887161376,0.007606060161053491,0.7171183467933903,0.0005226261063949275,"[0.003, 0.01, 0.03, 0.1, 0.3]",0
death_30d,C_tuned_none,3501,397,0.7117345945103742,0.23831335869764625,0.7229,-0.007254666552983425,-0.015626154206427975,0.0018154192330892345,0.7152616379720759,0.0039770173692447895,"[0.01, 0.03, 0.3, 1.0, 3.0]",0
death_30d,boosting,3501,397,0.7101525779687865,0.243307934642569,0.7229,-0.00905589665804805,-0.02707926663624195,0.009682871996022514,0.706041661256676,0.004020404708260594,,0
death_30d,logit_traj,3501,397,0.7144206549118389,0.2401763619030624,0.7229,-0.004814044180830086,-0.019909576426657104,0.010150428361504047,0.7087242051641608,0.005375624447723259,[0.01],0
death_30d,blend_gb,3501,397,0.7201660650756966,0.2627285491254916,0.7229,0.0010338158265171227,-0.011226656160712514,0.01315929499064831,,,,0
death_30d_inhosp,baseline,3501,242,0.7059915453455021,0.15579794731561714,0.7063,0.0,0.0,0.0,0.7037291095563293,0.006284616210308092,,0
death_30d_inhosp,no_classweight,3501,242,0.7175881665267703,0.1635605989623142,0.7063,0.01164574708865879,0.004200099739544652,0.01936248288558901,0.7163138822180916,0.004332817114200608,,1
death_30d_inhosp,C_tuned_bal,3501,242,0.7193734325035059,0.17056269822302597,0.7063,0.013173983319440244,-0.005000351146782553,0.032007721369020664,0.7191042056031317,0.0008583397987499004,"[0.001, 0.003]",0
death_30d_inhosp,C_tuned_none,3501,242,0.7213463542789325,0.17472683682807447,0.7063,0.015267696054749844,-0.0018271148449009456,0.03284864824450168,0.7188962626910685,0.005041140437128324,"[0.01, 0.03, 0.1]",0
death_30d_inhosp,boosting,3501,242,0.7034936945115751,0.15874783356095015,0.7063,-0.0025614967760137107,-0.02937231849488995,0.024441207687871176,0.697995675463666,0.006068453335061505,,0
death_30d_inhosp,logit_traj,3501,242,0.7202825487714885,0.20148529477029448,0.7063,0.01419667998874753,-0.007117254271214976,0.03543712361062274,0.7157995193644723,0.004307470396337617,"[0.003, 0.01]",0
death_30d_inhosp,blend_gb,3501,242,0.7187813023819607,0.18589083618835076,0.7063,0.012723935859097068,-0.008490332734740244,0.03392901482410244,,,,0
cv_first,baseline,3126,172,0.6983180079041426,0.14486727655093593,0.6849,0.0,0.0,0.0,0.6827859215988831,0.013456968494802572,,0
cv_first,no_classweight,3126,172,0.7138153233298168,0.14960085985765909,0.6849,0.01550114732083472,0.0038872852213103605,0.027139977311054993,0.7027608078390619,0.009886021665435271,,1
cv_first,C_tuned_bal,3126,172,0.7215895671615941,0.16534262515914633,0.6849,0.023197001023767087,-0.00032142350965473903,0.04731711681689679,0.7201259099473583,0.003373612989845878,"[0.001, 0.003]",0
cv_first,C_tuned_none,3126,172,0.717267481223725,0.16771509375045657,0.6849,0.01886139036581406,-0.0057858153570951145,0.043981414346534596,0.7184431305863027,0.002915373173717997,"[0.003, 0.01]",0
cv_first,boosting,3126,172,0.6849128497425643,0.13276074670826546,0.6849,-0.013339220015753456,-0.042770178069801046,0.015082001743800548,0.6840229120414837,0.008531932916258419,,0
cv_first,logit_traj,3126,172,0.719491505408512,0.14815085981428566,0.6849,0.020906197034604255,-0.007125508289166765,0.04933805574941653,0.7240399300908504,0.00500096662102477,"[0.003, 0.01]",0
cv_first,blend_gb,3126,172,0.7100197209932138,0.1536877661234227,0.6849,0.011689966278127493,-0.013498882082954406,0.036278299442371625,,,,0
