outcome,config,class_weight,tuned_C,trajectory,n,ev,seed_mean,seed_sd,seed42,lo,hi,published,vs_published,C
composite_30d,published,balanced,False,False,3501,547,0.714863866303429,0.003061539247863599,0.7164146405765925,0.7110731397578223,0.718664866156137,0.7207,-0.005836133696570989,1.0
composite_30d,cw_none,None,False,False,3501,547,0.7175283660862042,0.0023632338895121867,0.7193771900400906,0.7142826199161054,0.7197280915537325,0.7207,-0.003171633913795824,1.0
composite_30d,C_bal,balanced,True,False,3501,547,0.7221904671136588,0.0019825585949203935,0.72298460613007,0.7193877108967608,0.7246988868933644,0.7207,0.0014904671136587444,"[0.003, 0.01, 0.03]"
composite_30d,C_none,None,True,False,3501,547,0.7214860648159036,0.0018177454695866586,0.7221751190403989,0.7189575935211328,0.7238665014685877,0.7207,0.0007860648159035977,"[0.003, 0.01, 0.03, 0.1]"
composite_30d,traj_bal,balanced,False,True,3501,547,0.6725284341623355,0.005111444776480335,0.679186279812704,0.6659194795517867,0.679186279812704,0.7207,-0.048171565837664465,1.0
composite_30d,traj_none,None,False,True,3501,547,0.6804765081648037,0.005404171039320024,0.6880918755469297,0.6745886654478975,0.6880918755469297,0.7207,-0.04022349183519636,1.0
composite_30d,C_traj_bal,balanced,True,True,3501,547,0.717369934362232,0.0007948274419332213,0.7167933914167137,0.7166417673058808,0.7186586774169192,0.7207,-0.0033300656377680538,"[0.001, 0.003]"
composite_30d,C_traj_none,None,True,True,3501,547,0.7159230071331406,0.0007945124763055302,0.7167773006947478,0.7149107769466988,0.7167773006947478,0.7207,-0.0047769928668593975,"[0.003, 0.01]"
death_30d,published,balanced,False,False,3501,397,0.715882813108624,0.002842543148638156,0.7188319613596821,0.7118238593575528,0.7188319613596821,0.7229,-0.007017186891375982,1.0
death_30d,cw_none,None,False,False,3501,397,0.7185268378820535,0.003614970511127466,0.7222848879482718,0.7138850658287673,0.7222848879482718,0.7229,-0.004373162117946472,1.0
death_30d,C_bal,balanced,True,False,3501,397,0.7166105650627126,0.0010171183544921668,0.7165930366927212,0.7149383910254745,0.7176382469033213,0.7229,-0.006289434937287397,"[0.003, 0.01, 0.03, 0.1, 0.3, 1.0]"
