outcome,model,n,ev,auc,gain,lo,hi,weight,sig
death_30d,stored,1645,152,0.7367275355166214,0.0,0.0,0.0,,0
death_30d,meas_lr,1645,152,0.6338879684140022,-0.10297124802464262,-0.15190792033939546,-0.05597327258986603,,1
death_30d,meas_gb,1645,152,0.6676904501709733,-0.06915329951808054,-0.11593026522954317,-0.023094472323127814,,1
death_30d,equal_gb,1645,152,0.7296859026333417,-0.007110705812990995,-0.030962303277542867,0.016419099681040526,,0
death_30d,wfix_lr,1645,152,0.7330150350759685,-0.00373934062918285,-0.007864006277414385,8.113706027304572e-05,0.04,0
death_30d,wfix_gb,1645,152,0.7346057919413402,-0.002172048110285163,-0.007181339087834309,0.00269441564445724,0.06,0
death_30d,stack_gb,1645,152,0.736674657172066,-5.835090836296275e-05,-0.003862184396281207,0.003932605017624813,,0
death_30d,WEIGHT_broken_vs_fixed,1645,152,,,0.99,0.06,,0
death_30d_inhosp,stored,1645,83,0.7302037856933495,0.0,0.0,0.0,,0
death_30d_inhosp,meas_lr,1645,83,0.6988723138392237,-0.03178581104733031,-0.09005425147013216,0.023417617010523077,,0
death_30d_inhosp,meas_gb,1645,83,0.6873331996359315,-0.04348894954526075,-0.10654772821171903,0.014942749337455529,,0
death_30d_inhosp,equal_gb,1645,83,0.7492132422134119,0.018757969211956976,-0.015097980332027094,0.049656756583491925,,0
death_30d_inhosp,wfix_lr,1645,83,0.7293090415438964,-0.0007970945309624635,-0.01618403927886853,0.014051282241818262,0.20000000000000004,0
death_30d_inhosp,wfix_gb,1645,83,0.7316731715594773,0.0015390892406579124,-0.006774872958252809,0.008869325461565275,0.1,0
death_30d_inhosp,stack_gb,1645,83,0.7309211236752388,0.0006068568254417057,-0.007626294735386182,0.0089041927603484,,0
death_30d_inhosp,WEIGHT_broken_vs_fixed,1645,83,,,0.99,0.1,,0
composite_30d,stored,1645,218,0.7356968812482721,0.0,0.0,0.0,,0
composite_30d,meas_lr,1645,218,0.6582488443710101,-0.07708310999746862,-0.11134207665090225,-0.04321667232404636,,1
composite_30d,meas_gb,1645,218,0.6697456651858329,-0.06593552912214184,-0.09748270943249394,-0.035575331936154246,,1
composite_30d,equal_gb,1645,218,0.7266222202220609,-0.009110668172709696,-0.025906040156888153,0.007057877565474242,,0
composite_30d,wfix_lr,1645,218,0.7323296451785037,-0.0032952919619958056,-0.0106498173503868,0.003979970879302691,0.18,0
composite_30d,wfix_gb,1645,218,0.7338597686813292,-0.0019176023539577635,-0.009640917488110454,0.00518277572124828,0.21000000000000002,0
composite_30d,stack_gb,1645,218,0.7285959509588988,-0.007198423553674926,-0.015762236136282266,0.0013517349559629235,,0
composite_30d,WEIGHT_broken_vs_fixed,1645,218,,,1.0,0.21000000000000002,,0
