outcome,featset,nfeat,auc_unscaled,C_unscaled,sd_unscaled,auc_scaled,C_scaled,auc_best,vs_logits,published,vs_published,at_grid_floor
cv_first,logits,71,0.7209762875722315,0.001,0.00119627935658139,0.7209762875722315,0.001,0.7209762875722315,0.0,0.6849,0.03607628757223158,0
cv_first,L+dan,83,0.7278176221441954,0.001,0.0022877888900226314,0.7284450725071248,0.1,0.7284450725071248,0.0074687849348932245,0.6849,0.043545072507124805,0
cv_first,L+morph,185,0.7301554061501156,0.0003,0.0041767206745373835,0.730986758199367,0.03,0.730986758199367,0.010010470627135448,0.6849,0.04608675819936703,0
cv_first,L+dan+core,91,0.7288300451890224,0.001,0.0032841459173960598,0.7267587504526776,0.1,0.7288300451890224,0.007853757616790857,0.6849,0.04393004518902244,0
cv_first,L+dan+morph,197,0.7346329769646204,0.0001,0.003373207565637047,0.7366424713829101,0.01,0.7366424713829101,0.015666183810678525,0.6849,0.051742471382910105,0
death_30d_inhosp,logits,71,0.721035961444341,0.003,0.000875460600710829,0.721035961444341,0.003,0.721035961444341,0.0,0.7063,0.014735961444340973,0
death_30d_inhosp,L+dan,83,0.7264493240587414,0.003,0.001233410195487739,0.7256705524941738,0.1,0.7264493240587414,0.005413362614400397,0.7063,0.02014932405874137,0
death_30d_inhosp,L+morph,185,0.720408582463312,0.0003,0.001705576497260986,0.7214579334024785,0.03,0.7214579334024785,0.00042197195813753474,0.7063,0.015157933402478507,0
death_30d_inhosp,L+dan+core,91,0.725314260065578,0.001,0.0014261985891154082,0.7230841991281614,0.1,0.725314260065578,0.0042782986212369645,0.7063,0.019014260065577937,0
death_30d_inhosp,L+dan+morph,197,0.7216912352062567,0.0003,0.001687731170497668,0.7215712876484446,0.03,0.7216912352062567,0.0006552737619156535,0.7063,0.015391235206256626,0
composite_30d,logits,71,0.7229274221796987,0.01,0.0009273354993983875,0.7229274221796987,0.01,0.7229274221796987,0.0,0.7207,0.002227422179698735,0
composite_30d,L+dan,83,0.7259941900116225,0.003,0.0005834089042708221,0.7261089292367181,0.3,0.7261089292367181,0.0031815070570193615,0.7207,0.005408929236718096,0
composite_30d,L+morph,185,0.726770505459087,0.001,0.001488978412759517,0.7274172287073333,0.1,0.7274172287073333,0.004489806527634532,0.7207,0.006717228707333267,0
composite_30d,L+dan+core,91,0.7259006162746513,0.003,0.0010985571175634095,0.7255432784722231,0.3,0.7259006162746513,0.002973194094952558,0.7207,0.005200616274651293,0
composite_30d,L+dan+morph,197,0.7280387018995716,0.001,0.001509802807871138,0.7278999503663115,0.1,0.7280387018995716,0.005111279719872908,0.7207,0.007338701899571642,0
death_30d,logits,71,0.71943393102911,0.03,0.002065994614233838,0.71943393102911,0.03,0.71943393102911,0.0,0.7229,-0.0034660689708899683,0
death_30d,L+dan,83,0.7236306772442805,0.03,0.0030694525765593435,0.7236053584876263,1.0,0.7236306772442805,0.0041967462151705215,0.7229,0.0007306772442805531,0
death_30d,L+morph,185,0.7196619621387208,0.003,0.0032631239745233,0.7206521527435145,0.1,0.7206521527435145,0.0012182217144044438,0.7229,-0.0022478472564855245,0
death_30d,L+dan+core,91,0.7232312576280869,0.01,0.0028625355204026843,0.7229795307590433,1.0,0.7232312576280869,0.0037973265989769134,0.7229,0.00033125762808694503,0
death_30d,L+dan+morph,197,0.7198122516814252,0.001,0.002934122398259944,0.719882689760835,0.1,0.719882689760835,0.00044875873172500746,0.7229,-0.003017310239164961,0
