outcome,model,n,ev,auc,ap,ehr,gap,pred_3mod
death_30d,stored,1645,152,0.7367275355166214,0.2174077170183568,0.8568010364155534,0.12007350089893198,0.006882176032008993
death_30d,derived_lr,1645,152,0.6536776888638206,0.15884319712371955,0.8568010364155534,0.20312334755173278,-0.013257411781295199
death_30d,derived_gb,1645,152,0.65769203652131,0.17049119470501078,0.8568010364155534,0.19910899989424335,-0.012283932474354012
death_30d,both_lr,1645,152,0.6961742517714246,0.18311735567192156,0.8568010364155534,0.16062678464412883,-0.0029519952762012414
death_30d,both_gb,1645,152,0.6854002890682835,0.17746613539677242,0.8568010364155534,0.17140074734726984,-0.0055646812317129354
death_30d,fuse,1645,152,0.7283353015828251,0.2188229920864148,0.8568010364155534,0.12846573483272827,0.004847059303063391
death_30d_inhosp,stored,1645,83,0.7302037856933495,0.1433498846857018,0.8583758851025098,0.1281720994091603,0.004918265893278626
death_30d_inhosp,derived_lr,1645,83,0.7268253551980007,0.13066969360658454,0.8583758851025098,0.1315505299045091,0.0040989964981565374
death_30d_inhosp,derived_gb,1645,83,0.6501087576940284,0.09547077262475052,0.8583758851025098,0.2082671274084814,-0.014504778396556742
death_30d_inhosp,both_lr,1645,83,0.7422056985946346,0.1336861204515868,0.8583758851025098,0.11617018650787525,0.007828729771840251
death_30d_inhosp,both_gb,1645,83,0.6444471869552474,0.10667105301078077,0.8583758851025098,0.21392869814726245,-0.015877709300711147
death_30d_inhosp,fuse,1645,83,0.7524644030668127,0.16820717138410385,0.8583758851025098,0.10591148203569711,0.010316465606343448
composite_30d,stored,1645,218,0.7356968812482721,0.2816839609349526,0.8211202047022368,0.08542332345396464,0.015284844062413573
composite_30d,derived_lr,1645,218,0.656365120899044,0.217742619316239,0.8211202047022368,0.16475508380319281,-0.00395310782227426
composite_30d,derived_gb,1645,218,0.6540185029220215,0.2189704571944352,0.8211202047022368,0.16710170178021533,-0.004522162681702219
composite_30d,both_lr,1645,218,0.6917701214455166,0.23299753240426846,0.8211202047022368,0.12935008325672015,0.004632604810245362
composite_30d,both_gb,1645,218,0.6674424435686594,0.23918491785858959,0.8211202047022368,0.15367776113357734,-0.001266857074892505
composite_30d,fuse,1645,218,0.716192628405007,0.26647569312948377,0.8211202047022368,0.10492757629722982,0.010555062747921767
cv_first,stored,1502,75,0.6642279841158607,0.10146203137026498,0.8025881803316981,0.1383601962158374,0.0024476524176594294
cv_first,derived_lr,1502,75,0.6632188740948377,0.09241946544662859,0.8025881803316981,0.1393693062368604,0.0022029432375613514
cv_first,derived_gb,1502,75,0.5293529549170755,0.062454220604614294,0.8025881803316981,0.27323522541462264,-0.030259542163045987
cv_first,both_lr,1502,75,0.6641438916141089,0.09261311899629902,0.8025881803316981,0.13844428871758918,0.0024272599859846214
cv_first,both_gb,1502,75,0.5462181733239897,0.06708524100849271,0.8025881803316981,0.2563700070077084,-0.02616972669936929
cv_first,fuse,1502,75,0.6824900724129876,0.11507182856327296,0.8025881803316981,0.12009810791871045,0.0068762088297127134
