outcome,featset,nfeat,C,auc,sd,vs_logits,published,vs_published,at_edge
cv_first,logits,71,0.001,0.7209762875722315,0.00119627935658139,0.0,0.6849,0.03607628757223158,0
cv_first,L+v7,228,0.0001,0.7407063343357843,0.0020614541468592243,0.019730046763552722,0.6849,0.0558063343357843,0
cv_first,L+v8,244,0.0001,0.7415215474484735,0.0028225404175967026,0.020545259876242006,0.6849,0.056621547448473586,0
cv_first,L+v12,256,0.0001,0.7425540457558534,0.003950307935022418,0.021577758183621842,0.6849,0.05765404575585342,0
cv_first,L+shopp,83,0.001,0.7319318700697515,0.0024094569393175547,0.010955582497519933,0.6849,0.047031870069751514,0
cv_first,L+daniel,79,0.001,0.7292933507581364,0.002128898965261767,0.00831706318590486,0.6849,0.04439335075813644,0
cv_first,L+daniel_wave,73,0.001,0.7248216844326179,0.0018387395697820267,0.0038453968603863187,0.6849,0.0399216844326179,0
cv_first,L+v12+tpe,260,0.0001,0.741799058430823,0.0038617518173594363,0.02082277085859152,0.6849,0.0568990584308231,0
cv_first,L+v12+strict,264,0.0001,0.7433672907055471,0.004377674126696332,0.022391003133315546,0.6849,0.058467290705547126,0
cv_first,L+dan+shopp,91,0.001,0.7388629528743053,0.0033616833533091596,0.017886665302073723,0.6849,0.0539629528743053,0
death_30d_inhosp,logits,71,0.003,0.721035961444341,0.000875460600710829,0.0,0.7063,0.014735961444340973,0
death_30d_inhosp,L+v7,228,0.0003,0.7224687388262383,0.0031219519191187286,0.0014327773818972878,0.7063,0.01616873882623826,0
death_30d_inhosp,L+v8,244,0.0003,0.7234706686378978,0.0024605745502596322,0.002434707193556762,0.7063,0.017170668637897735,0
death_30d_inhosp,L+v12,256,0.0003,0.7260014860310546,0.0019726232235966128,0.004965524586713621,0.7063,0.019701486031054594,0
death_30d_inhosp,L+shopp,83,0.001,0.7271548084262525,0.0011406886429155946,0.006118846981911452,0.7063,0.020854808426252425,0
death_30d_inhosp,L+daniel,79,0.003,0.7210321576105837,0.0011009678271089037,-3.80383375730986e-06,0.7063,0.014732157610583663,0
death_30d_inhosp,L+daniel_wave,73,0.003,0.7221121928087254,0.00048394473365055354,0.0010762313643843946,0.7063,0.015812192808725367,0
death_30d_inhosp,L+v12+tpe,260,0.0003,0.7263273477895922,0.0016216296468164286,0.00529138634525117,0.7063,0.020027347789592143,0
death_30d_inhosp,L+v12+strict,264,0.0003,0.7283631596164721,0.001960056967974443,0.007327198172131122,0.7063,0.022063159616472094,0
death_30d_inhosp,L+dan+shopp,91,0.001,0.7261772231506394,0.0014579529614049244,0.005141261706298361,0.7063,0.019877223150639334,0
composite_30d,logits,71,0.01,0.7229274221796987,0.0009273354993983875,0.0,0.7207,0.002227422179698735,0
composite_30d,L+v7,228,0.001,0.7334433278583621,0.0028173314983076813,0.01051590567866334,0.7207,0.012743327858362075,0
composite_30d,L+v8,244,0.001,0.7321820628058011,0.0030460991592363377,0.009254640626102373,0.7207,0.011482062805801108,0
composite_30d,L+v12,256,0.001,0.7356640950392304,0.0019396837148421262,0.012736672859531617,0.7207,0.014964095039230352,0
composite_30d,L+shopp,83,0.003,0.7301443585309915,0.0014815937981914756,0.007216936351292724,0.7207,0.009444358530991459,0
composite_30d,L+daniel,79,0.003,0.7258388526572589,0.0014158088553424997,0.0029114304775601507,0.7207,0.0051388526572588855,0
composite_30d,L+daniel_wave,73,0.003,0.7261390065093158,0.0010677366146943517,0.003211584329617101,0.7207,0.005439006509315836,0
composite_30d,L+v12+tpe,260,0.001,0.7350339576120873,0.0018100898691316173,0.012106535432388599,0.7207,0.014333957612087334,0
composite_30d,L+v12+strict,264,0.001,0.7369756126542389,0.0018863231146244543,0.0140481904745402,0.7207,0.016275612654238936,0
composite_30d,L+dan+shopp,91,0.003,0.7311352994545246,0.0018871689041675766,0.008207877274825859,0.7207,0.010435299454524594,0
death_30d,logits,71,0.03,0.71943393102911,0.002065994614233838,0.0,0.7229,-0.0034660689708899683,0
death_30d,L+v7,228,0.001,0.72559304318471,0.003953288781153999,0.006159112155599944,0.7229,0.0026930431847099756,0
death_30d,L+v8,244,0.001,0.7229636253862735,0.003112745806115268,0.0035296943571634376,0.7229,6.362538627346925e-05,0
death_30d,L+v12,256,0.001,0.7291772702485133,0.0042297243107348,0.00974333921940329,0.7229,0.0062772702485133225,0
death_30d,L+shopp,83,0.01,0.7234786024046327,0.0030701829232458325,0.004044671375522668,0.7229,0.0005786024046326999,0
death_30d,L+daniel,79,0.03,0.7187881404347035,0.0034019486666565335,-0.0006457905944065034,0.7229,-0.004111859565296472,0
death_30d,L+daniel_wave,73,0.03,0.7220675686203224,0.002743965252497038,0.002633637591212379,0.7229,-0.0008324313796775895,0
death_30d,L+v12+tpe,260,0.001,0.728591855150744,0.0041625501864510145,0.009157924121633965,0.7229,0.005691855150743996,0
death_30d,L+v12+strict,264,0.001,0.7298310135293049,0.0041800555744430186,0.010397082500194887,0.7229,0.006931013529304919,0
death_30d,L+dan+shopp,91,0.003,0.7218770287465268,0.003497520348104522,0.002443097717416798,0.7229,-0.0010229712534731705,0
