outcome,model,n,ev,auc,auc_single,auc_multi,vs_stored,lo,hi
death_30d,stored,1645,152,0.7367275355166214,0.7531966419115272,0.7162125446359261,0.0,,
death_30d,static_C1,1645,152,0.6087399090492474,0.6510009686793672,0.5673032137866791,-0.12798762646737405,,
death_30d,static_Ctuned,1645,152,0.6498528219409877,0.6703099773974814,0.6267272162707654,-0.0868747135756337,,
death_30d,static_bal,1645,152,0.6462262488102372,0.6676299644817565,0.6238161776121721,-0.09050128670638424,,
death_30d,st_Ctuned,1645,152,0.62395124616632,0.6616080077494348,0.5877581120943953,-0.11277628935030137,,
death_30d,st_bal,1645,152,0.6412733105368915,0.6797061672586374,0.603865859338612,-0.09545422497972988,,
death_30d,all_Ctuned,1645,152,0.648491204568689,0.6792702615434291,0.6144038192827201,-0.08823633094793237,,
death_30d,static_gb,1645,152,0.6822364014523918,0.7110348724572166,0.6447465455674585,-0.05449113406422956,,
death_30d,st_gb,1645,152,0.6676904501709733,0.7110590894413946,0.6161019251668995,-0.06903708534564812,,
death_30d,st_gb_deep,1645,152,0.6702374237670532,0.7073054568937682,0.6248350411426796,-0.0664901117495682,,
death_30d,st_gb_slow,1645,152,0.6651941516550921,0.7118017436228609,0.6105612482533768,-0.0715333838615293,,
death_30d,all_gb,1645,152,0.7214985722846969,0.7415967064901519,0.6957479428660146,-0.015228963231924464,,
death_30d,blend,1645,152,0.7021957732576586,0.7237891507910883,0.6762925011644156,-0.03453176225896282,,
death_30d,blend+stored,1645,152,0.725277170656044,0.7461656441717792,0.6991635615587641,-0.011450364860577378,,
death_30d,BEST_vs_stored:blend+stored,1645,152,0.725277170656044,,,-0.011595481049365986,-0.03445498501171784,0.011436699976851388
death_30d,GAP_CHECK,1645,152,0.725277170656044,0.8568010364155534,0.13152386575950936,0.004105462553318978,,
death_30d_inhosp,stored,1645,83,0.7302037856933495,0.7808624689975198,0.6877513227513227,0.0,,
death_30d_inhosp,static_C1,1645,83,0.6974993443685111,0.7019761580926475,0.6662962962962963,-0.03270444132483841,,
death_30d_inhosp,static_Ctuned,1645,83,0.7138361384076639,0.71873749899992,0.6802116402116402,-0.016367647285685627,,
death_30d_inhosp,static_bal,1645,83,0.7247273344337657,0.7283782702616209,0.6947883597883598,-0.005476451259583848,,
death_30d_inhosp,st_Ctuned,1645,83,0.6857365441278558,0.6902552204176333,0.656957671957672,-0.044467241565493754,,
death_30d_inhosp,st_bal,1645,83,0.6964889005445598,0.7134170733658692,0.6608465608465608,-0.03371488514878973,,
death_30d_inhosp,all_Ctuned,1645,83,0.7083288339015472,0.7254980398431875,0.6762962962962963,-0.021874951791802322,,
death_30d_inhosp,static_gb,1645,83,0.6737963377196367,0.6830146411712937,0.6261111111111111,-0.05640744797371289,,
death_30d_inhosp,st_gb,1645,83,0.6873331996359315,0.6978558284662774,0.6293386243386243,-0.042870586057418,,
death_30d_inhosp,st_gb_deep,1645,83,0.6899133023772426,0.6865149211936955,0.6408730158730158,-0.04029048331610696,,
death_30d_inhosp,st_gb_slow,1645,83,0.667560125264181,0.6766941355308425,0.6155291005291006,-0.06264366042916858,,
death_30d_inhosp,all_gb,1645,83,0.688590469432146,0.7292183374669974,0.6251322751322751,-0.04161331626120357,,
death_30d_inhosp,blend,1645,83,0.7237168906098145,0.7227978238259061,0.6817592592592593,-0.00648689508353506,,
death_30d_inhosp,blend+stored,1645,83,0.7478749826450488,0.7759420753660292,0.703121693121693,0.017671196951699275,,
death_30d_inhosp,BEST_vs_stored:blend+stored,1645,83,0.7478749826450488,,,0.01727107586400464,-0.01968323700634996,0.0500717788434576
death_30d_inhosp,GAP_CHECK,1645,83,0.7478749826450488,0.8583758851025098,0.11050090245746103,0.009203531154065699,,
composite_30d,stored,1645,218,0.7356968812482721,0.726718958611482,0.7447774368458662,0.0,,
composite_30d,static_C1,1645,218,0.6190056768867774,0.6594506961663169,0.5760161405573536,-0.11669120436149472,,
composite_30d,static_Ctuned,1645,218,0.655465048250323,0.6689395384321953,0.6424838524371961,-0.08023183299794912,,
composite_30d,static_bal,1645,218,0.6659444655175739,0.6781422849513636,0.6538326818264609,-0.06975241573069824,,
composite_30d,st_Ctuned,1645,218,0.6517554631195234,0.6663408353995804,0.638967116416572,-0.08394141812874878,,
composite_30d,st_bal,1645,218,0.6692040143240133,0.6740773412168606,0.6668908410743558,-0.06649286692425882,,
composite_30d,all_Ctuned,1645,218,0.6778189953903423,0.6879887469006294,0.6669048519748364,-0.057877885857929856,,
composite_30d,static_gb,1645,218,0.6611917604778099,0.6687964905588404,0.6479130763734184,-0.07450512077046223,,
composite_30d,st_gb,1645,218,0.6697456651858329,0.6811880125882128,0.6545192159500091,-0.06595121606243926,,
composite_30d,st_gb_deep,1645,218,0.6662144873121901,0.6806217814228495,0.6477099183164501,-0.06948239393608202,,
composite_30d,st_gb_slow,1645,218,0.6672688581292633,0.6729925615105856,0.6580499628711136,-0.06842802311900886,,
composite_30d,all_gb,1645,218,0.6907189651736177,0.6835959851230211,0.6927269415605342,-0.0449779160746544,,
composite_30d,blend,1645,218,0.697932404544081,0.6991047587259203,0.6926708979586118,-0.03776447670419114,,
composite_30d,blend+stored,1645,218,0.7187481918183396,0.7149592313560937,0.7202443501043813,-0.01694868942993255,,
composite_30d,BEST_vs_stored:blend+stored,1645,218,0.7187481918183396,,,-0.016913718848093437,-0.030725013520879425,-0.0035820223856321024
composite_30d,GAP_CHECK,1645,218,0.7187481918183396,0.8211202047022368,0.10237201288389719,0.01117478687565493,,
