outcome,ecg,n,ev,ecg_auc,gap,predicted,auc_2mod,auc_3mod,gain,lo,hi,w_ecg,sig
death_30d,stored,1645,152,0.7367275355166214,0.12007350089893198,0.006882176032008993,0.8604628617760074,0.8631552508196144,0.0026641844731554146,-0.0053686891384027045,0.010428098303839835,0.17,0
death_30d,static,1645,152,0.6498528219409877,0.20694821447456568,-0.014184942010082177,0.8604628617760074,0.8602866006274897,-0.00018616275338357118,-0.0014036076282795656,0.0009092414532661491,0.01,0
death_30d,hybrid_gb,1645,152,0.6357166778298727,0.22108435858568065,-0.01761295695702756,0.8604628617760074,0.8588192265660803,-0.0016443872923975669,-0.003351358539224053,-0.00014281021902008264,0.02,1
death_30d,hybrid_two,1645,152,0.6179583671167201,0.23884266929883324,-0.021919347304967064,0.8604628617760074,0.8604628617760074,0.0,0.0,0.0,0.0,0
death_30d,hybrid_gb_vs_static,1645,152,,,,,,-0.0014582245390139957,-0.0030981568856965126,4.9930120856932675e-05,,0
death_30d,hybrid_two_vs_static,1645,152,,,,,,0.00018616275338357118,-0.0009092414532661519,0.0014036076282795654,,0
death_30d_inhosp,stored,1645,83,0.7302037856933495,0.1281720994091603,0.004918265893278626,0.8532465328664209,0.854426669546303,0.0011884675390355904,-0.010574014154684772,0.01171847906275713,0.16,0
death_30d_inhosp,static,1645,83,0.7138361384076639,0.14453974669484593,0.0009491114264998587,0.8532465328664209,0.8528878638754762,-0.0005695134484878377,-0.017087921882744946,0.013835659958814996,0.17,0
death_30d_inhosp,hybrid_gb,1645,83,0.6494685528284714,0.20890733227403846,-0.014660028076454328,0.8532465328664209,0.8544845193835521,0.0011426699857297953,-0.006233602740965863,0.007899783661438467,0.09,0
death_30d_inhosp,hybrid_two,1645,83,0.6735572250590068,0.184818660043503,-0.008818525060549483,0.8532465328664209,0.8539214476343273,0.0005368095311598354,-0.007935534716358269,0.008568224498546995,0.08,0
death_30d_inhosp,hybrid_gb_vs_static,1645,83,,,,,,0.001712183434217633,-0.009793242853403333,0.0146201780324018,,0
death_30d_inhosp,hybrid_two_vs_static,1645,83,,,,,,0.0011063229796476727,-0.008883539454371986,0.011791861458260774,,0
composite_30d,stored,1645,218,0.7356968812482721,0.08542332345396464,0.015284844062413573,0.830080749374771,0.8345473598940487,0.004504087017370406,-0.0033145346688881667,0.012164448104008919,0.2,0
composite_30d,static,1645,218,0.6568473026751445,0.16427290202709233,-0.0038361787415698914,0.830080749374771,0.8293172948959451,-0.0007524715799716554,-0.0018983391864168114,0.0003108576712238961,0.01,0
composite_30d,hybrid_gb,1645,218,0.6550793028294427,0.16604090187279408,-0.004264918704152562,0.830080749374771,0.831104582012691,0.0010466980359613415,-0.0036798834973063603,0.005619757989190005,0.11000000000000001,0
composite_30d,hybrid_two,1645,218,0.6489748815440104,0.1721453231582264,-0.005745240865869902,0.830080749374771,0.8306577602335046,0.0005553505319531036,-0.00265136581939015,0.003627756211362093,0.07,0
composite_30d,hybrid_gb_vs_static,1645,218,,,,,,0.001799169615932997,-0.0026996222389414847,0.006257334285740875,,0
composite_30d,hybrid_two_vs_static,1645,218,,,,,,0.0013078221119247591,-0.0017516629816360485,0.00445221411309052,,0
cv_first,stored,1502,75,0.6642279841158607,0.1383601962158374,0.0024476524176594294,0.7971782293856575,0.7949077318383555,-0.002267476425082713,-0.007667054550298366,0.002927140029005841,0.06000000000000001,0
cv_first,static,1502,75,0.6630320018687224,0.13955617846297574,0.00215762672272838,0.7971782293856575,0.7917495912170054,-0.005509858944260079,-0.0141143531134774,0.0029899803297497554,0.12000000000000002,0
cv_first,hybrid_gb,1502,75,0.5804811959822471,0.22210698434945098,-0.017860943704741866,0.7971782293856575,0.7934080822237795,-0.003744456493369875,-0.008711964548472232,0.00020904984925231745,0.02,0
cv_first,hybrid_two,1502,75,0.6681055828077552,0.13448259752394287,0.0033879701004438517,0.7971782293856575,0.7992805419294557,0.0022415367082579503,-0.01059555824502716,0.013862367269237286,0.16999999999999998,0
cv_first,hybrid_gb_vs_static,1502,75,,,,,,0.0017654024508902044,-0.006549400033150845,0.010836720661464934,,0
cv_first,hybrid_two_vs_static,1502,75,,,,,,0.0077513956525180295,-0.0038079357263818446,0.019400272976178978,,0
