outcome,model,n,ev,auc,gain,lo,hi,sig
death_30d,two,1649,152,0.8640021270611398,0.0,0.0,0.0,0
death_30d,global_static,1649,152,0.8632989663537601,-0.0007125167707203016,-0.00221488808023432,0.0006144673718687376,0
death_30d,strat_fixed_ctl,1649,152,0.8626968849980663,-0.001432439300087056,-0.0071579848007704144,0.004172894697036769,0
death_30d,strat_fixed,1649,152,0.8617629996835776,-0.0023309611941150364,-0.008701134464390806,0.0036501034548709174,0
death_30d,stack,1649,152,0.8586339345357382,-0.005368613562293573,-0.009080041528787197,-0.0017149597996420857,1
death_30d,select,1649,152,0.8595875962451218,-0.004487528774503172,-0.010339130173979087,0.001190191657600624,0
death_30d,traj_effect_scalefixed,1649,152,,-0.0008985218940279804,-0.003209798966135233,0.0013685016114782947,0
death_30d_inhosp,two,1649,83,0.8585914539383587,0.0,0.0,0.0,0
death_30d_inhosp,global_static,1649,83,0.8572835402914338,-0.0013167843633606223,-0.011538491741314485,0.008597136841227622,0
death_30d_inhosp,strat_fixed_ctl,1649,83,0.8439274338734246,-0.014399482772781327,-0.03045436349039553,0.0008855401736028908,0
death_30d_inhosp,strat_fixed,1649,83,0.849386049946914,-0.008970680385679927,-0.02171627638399496,0.0031929989006117786,0
death_30d_inhosp,stack,1649,83,0.8545138408038283,-0.0041547508908806345,-0.02081827010119675,0.011976076410251661,0
death_30d_inhosp,select,1649,83,0.8463509209250797,-0.012045949356553079,-0.022147501202973534,-0.0019119081914730919,1
death_30d_inhosp,traj_effect_scalefixed,1649,83,,0.0054288023871013995,0.0009485060455827393,0.010296384574556653,1
composite_30d,two,1649,219,0.8306542772296195,0.0,0.0,0.0,0
composite_30d,global_static,1649,219,0.8281045438579683,-0.002514167404814752,-0.005427551178908007,0.00031800054097640655,0
composite_30d,strat_fixed_ctl,1649,219,0.8238113484688826,-0.006810454316554903,-0.013823173196397939,-0.00011942129546804739,1
composite_30d,strat_fixed,1649,219,0.8262429351470447,-0.004312889352903735,-0.012936547412974689,0.004331702488927148,0
composite_30d,stack,1649,219,0.8294823897563625,-0.0011579417921846722,-0.00624855628827167,0.003989266895834597,0
composite_30d,select,1649,219,0.824121084395057,-0.006472674524498644,-0.014287476153523637,0.0014690079444459212,0
composite_30d,traj_effect_scalefixed,1649,219,,0.002497564963651168,-0.002973377539199806,0.00770837083944655,0
cv_first,two,1506,76,0.8012743835112255,0.0,0.0,0.0,0
cv_first,global_static,1506,76,0.7988176297386824,-0.002379109275525294,-0.009882294198306862,0.004310828565132101,0
cv_first,strat_fixed_ctl,1506,76,0.7840264998159736,-0.017251465305148875,-0.03132593219174115,-0.0035254586795714594,1
cv_first,strat_fixed,1506,76,0.7904536253220462,-0.010697901700934107,-0.02534082561834405,0.003797891937374625,0
cv_first,stack,1506,76,0.7835296282664703,-0.017545597855605135,-0.0335383294304482,-0.0012994315663954264,1
cv_first,select,1506,76,0.7898877438351123,-0.011395760674625867,-0.024068889230887514,0.0007821146114292075,0
cv_first,traj_effect_scalefixed,1506,76,,0.006553563604214773,-0.005187817764415384,0.018225187286531178,0
