outcome,model,n,ev,auc,nfeat
death_30d,stored_raw,754,76,0.7162125446359261,1
death_30d,stored_refit,754,76,0.7025500698649279,1
death_30d,static,754,76,0.6342376960099364,130
death_30d,traj,754,76,0.5751824250892719,57
death_30d,static+traj,754,76,0.6407584226051855,187
death_30d,all,754,76,0.6445815867101381,188
death_30d_inhosp,stored_raw,754,54,0.6877513227513227,1
death_30d_inhosp,stored_refit,754,54,0.6486243386243387,1
death_30d_inhosp,static,754,54,0.6588888888888889,130
death_30d_inhosp,traj,754,54,0.5805555555555555,57
death_30d_inhosp,static+traj,754,54,0.6521164021164021,187
death_30d_inhosp,all,754,54,0.6534920634920635,188
composite_30d,stored_raw,754,111,0.7447774368458662,1
composite_30d,stored_refit,754,111,0.7427178344752218,1
composite_30d,static,754,111,0.6647892060022698,130
composite_30d,traj,754,111,0.6755215557703894,57
composite_30d,static+traj,754,111,0.6788421391842854,187
composite_30d,all,754,111,0.7040337382483572,188
