outcome,ecg,n,ev,ecg_auc,gap,predicted,auc_2mod,auc_3mod,gain,lo,hi,w_ecg,sig
death_30d,stored_raw,754,76,0.7162125446359261,0.13738161776121727,0.0026849576929048116,0.8656555659059153,0.8626086787765874,-0.003023334610285785,-0.009637641320163006,0.0035705228794589744,0.08,0
death_30d,traj,754,76,0.5751824250892719,0.2784117373078715,-0.031514846297158845,0.8656555659059153,0.8648598820058997,-0.0007619715955607933,-0.003171163249046752,0.0014994406853650404,0.01,0
death_30d,static+traj,754,76,0.6407584226051855,0.2128357397919579,-0.015612666899549793,0.8656555659059153,0.8623466852973141,-0.0033479295583662178,-0.008926873873631285,0.0017155186849919272,0.04,0
death_30d,all,754,76,0.6445815867101381,0.20901257568700526,-0.014685549604098777,0.8656555659059153,0.8660242974693371,0.00036742548376958006,-0.003748052876206542,0.004435375715523593,0.04,0
death_30d_inhosp,stored_raw,754,54,0.6877513227513227,0.15981481481481485,-0.0027550925925926006,0.8366137566137566,0.8378306878306878,0.0012880111203193447,-0.00616446271598805,0.008119864008474425,0.05,0
death_30d_inhosp,traj,754,54,0.5805555555555555,0.26701058201058203,-0.028750066137566137,0.8366137566137566,0.8315343915343916,-0.004988439550431414,-0.010292782697629104,1.577693341148626e-05,0.04,0
death_30d_inhosp,static+traj,754,54,0.6521164021164021,0.19544973544973543,-0.011396560846560842,0.8366137566137566,0.8437566137566138,0.007223172125900381,-0.0011157552256140706,0.015586968524651017,0.09000000000000001,0
death_30d_inhosp,all,754,54,0.6534920634920635,0.19407407407407407,-0.011062962962962962,0.8366137566137566,0.8439417989417989,0.007462037421579802,-0.0004822947931256011,0.015509131053915355,0.09000000000000001,0
composite_30d,stored_raw,754,111,0.7447774368458662,0.08126322278732834,0.016293668474072875,0.8358763117705574,0.8353859302537374,-0.0002471541297988874,-0.00973551299445739,0.008355096095145956,0.19,0
composite_30d,traj,754,111,0.6755215557703894,0.1505191038628051,-0.0005008826867302363,0.8358763117705574,0.8399394729099239,0.004156619872633785,-0.008017421625332513,0.014966135497756517,0.18000000000000002,0
composite_30d,static+traj,754,111,0.6788421391842854,0.14719852044890913,0.00030435879113953346,0.8358763117705574,0.8376416852311097,0.00177459829552751,-0.006097913945570191,0.009505855583704252,0.13,0
composite_30d,all,754,111,0.7040337382483572,0.12200692138483726,0.006413321564176962,0.8358763117705574,0.8410533394981294,0.00522576431744407,-0.004844766727164332,0.014916187258597589,0.17,0
