outcome,stage,method,mfeat,n,ev,mean,sd,vs_late,vs_ehr
death_30d,1,ehr,,3501,397,0.8650778064867953,,-0.004890902126775454,0.0
death_30d,1,ecg,,3501,397,0.7286299955854476,,-0.14133871302812318,-0.13644781090134772
death_30d,1,late_wsrc,,3501,397,0.8699687086135708,,0.0,0.004890902126775454
death_30d,1,early/l2,,3501,397,0.8571246332026279,0.004333273696906478,-0.012844075410942901,-0.007953173284167447
death_30d,1,pca8/l2,,3501,397,0.7366941818795606,0.0012803106190607167,-0.1332745267340102,-0.12838362460723474
death_30d,1,raw/rf,,3501,397,0.8408670700355761,0.004073515482154482,-0.029101638577994637,-0.024210736451219184
death_30d,1,cca_aug/rf,,3501,397,0.8480636020151133,0.0032813791779097443,-0.021905106598457458,-0.017014204471682004
death_30d,1,cca_aug/rot,,3501,397,0.8444883014360279,0.0016407516000519877,-0.025480407177542852,-0.020589505050767398
composite_30d,1,ehr,,3501,547,0.835164787559149,,-0.006891470555835277,0.0
composite_30d,1,ecg,,3501,547,0.7343972601213735,,-0.10765899799361078,-0.1007675274377755
composite_30d,1,late_wsrc,,3501,547,0.8420562581149843,,0.0,0.006891470555835277
composite_30d,1,early/l2,,3501,547,0.8308451713600002,0.0019113391511940616,-0.011211086754984056,-0.004319616199148779
composite_30d,1,pca8/l2,,3501,547,0.7449163839444302,0.0016169193897261854,-0.09713987417055414,-0.09024840361471886
composite_30d,1,raw/rf,,3501,547,0.807104672621884,0.002983361596717754,-0.03495158549310029,-0.028060114937265013
composite_30d,1,cca_aug/rf,,3501,547,0.8150921070057766,0.003013755729271968,-0.02696415110920769,-0.020072680553372413
composite_30d,1,cca_aug/rot,,3501,547,0.8157708879231704,0.003244520524425084,-0.026285370191813873,-0.019393899635978595
cv_first,1,ehr,,3126,172,0.8166105084158649,,-0.005468540882681783,0.0
cv_first,1,ecg,,3126,172,0.7280667915794115,,-0.09401225771913524,-0.08854371683645346
cv_first,1,late_wsrc,,3126,172,0.8220790492985467,,0.0,0.005468540882681783
cv_first,1,early/l2,,3126,172,0.7703913495300027,0.009424919450751553,-0.05168769976854404,-0.046219158885862255
cv_first,1,pca8/l2,,3126,172,0.7497862574987011,0.0039369977166933716,-0.0722927917998456,-0.06682425091716382
cv_first,1,raw/rf,,3126,172,0.7524452457054683,0.007558406873748008,-0.06963380359307836,-0.06416526271039658
cv_first,1,cca_aug/rf,,3126,172,0.7633504432303067,0.0053934736271599336,-0.05872860606824004,-0.05326006518555826
cv_first,1,cca_aug/rot,,3126,172,0.7741288910582419,0.004979783104300516,-0.0479501582403048,-0.042481617357623014
death_30d_inhosp,1,ehr,,3501,242,0.8702664458752494,,-0.0016825624652900828,0.0
death_30d_inhosp,1,ecg,,3501,242,0.7272575119376983,,-0.14469149640284118,-0.1430089339375511
death_30d_inhosp,1,late_wsrc,,3501,242,0.8719490083405395,,0.0,0.0016825624652900828
death_30d_inhosp,1,early/l2,,3501,242,0.8711365094499911,0.0012383666264346332,-0.0008124988905483521,0.0008700635747417307
death_30d_inhosp,1,pca8/l2,,3501,242,0.7448370564412854,0.0021907427155001386,-0.12711195189925406,-0.12542938943396398
death_30d_inhosp,1,raw/rf,,3501,242,0.8691367072493463,0.002650536030567621,-0.0028123010911931257,-0.0011297386259030429
death_30d_inhosp,1,cca_aug/rf,,3501,242,0.8737991930800657,0.004211203739386334,0.0018501847395262505,0.0035327472048163333
death_30d_inhosp,1,cca_aug/rot,,3501,242,0.8670752829418344,0.0024413347621881107,-0.004873725398705009,-0.003191162933414926
death_30d,2,cca_aug/rot,8.0,3501,397,0.8444883014360279,0.0016407516000519877,-0.025480407177542852,
death_30d,2,cca_aug/rot,16.0,3501,397,0.8586616115713209,0.0018037510047347431,-0.011307097042249858,
death_30d,2,cca_aug/rot,32.0,3501,397,0.8692209937936587,0.0030164573864795287,-0.0007477148199120931,
