outcome,stage,method,mean,sd,vs_late,na,nb,leaf,depth,k,reg,ntree,lo,hi,slope,slope_platt,brier,brier_platt,vs_per_outcome
death_30d,ref,late_wsrc,0.8699687086135708,,0.0,,,,,,,,,,,,,,
death_30d,A,block,0.890206023267288,0.0032101189791733653,0.020237314653717253,14.0,8.0,,,,,,,,,,,,
death_30d,A,block,0.8880118933236387,0.0013747202747447153,0.01804318471006794,14.0,16.0,,,,,,,,,,,,
death_30d,A,block,0.8847357111324626,0.0023115235873531377,0.014767002518891847,14.0,24.0,,,,,,,,,,,,
death_30d,A,block,0.8829054571658574,0.002063776217701484,0.012936748552286659,14.0,32.0,,,,,,,,,,,,
death_30d,A,block,0.892327767534862,0.00254603795828378,0.022359058921291197,20.0,8.0,,,,,,,,,,,,
death_30d,A,block,0.891567880235789,0.0033378149066944,0.02159917162221825,20.0,16.0,,,,,,,,,,,,
death_30d,A,block,0.890970292658859,0.002987088522478143,0.02100158404528818,20.0,24.0,,,,,,,,,,,,
death_30d,A,block,0.887730627905165,0.003164958574480299,0.017761919291594208,20.0,32.0,,,,,,,,,,,,
death_30d,A,block,0.8924042107039913,0.0031831779068386885,0.022435502090420556,28.0,8.0,,,,,,,,,,,,
death_30d,A,block,0.893166207899452,0.002345498637875029,0.023197499285881218,28.0,16.0,,,,,,,,,,,,
death_30d,A,block,0.891521300215534,0.002934338468458704,0.02155259160196321,28.0,24.0,,,,,,,,,,,,
death_30d,A,block,0.8903283972577839,0.002726731273116861,0.020359688644213114,28.0,32.0,,,,,,,,,,,,
death_30d,A,block,0.8888436793996208,0.0032831910314094596,0.01887497078605005,38.0,8.0,,,,,,,,,,,,
death_30d,A,block,0.8885878950375237,0.0022224839884334097,0.018619186423952883,38.0,16.0,,,,,,,,,,,,
death_30d,A,block,0.8875490145160871,0.002252165458432665,0.017580305902516358,38.0,24.0,,,,,,,,,,,,
death_30d,A,block,0.8872195460801372,0.0007551780521179781,0.017250837466566415,38.0,32.0,,,,,,,,,,,,
death_30d,B,block,0.888324644888208,0.0015405346723755572,0.018355936274637163,28.0,16.0,1.0,6.0,,,,,,,,,,
death_30d,B,block,0.889587904775507,0.0026949932393709785,0.019619196161936192,28.0,16.0,1.0,12.0,,,,,,,,,,
death_30d,B,block,0.8873268261964735,0.003059828129793224,0.017358117582902732,28.0,16.0,1.0,-1.0,,,,,,,,,,
death_30d,B,block,0.8884668194448052,0.0015655937766409652,0.018498110831234427,28.0,16.0,2.0,6.0,,,,,,,,,,
death_30d,B,block,0.8906200498584746,0.0025170943639292983,0.020651341244903865,28.0,16.0,2.0,12.0,,,,,,,,,,
death_30d,B,block,0.8903822807655353,0.0030571798269256882,0.020413572151964487,28.0,16.0,2.0,-1.0,,,,,,,,,,
death_30d,B,block,0.8892200524552702,0.0014587751691888524,0.019251343841699464,28.0,16.0,5.0,6.0,,,,,,,,,,
death_30d,B,block,0.893166207899452,0.002345498637875029,0.023197499285881218,28.0,16.0,5.0,12.0,,,,,,,,,,
death_30d,B,block,0.892931035602067,0.0023623956269724798,0.022962326988496207,28.0,16.0,5.0,-1.0,,,,,,,,,,
death_30d,B,block,0.8904040289283024,0.0010678445126864622,0.02043532031473161,28.0,16.0,10.0,6.0,,,,,,,,,,
death_30d,B,block,0.8938326105585706,0.0011463436010530127,0.023863901944999766,28.0,16.0,10.0,12.0,,,,,,,,,,
death_30d,B,block,0.8939124620218649,0.0012176911300229311,0.023943753408294133,28.0,16.0,10.0,-1.0,,,,,,,,,,
death_30d,B,block,0.8914980913552675,0.0010473389512422372,0.02152938274169669,28.0,16.0,25.0,6.0,,,,,,,,,,
death_30d,B,block,0.8934507193123686,0.0018907969523691023,0.02348201069879785,28.0,16.0,25.0,12.0,,,,,,,,,,
death_30d,B,block,0.8934229660598823,0.0019216311604298545,0.023454257446311466,28.0,16.0,25.0,-1.0,,,,,,,,,,
death_30d,C,cca_k,0.894081578332338,0.001988761253003763,0.02411286971876725,28.0,16.0,10.0,-1.0,5.0,,,,,,,,,
