outcome,stage,leaf,depth,mean,sd,name,vs_127,vs_117,slope,slope_platt,brier,brier_platt
death_30d_inhosp,A,1.0,6.0,0.9104740921186355,0.004496554112141216,,,,,,,
death_30d_inhosp,A,1.0,12.0,0.906716111063701,0.006553673179177377,,,,,,,
death_30d_inhosp,A,1.0,-1.0,0.9088162049356473,0.0060315631533274594,,,,,,,
death_30d_inhosp,A,5.0,6.0,0.9121203422834933,0.005367200557642078,,,,,,,
death_30d_inhosp,A,5.0,12.0,0.9129566559864701,0.006132705855893683,,,,,,,
death_30d_inhosp,A,5.0,-1.0,0.9141125997874303,0.006301352848823739,,,,,,,
death_30d_inhosp,A,10.0,6.0,0.9138379661595513,0.004787232213115686,,,,,,,
death_30d_inhosp,A,10.0,12.0,0.9152980240343215,0.006038514877647487,,,,,,,
death_30d_inhosp,A,10.0,-1.0,0.9153383656971738,0.005817690278751307,,,,,,,
death_30d_inhosp,A,25.0,6.0,0.9137914180870294,0.00465625648184602,,,,,,,
death_30d_inhosp,A,25.0,12.0,0.91359436458002,0.005110853889336719,,,,,,,
death_30d_inhosp,A,25.0,-1.0,0.91359436458002,0.005110853889336719,,,,,,,
death_30d_inhosp,A,50.0,6.0,0.9105982203120272,0.0037271754096379456,,,,,,,
death_30d_inhosp,A,50.0,12.0,0.9106354587700448,0.003828286161479973,,,,,,,
death_30d_inhosp,A,50.0,-1.0,0.9106354587700448,0.003828286161479973,,,,,,,
death_30d_inhosp,B,10.0,-1.0,0.9074880332663557,0.007406460955191947,late,0.001388033266355726,-0.006811966733644259,,,,
death_30d_inhosp,B,10.0,-1.0,0.9131156952342531,0.004963313228005035,block,0.016215695234253036,-0.0011843047657469352,,,,
death_30d_inhosp,B,10.0,-1.0,0.9048634977773296,,nnls,-0.0018365022226703998,-0.009436502222670451,,,,
death_30d_inhosp,C,,,,,late,,,0.15212082372942196,0.9667553037954888,0.25686027711577325,0.042692208042564773
death_30d_inhosp,C,,,,,block,,,1.715219212379422,0.9773113560736946,0.04210687704529912,0.03742562890608564
death_30d_inhosp,C,,,,,nnls,,,1.0551675867862103,0.9817902249378839,0.29447103144201514,0.03722247177400055
death_30d,A,1.0,6.0,0.8928784224712725,0.0072957999380454915,,,,,,,
death_30d,A,1.0,12.0,0.8932366293091221,0.007298033599218314,,,,,,,
death_30d,A,1.0,-1.0,0.8950006206554122,0.0075605913770454645,,,,,,,
death_30d,A,5.0,6.0,0.8952573060008511,0.0073380277549417025,,,,,,,
death_30d,A,5.0,12.0,0.8987462760675273,0.007771810798812162,,,,,,,
death_30d,A,5.0,-1.0,0.8999405944105547,0.007635917156732277,,,,,,,
death_30d,A,10.0,6.0,0.8966537806781105,0.0072239258858187725,,,,,,,
death_30d,A,10.0,12.0,0.8998297630869626,0.007517494742351952,,,,,,,
death_30d,A,10.0,-1.0,0.8999671939282168,0.0076251044644279455,,,,,,,
death_30d,A,25.0,6.0,0.897514718399773,0.006368425024248679,,,,,,,
death_30d,A,25.0,12.0,0.898683323875727,0.00628349948787347,,,,,,,
death_30d,A,25.0,-1.0,0.8986850971769046,0.006282623790244656,,,,,,,
death_30d,A,50.0,6.0,0.8944761668321748,0.0063070743056144575,,,,,,,
death_30d,A,50.0,12.0,0.8945577386863384,0.006266457216375211,,,,,,,
death_30d,A,50.0,-1.0,0.8945577386863384,0.006266457216375211,,,,,,,
death_30d,B,10.0,-1.0,0.906036760533409,0.0026920384351272588,late,-0.001963239466591049,0.0024367605334090214,,,,
death_30d,B,10.0,-1.0,0.9017870442615973,0.0056320081572549825,block,0.006287044261597319,-0.0018129557384026773,,,,
death_30d,B,10.0,-1.0,0.905793374946801,,nnls,-0.0017066250531989624,0.002193374946801052,,,,
death_30d,C,,,,,late,,,0.1590313571057113,0.9801867402318186,0.22980373591851785,0.06813377415728734
death_30d,C,,,,,block,,,1.8025835667749959,0.9607924820544396,0.06981169093422178,0.062167795161867496
death_30d,C,,,,,nnls,,,1.1735824881937098,0.979812189347426,0.26560055225769896,0.06089192310677851
composite_30d,A,1.0,6.0,0.8569587172075547,0.001897527188442427,,,,,,,
composite_30d,A,1.0,12.0,0.8543659348485286,0.0026873587168128508,,,,,,,
composite_30d,A,1.0,-1.0,0.8522626424725205,0.003501387291342936,,,,,,,
composite_30d,A,5.0,6.0,0.8578887159507996,0.0021141285875029515,,,,,,,
composite_30d,A,5.0,12.0,0.8578713147269136,0.002575859014807327,,,,,,,
composite_30d,A,5.0,-1.0,0.8577475726903903,0.002944034999671894,,,,,,,
composite_30d,A,10.0,6.0,0.8588174257144974,0.001863258836184899,,,,,,,
composite_30d,A,10.0,12.0,0.8598060730271362,0.0019556078181251824,,,,,,,
composite_30d,A,10.0,-1.0,0.8598782558817748,0.0021534820758926996,,,,,,,
composite_30d,A,25.0,6.0,0.8603912697415274,0.001113954943829435,,,,,,,
composite_30d,A,25.0,12.0,0.8609713105377299,0.0014366040639713213,,,,,,,
composite_30d,A,25.0,-1.0,0.8609777554354657,0.0014244361285132847,,,,,,,
composite_30d,A,50.0,6.0,0.8597944722112121,0.001298924730248331,,,,,,,
composite_30d,A,50.0,12.0,0.8598331415976256,0.0012422091073384161,,,,,,,
