outcome,stage,k,reg,mean,sd,baseset,modality,rule,combo,variant,name,slope,slope_platt,brier,brier_platt,vs_126
death_30d_inhosp,A,5.0,0.1,0.9014530756638919,0.0038918034964545026,,,,,,,,,,,
death_30d_inhosp,A,5.0,0.5,0.9055074127805491,0.006147760793841786,,,,,,,,,,,
death_30d_inhosp,A,8.0,0.1,0.901609787508049,0.004544435950979356,,,,,,,,,,,
death_30d_inhosp,A,8.0,0.5,0.9062785591819951,0.005254278279766896,,,,,,,,,,,
death_30d_inhosp,A,10.0,0.1,0.900964320902412,0.004597401497444734,,,,,,,,,,,
death_30d_inhosp,A,10.0,0.5,0.906716111063701,0.006553673179177377,,,,,,,,,,,
death_30d_inhosp,A,13.0,0.1,0.8989394797477095,0.006511612935609048,,,,,,,,,,,
death_30d_inhosp,A,13.0,0.5,0.9056858470585498,0.004965082278358883,,,,,,,,,,,
death_30d_inhosp,A,16.0,0.1,0.8999790533673652,0.006626424631000591,,,,,,,,,,,
death_30d_inhosp,A,16.0,0.5,0.9037913405069086,0.003731173953275135,,,,,,,,,,,
death_30d_inhosp,mod,,,0.8523339979363688,,l2,ehr,,,,,,,,,
death_30d_inhosp,mod,,,0.6800207914723932,,l2,ecg,,,,,,,,,
death_30d_inhosp,mod,,,0.7178411003964343,,l2,ctpa,,,,,,,,,
death_30d_inhosp,corr,,,0.2512887765645959,,l2,,,,,,,,,,
death_30d_inhosp,mod,,,0.8922761231661999,,ens_all,ehr,,,,,,,,,
death_30d_inhosp,mod,,,0.7296914638593006,,ens_all,ecg,,,,,,,,,
death_30d_inhosp,mod,,,0.769524976919914,,ens_all,ctpa,,,,,,,,,
death_30d_inhosp,corr,,,0.3541782267338984,,ens_all,,,,,,,,,,
death_30d_inhosp,mod,,,0.9015042785436659,,per_out,ehr,,,,,,,,,
death_30d_inhosp,mod,,,0.7296914638593006,,per_out,ecg,,,,,,,,,
death_30d_inhosp,mod,,,0.769524976919914,,per_out,ctpa,,,,,,,,,
death_30d_inhosp,corr,,,0.33706567298751827,,per_out,,,,,,,,,,
death_30d_inhosp,B,,,0.8620920255393758,0.0027899474231649546,l2,,rank,,,,,,,,
death_30d_inhosp,B,,,0.8993289319544759,0.0017610161969541284,ens_all,,rank,,,,,,,,
death_30d_inhosp,B,,,0.9106424409809231,0.0030002267469333233,per_out,,rank,,,,,,,,
death_30d_inhosp,B,,,0.8765343408405031,0.008098633742453386,l2,,prob,,,,,,,,
death_30d_inhosp,B,,,0.8994515085454502,0.00289593768277979,ens_all,,prob,,,,,,,,
death_30d_inhosp,B,,,0.9050046935973126,0.008733343100713237,per_out,,prob,,,,,,,,
death_30d_inhosp,B,,,0.8649888672526552,0.011869628431580301,l2,,prob_cal,,,,,,,,
death_30d_inhosp,B,,,0.8995228822566504,0.005491753682258587,ens_all,,prob_cal,,,,,,,,
death_30d_inhosp,B,,,0.9073584744645032,0.006335210435919965,per_out,,prob_cal,,,,,,,,
death_30d_inhosp,B,,,0.8669594023227487,0.006758244742024577,l2,,logit,,,,,,,,
death_30d_inhosp,B,,,0.9068107588111622,0.004453517904934524,ens_all,,logit,,,,,,,,
death_30d_inhosp,B,,,0.9125408265386078,0.004600624142857304,per_out,,logit,,,,,,,,
death_30d_inhosp,B,,,0.8622813210342981,0.011461731534250967,l2,,logit_cal,,,,,,,,
death_30d_inhosp,B,,,0.9018735599190064,0.0051673969027969426,ens_all,,logit_cal,,,,,,,,
death_30d_inhosp,B,,,0.9138038309063685,0.004533101461559474,per_out,,logit_cal,,,,,,,,
death_30d_inhosp,C,,,0.8983809028774467,,,,,ehr+ecg,plain,,,,,,
death_30d_inhosp,C,,,0.8989705117960574,,,,,ehr+ecg,stack,,,,,,
death_30d_inhosp,C,,,0.9035136036741946,,,,,ehr+ctpa,plain,,,,,,
death_30d_inhosp,C,,,0.9002009325130528,,,,,ehr+ctpa,stack,,,,,,
death_30d_inhosp,C,,,0.788763295293214,,,,,ecg+ctpa,plain,,,,,,
death_30d_inhosp,C,,,0.7909293322678996,,,,,ecg+ctpa,stack,,,,,,
death_30d_inhosp,C,,,0.906716111063701,,,,,ehr+ecg+ctpa,plain,,,,,,
death_30d_inhosp,C,,,0.9034701588065074,,,,,ehr+ecg+ctpa,stack,,,,,,
death_30d_inhosp,D,,,0.9060970216991598,,,,,,,late_best,0.2828355650272862,0.908067703902032,0.048953958392927106,0.046718191928716464,-0.0038029783008401985
