outcome,stage,name,mean,sd,mixes,bins,drivers,vs_pool,vs_best
death_30d_inhosp,base,block,0.9060287511927942,0.0055618897898588055,,,,,
death_30d_inhosp,base,late,0.892149667569182,0.003235203362058092,,,,,
death_30d_inhosp,base,pool_hand,0.906356139302865,0.0035272584955399547,,,,,
death_30d_inhosp,base,pool_clust,0.9046323090171373,0.004373157075457895,,,,,
death_30d_inhosp,comp,hand_b2_d1,0.9021233679082072,0.006596656427052474,hand,2.0,1.0,-0.0042327713946577195,
death_30d_inhosp,comp,hand_b2_d2,0.9035803225781427,0.006751653998308297,hand,2.0,2.0,-0.0027758167247222687,
death_30d_inhosp,comp,hand_b3_d1,0.9019201079915282,0.005828556325821145,hand,3.0,1.0,-0.004436031311336741,
death_30d_inhosp,comp,hand_b3_d2,0.9000302562471392,0.007936698515329656,hand,3.0,2.0,-0.0063258830557257895,
death_30d_inhosp,comp,hand_b4_d1,0.9016501291709013,0.006389681210580455,hand,4.0,1.0,-0.0047060101319637004,
death_30d_inhosp,comp,hand_b4_d2,0.9007564061784809,0.0061266922856422846,hand,4.0,2.0,-0.00559973312438411,
death_30d_inhosp,comp,clust_b2_d1,0.9051846794777306,0.004986412404345474,clust,2.0,1.0,0.00055237046059331,
death_30d_inhosp,comp,clust_b2_d2,0.9054608647080272,0.0050205578267820995,clust,2.0,2.0,0.0008285556908899094,
death_30d_inhosp,comp,clust_b3_d1,0.9058735909510547,0.005127480832359002,clust,3.0,1.0,0.0012412819339173708,
death_30d_inhosp,comp,clust_b3_d2,0.9053351849122182,0.004711884061918095,clust,3.0,2.0,0.00070287589508089,
death_30d_inhosp,comp,clust_b4_d1,0.9054344874669316,0.005370479594561982,clust,4.0,1.0,0.0008021784497942441,
death_30d_inhosp,comp,clust_b4_d2,0.9050109000069823,0.004535306263049381,clust,4.0,2.0,0.0003785909898449402,
death_30d_inhosp,meta,mean,0.9036610059038472,,,,,,-0.002695133399017724
death_30d_inhosp,meta,grid,0.9020124283353633,,,,,,-0.004343710967501635
death_30d_inhosp,meta,nnls,0.9039170203027176,,,,,,-0.0024391190001473717
