outcome,model,n,ev,mean,sd,lo,hi,sig
death_30d,ehr,3501,397,0.8307903671868914,0.0,,,
death_30d,ecg,3501,397,0.730090557834965,0.003792422861964283,,,
death_30d,ctpa,3501,397,0.7944736546555067,0.007056668953043772,,,
death_30d,wra_complete,3501,397,0.8803450252990969,0.0017706096280443507,,,
death_30d,wra_imputed,3501,397,0.8456219920451497,0.000982758244137666,,,
death_30d,ev_fixed,3501,397,0.8375264142797788,0.0019191463773584815,,,
death_30d,ev_gap,3501,397,0.8443437464835061,0.0007623851583863476,,,
death_30d,ev_calib,3501,397,0.5,0.0,,,
death_30d,ev_entropy,3501,397,0.8368557106780233,0.001915497181007743,,,
death_30d,ev_calib_vs_wra_imputed,3501,397,-0.3461552129195311,,-0.3662369551716333,-0.3277331922357387,1.0
composite_30d,ehr,3501,547,0.8042408954363002,1.2161883888976234e-16,,,
composite_30d,ecg,3501,547,0.7366748192991296,0.001841040947149529,,,
composite_30d,ctpa,3501,547,0.7419855011283941,0.008348229412583572,,,
composite_30d,wra_complete,3501,547,0.844907832591633,0.0020608750102204115,,,
composite_30d,wra_imputed,3501,547,0.8203400237730102,0.0006201873694732666,,,
composite_30d,ev_fixed,3501,547,0.8149064654583772,0.0011483434782337267,,,
composite_30d,ev_gap,3501,547,0.820842291533351,0.0007487206600073473,,,
composite_30d,ev_calib,3501,547,0.5,0.0,,,
composite_30d,ev_entropy,3501,547,0.8138713988242222,0.001525866551179952,,,
composite_30d,ev_calib_vs_wra_imputed,3501,547,-0.3210235124874679,,-0.3384973497367277,-0.30359168147486804,1.0
cv_first,ehr,3126,172,0.798227866038954,0.0,,,
cv_first,ecg,3126,172,0.7438586754000619,0.004096337158445099,,,
cv_first,ctpa,3126,172,0.6357095544082506,0.013770208768823868,,,
cv_first,wra_complete,3126,172,0.8158359023882925,0.0013677489610758144,,,
cv_first,wra_imputed,3126,172,0.8107806456099468,0.0010209458142991926,,,
cv_first,ev_fixed,3126,172,0.8027149496412695,0.0017896909535774104,,,
cv_first,ev_gap,3126,172,0.8081185411451034,0.0011738172065435847,,,
cv_first,ev_calib,3126,172,0.5,0.0,,,
cv_first,ev_entropy,3126,172,0.8011971679446606,0.0023447017993589976,,,
cv_first,ev_calib_vs_wra_imputed,3126,172,-0.30920002399339935,,-0.3409476765251722,-0.2747850513078656,1.0
death_30d_inhosp,ehr,3501,242,0.8321342804034092,1.2161883888976234e-16,,,
death_30d_inhosp,ecg,3501,242,0.7283741484695487,0.0017533348748929155,,,
death_30d_inhosp,ctpa,3501,242,0.7669557819171082,0.011384008088411035,,,
death_30d_inhosp,wra_complete,3501,242,0.8779354378234121,0.0014184989964197718,,,
death_30d_inhosp,wra_imputed,3501,242,0.8426031705377014,0.0005604877894358891,,,
death_30d_inhosp,ev_fixed,3501,242,0.8383157215830374,0.0016202747128376577,,,
death_30d_inhosp,ev_gap,3501,242,0.8430244451263169,0.0006901297479304129,,,
death_30d_inhosp,ev_calib,3501,242,0.5,0.0,,,
death_30d_inhosp,ev_entropy,3501,242,0.8403387271696011,0.0022400171891074857,,,
death_30d_inhosp,ev_calib_vs_wra_imputed,3501,242,-0.34301744153001235,,-0.3666821165158085,-0.31851282373076006,1.0
