outcome,modality,u_calib,brier,gap,auc
death_30d,ehr,0.8006139679871267,0.08049171125815527,0.0,0.8307903671868914
death_30d,ecg,0.9338550773950275,0.09388743670763865,0.10069980935192642,0.730090557834965
death_30d,ctpa,0.7492167598348112,0.07532436544170305,0.03631671253138469,0.7944736546555067
composite_30d,ehr,0.8425376825219392,0.1110715748371796,0.0,0.8042408954363002
composite_30d,ecg,0.9081867599331414,0.11972607963374136,0.0675660761371706,0.7366748192991296
composite_30d,ctpa,0.8095661936142232,0.10672495002302922,0.06225539430790596,0.7419855011283941
cv_first,ehr,0.961191828372924,0.049977100988013175,0.0,0.798227866038954
cv_first,ecg,0.9576183127045373,0.04979129629412233,0.05436919063889208,0.7438586754000619
cv_first,ctpa,0.9272757498591027,0.048213636889621984,0.16251831163070335,0.6357095544082506
death_30d_inhosp,ehr,0.818086859812562,0.05263988380381562,0.0,0.8321342804034092
death_30d_inhosp,ecg,0.9523568315689671,0.061279499055939525,0.10376013193386069,0.7283741484695487
death_30d_inhosp,ctpa,0.6812406974685921,0.04383450330126711,0.06517849848630108,0.7669557819171082
