outcome,modality,u_calib,gap,auc
death_30d,ehr,1.0,0.0,0.8307903671868914
death_30d,ecg,1.0,0.10069980935192642,0.730090557834965
death_30d,ctpa,1.0,0.03631671253138469,0.7944736546555067
composite_30d,ehr,1.0,0.0,0.8042408954363002
composite_30d,ecg,1.0,0.0675660761371706,0.7366748192991296
composite_30d,ctpa,1.0,0.06225539430790596,0.7419855011283941
cv_first,ehr,1.0,0.0,0.798227866038954
cv_first,ecg,1.0,0.05436919063889208,0.7438586754000619
cv_first,ctpa,1.0,0.16251831163070335,0.6357095544082506
death_30d_inhosp,ehr,1.0,0.0,0.8321342804034092
death_30d_inhosp,ecg,1.0,0.10376013193386069,0.7283741484695487
death_30d_inhosp,ctpa,1.0,0.06517849848630108,0.7669557819171082
