outcome,pair,method,param,k,nfeat,n_selected,mean,sd,vs_late
death_30d_inhosp,ehr+ctpa,late_wsrc,,,74,,0.8785741808185737,0.011546813325024585,0.0
death_30d_inhosp,ehr+ctpa,early,,,74,,0.8773639309330044,0.012969369935575356,-0.0012102498855693922
death_30d_inhosp,ehr+ctpa,coop,0.0,,74,,0.8773639309330044,0.012969369935575356,-0.0012102498855693922
death_30d_inhosp,ehr+ctpa,coop,0.2,,74,,0.8813218100993799,0.012242278518157906,0.0027476292808061853
death_30d_inhosp,ehr+ctpa,coop,0.5,,74,,0.8817627237863236,0.011580341443920332,0.003188542967749841
death_30d_inhosp,ehr+ctpa,coop,1.0,,74,,0.8813463771376556,0.011898738756409373,0.0027721963190818766
death_30d_inhosp,ehr+ctpa,coop,2.0,,74,,0.8807632332291174,0.012623145121004842,0.0021890524105436793
death_30d_inhosp,ehr+ctpa,coop,5.0,,74,,0.8773018668363086,0.010403595064240628,-0.0012723139822651275
death_30d_inhosp,ehr+ctpa,spca,0.05,5.0,74,32.900000000000006,0.8901646508765261,0.003975354575346511,0.011590470057952329
death_30d_inhosp,ehr+ctpa,spca,0.05,10.0,74,32.900000000000006,0.8838586800518233,0.01031173154987409,0.005284499233249584
death_30d_inhosp,ehr+ctpa,spca,0.05,20.0,74,32.900000000000006,0.8841521915091143,0.009512615732779834,0.005578010690540536
death_30d_inhosp,ehr+ctpa,spca,0.1,5.0,74,38.5,0.8927325528773175,0.004339578901057999,0.014158372058743707
death_30d_inhosp,ehr+ctpa,spca,0.1,10.0,74,38.5,0.8848348965727689,0.007379238508640102,0.0062607157541951786
death_30d_inhosp,ehr+ctpa,spca,0.1,20.0,74,38.5,0.8860179934160337,0.009149271254190565,0.0074438125974599645
death_30d_inhosp,ehr+ctpa,spca,0.25,5.0,74,49.03333333333333,0.8998337199409355,0.0036043315603019664,0.02125953912236178
death_30d_inhosp,ehr+ctpa,spca,0.25,10.0,74,49.03333333333333,0.8913257666855444,0.0057284249277354295,0.012751585866970672
death_30d_inhosp,ehr+ctpa,spca,0.25,20.0,74,49.03333333333333,0.8865455382379485,0.006813586759854782,0.007971357419374714
death_30d_inhosp,ehr+ctpa,spca,0.5,5.0,74,61.400000000000006,0.8996940757233699,0.0031222260767146317,0.021119894904796155
death_30d_inhosp,ehr+ctpa,spca,0.5,10.0,74,61.400000000000006,0.8973718441053332,0.0070763169672948935,0.01879766328675947
death_30d_inhosp,ehr+ctpa,spca,0.5,20.0,74,61.400000000000006,0.8821907074531222,0.012859100796699307,0.003616526634548478
death_30d_inhosp,ehr+ctpa,lol,5.0,5.0,74,,0.8899577705542064,0.008394357887746427,0.011383589735632693
death_30d_inhosp,ehr+ctpa,lol,10.0,10.0,74,,0.8791883567754599,0.010669442308533568,0.000614175956886176
death_30d_inhosp,ehr+ctpa,lol,20.0,20.0,74,,0.8663204007271843,0.0065655179770563,-0.012253780091389443
death_30d_inhosp,ehr+ctpa,lol,30.0,30.0,74,,0.8617354155837775,0.010227639428794146,-0.016838765234796216
death_30d_inhosp,ehr+ecg,late_wsrc,,,292,,0.8731196518204176,0.011712192956442057,0.0
death_30d_inhosp,ehr+ecg,early,,,292,,0.8432480727804973,0.014940024617681614,-0.029871579039920326
death_30d_inhosp,ehr+ecg,coop,0.0,,292,,0.8432480727804973,0.014940024617681614,-0.029871579039920326
death_30d_inhosp,ehr+ecg,coop,0.2,,292,,0.8427774200472204,0.012188957840639234,-0.03034223177319717
death_30d_inhosp,ehr+ecg,coop,0.5,,292,,0.8433683219678456,0.014079842279576817,-0.029751329852572006
