model_type,outcome,model,n,ev,mean,sd,seed42,lo,hi,sig
3mod,death_30d,ehr,1636,152,0.856424670165981,0.0,0.856424670165981,,,
3mod,death_30d,ctpa,1636,152,0.7899340036411783,0.006761823999578227,0.7917435097176904,,,
3mod,death_30d,ecg_pub,1636,152,0.7045946233508298,0.010783366672048067,0.6918756206554121,,,
3mod,death_30d,ecg_opt,1636,152,0.7209939648649927,0.0037270053667021034,0.7239324726911619,,,
3mod,death_30d,ctpa+ehr,1636,152,0.874280704709888,0.0018171977631440226,0.8734594446020711,,,
3mod,death_30d,3mod_pub,1636,152,0.8759908320329126,0.0011970579265031943,0.8747184884380764,,,
3mod,death_30d,3mod_opt,1636,152,0.8763979524282405,0.0017142906287423351,0.8774050397219464,,,
3mod,death_30d,3mod_pub_vs_ctpa+ehr,1636,152,0.001266985451812512,,,-0.0020143570571710704,0.0046330566434076995,0.0
3mod,death_30d,3mod_opt_vs_ctpa+ehr,1636,152,0.0039325844713168885,,,-0.0013905927334437406,0.009137537189768419,0.0
3mod,death_30d,3mod_opt_vs_3mod_pub,1636,152,0.0026655990195043762,,,-0.0017126760956964664,0.006846245027188701,0.0
3mod,death_30d,ecg_opt_vs_ecg_pub,1636,152,0.03224569548539161,,,-0.005532252254933856,0.07066774137120743,0.0
3mod,composite_30d,ehr,1636,219,0.8209414062122368,1.2161883888976234e-16,0.8209414062122369,,,
3mod,composite_30d,ctpa,1636,219,0.7312681732689272,0.007249585384938841,0.7264720952040292,,,
3mod,composite_30d,ecg_pub,1636,219,0.7058145867370449,0.007848135851439848,0.7104178549446867,,,
3mod,composite_30d,ecg_opt,1636,219,0.7385911883209859,0.004419068296653425,0.7396648008687722,,,
3mod,composite_30d,ctpa+ehr,1636,219,0.8352732475517444,0.00245988753431901,0.8346964292044096,,,
3mod,composite_30d,3mod_pub,1636,219,0.8361572726911422,0.0021533346771589594,0.8359676852827538,,,
3mod,composite_30d,3mod_opt,1636,219,0.8404364162501651,0.0027467734800320333,0.839800788210993,,,
3mod,composite_30d,3mod_pub_vs_ctpa+ehr,1636,219,0.0013003290976245137,,,-0.002736088442509757,0.005439832072066263,0.0
3mod,composite_30d,3mod_opt_vs_ctpa+ehr,1636,219,0.005081135550703389,,,-0.002123430794869455,0.012124429413442031,0.0
3mod,composite_30d,3mod_opt_vs_3mod_pub,1636,219,0.0037808064530788746,,,-0.001745975558451554,0.009351060257881925,0.0
3mod,composite_30d,ecg_opt_vs_ecg_pub,1636,219,0.029057935871129672,,,0.0014810989489771728,0.05738456397592183,1.0
3mod,cv_first,ehr,1493,76,0.8045258700739145,0.0,0.8045258700739145,,,
3mod,cv_first,ctpa,1493,76,0.6270010771459346,0.01538023015029063,0.6233703524867213,,,
3mod,cv_first,ecg_pub,1493,76,0.6066916143569934,0.017673301864451568,0.5976209932028378,,,
3mod,cv_first,ecg_opt,1493,76,0.7150515668140004,0.004674223397680852,0.7123370352486722,,,
