set,slope,se,intercept,r,r2,p,spearman,sp_p,n
late_best,-0.2490009457645749,0.029646192379111376,0.03857211228504223,-0.9358660573569239,0.875845277312793,7.668198758285807e-06,-0.9580419580419581,9.543581826838402e-07,12
early_best,-0.10938709719597678,0.057242425541168845,0.018953006564947094,-0.5171952904681626,0.2674909684824471,0.08507211236049306,-0.6783216783216784,0.0153173290532817,12
inter_best,-0.2845347617845992,0.08782654994692582,0.01359502075828466,-0.7156096409779211,0.5120971582605491,0.00887339587666384,-0.4265734265734266,0.16669998762494498,12
any_best,-0.17259870851767525,0.04403994928323994,0.0316489602762177,-0.7782498764606212,0.605672870210972,0.0028703658054916505,-0.8111888111888113,0.0013633152527271922,12
late_best_nocv,-0.3075159018687286,0.02905843078414176,0.04383742980807648,-0.9742430506192711,0.9491495216799436,4.189823040966563e-05,-0.9523809523809524,0.00026040002438725105,8
early_best_nocv,-0.21261163664278113,0.08114027344134299,0.027308301547930656,-0.730515614131247,0.5336530624895529,0.03957047148285057,-0.880952380952381,0.0038503204637324014,8
any_best_nocv,-0.31043514691223517,0.026199899289216497,0.04446015551922631,-0.9792926880175612,0.9590141688046604,2.185454830562711e-05,-0.9523809523809524,0.00026040002438725105,8
late_best_cross,-0.26872292123605723,0.046268258640285984,0.040477474505912076,-0.9455101322318764,0.8939894101531404,0.004372824356081881,-0.942857142857143,0.0048046647230320545,6
any_best_cross,-0.14889279222158852,0.06967558424129275,0.029288409520385188,-0.7301139388608957,0.5330663637189718,0.09942868295321304,-0.6571428571428573,0.15617492711370237,6
gain_vs_ctpa,0.13641314535775148,0.04920506756789557,-0.08561190327585197,0.6592243357182204,0.4345767248031289,0.019708026240279362,0.44055944055944063,0.15173503571673022,12
gain_vs_ctpa_nocv,-0.011352356860110985,0.09158069767852657,0.017563931877993023,-0.050541840662888124,0.0025544776575927713,0.9053953100842028,-0.09523809523809526,0.8225054302036114,8
gain_vs_ehr,-0.02914749617899522,0.09328663661858212,0.028501586209681053,-0.09832686380388897,0.009668172145508531,0.7611160072057426,-0.2377622377622378,0.4568008526399232,12
partial_gap_ehr,,,,-0.9354121425217643,0.8749958763771575,2.3574288962491252e-05,-0.9580419580419581,9.543581826838402e-07,12
partial_gap_ehr_nocv,,,,-0.9696193647601751,0.9401617125179255,0.0003039770464592362,-0.9761904761904763,3.3143960262001043e-05,8
partial_ctpa_ehr,,,,0.9354121425217641,0.874995876377157,2.3574288962491252e-05,0.9580419580419581,9.543581826838402e-07,12
fusedauc_vs_gap,-0.17280984986464704,0.2827648359846815,0.8280681670813609,-0.18974944586333428,0.03600485220544243,0.554741600379125,-0.027972027972027972,0.9312343512018808,12
fusedauc_vs_ctpa,0.5776168397161245,0.1296389305197183,0.4204090475667768,0.8154853778575248,0.6650164014994301,0.001224494918383836,0.8111888111888113,0.0013633152527271922,12
gain_vs_ratio,0.1924852442186027,0.024431546825488277,-0.1549955375230085,0.9280350724320596,0.8612490956639781,1.3459829705910093e-05,0.9440559440559443,3.927261080965945e-06,12
gain_vs_ratio_nocv,0.2836380324054994,0.030780751174573143,-0.2351952681710176,0.9664379518721421,0.9340023148188209,9.214862200582883e-05,0.9285714285714287,0.0008629681828999769,8
late_best_std_grid,-0.23259609481432778,0.03154256118195433,0.03578867576986895,-0.9190558833464684,0.8446637167137573,2.3859866452214484e-05,-0.9860139860139862,4.1168959116543284e-09,12
