set,slope,se,intercept,r,r2,p,spearman,n
late_best,-0.24252262165180016,0.0275913139366478,0.036001871357786056,-0.940957560966309,0.8854011315396652,5.115036340981934e-06,-0.9300699300699302,12
early_best,-0.14419955184601677,0.059923899383225794,0.02079857804709341,-0.60556919173137,0.3667140459741848,0.036911157750556096,-0.7972027972027973,12
inter_best,-0.5295608345633239,0.14870704594110523,0.038916289331478546,-0.7477371962755142,0.5591109146939668,0.005171761111635688,-0.5734265734265735,12
any_best,-0.16407664118583432,0.025435535248935368,0.029092613693151505,-0.8979109920999822,0.8062441497339742,7.341437745635067e-05,-0.8251748251748254,12
late_best_nocv,-0.2650072124019488,0.03324343221221602,0.03716665893025053,-0.9558917158764024,0.9137289724811328,0.00020750165001231577,-0.9285714285714287,8
early_best_nocv,-0.250413473981786,0.1119128421628741,0.0327769094445569,-0.6744477358411142,0.4548797483812053,0.06656861021419262,-0.7142857142857144,8
any_best_nocv,-0.30839280383373713,0.0532671703643315,0.042802576511582216,-0.9209634907855542,0.8481737513599136,0.0011622972608785014,-0.8095238095238096,8
late_best_cross,-0.26518314118696956,0.03967014838597251,0.038360366419856164,-0.9580394503884924,0.9178395885006845,0.002604091873259352,-0.942857142857143,6
any_best_cross,-0.1493575290612036,0.030283301378298245,0.027941459931798408,-0.9267041521529956,0.8587805856176025,0.007861539010613244,-0.7142857142857143,6
gain_vs_ehr,0.03052819575130133,0.10066184998876156,-0.019300115433780952,0.0954658700481981,0.009113732344059449,0.7678959981791189,-0.1328671328671329,12
gain_vs_ctpa,0.15183157203873673,0.039232687733345845,-0.0970268357162709,0.7743600219100175,0.5996334435324828,0.0031090228190902513,0.5804195804195805,12
partial_gap_ehr,,,,-0.9417277609522998,0.8868511757482319,1.497464966293549e-05,,12
fusedauc_vs_gap,-0.28167825900685295,0.26007101350857026,0.8411016571394749,-0.3240225081325445,0.10499058577650487,0.30419560262380435,-0.1958041958041958,12
fusedauc_vs_ctpa,0.5504439396636869,0.11591485548548618,0.43490027116567004,0.8323346964493188,0.6927810469133796,0.0007817769538422675,0.7832167832167832,12
gain_vs_ratio,0.1874914521023883,0.020354913612578483,-0.1524457443259047,0.9458141559456529,0.8945644175871877,3.357755469892296e-06,0.9160839160839163,12
