direction,outcome,ehr,ctpa,gap,ratio,ev,cross,early_best,early_mean,inter_best,inter_mean,late_best,late_mean,any_best,best_auc,best_arch,late_auc
M2I,death_30d,0.7739316956037929,0.7085103635908656,0.06542133201292732,0.9154688554758208,246,1,0.0080747955677786,0.00169536077969945,-0.0145690812013083,-0.019320213423625242,0.0241446899878003,0.02120547444527755,0.0241446899878003,0.7979339370996853,late:wsrc,0.7980763855915932
I2I,death_30d,0.7797350935198939,0.6986099797147283,0.08112511380516563,0.8959581087482555,246,0,0.0199609614744942,0.0181315919701831,-0.0176774074831636,-0.027045096178699372,0.0185779558167493,0.01664436228867875,0.0199609614744942,0.7991145825014243,early:plain,0.7983130493366432
M2I,composite_30d,0.7419677996422183,0.6455544731575125,0.0964133264847058,0.8700572632246346,505,1,2.315513524200752e-05,-0.00019194112433724625,-0.0254751365590668,-0.035415900165813904,0.0122513441638345,0.0048234071988865,0.0122513441638345,0.7541376928390513,late:wsrc,0.7542191438060528
M2M,cv_first,0.7724420316525579,0.6660655134339345,0.10637651821862337,0.8622854352047078,76,0,0.0212590988746263,0.0013696250749279,-0.0137412831821448,-0.041832766826867825,0.0147877796485072,0.0068419098984226,0.0212590988746263,0.7937983069562017,early:blockstd,0.7872298113010651
I2M,composite_30d,0.8313248395440177,0.7156320848101669,0.11569275473385077,0.8608332757176986,219,1,0.00601513253751,0.00481419695560425,-0.0065812908088055,-0.017456239528951225,0.0108748897544105,0.0020679953946345,0.0108748897544105,0.8423667656544369,late:wsrc,0.8421997292984282
I2I,composite_30d,0.7587452841885263,0.6366283497759435,0.12211693441258276,0.8390541108361733,505,0,0.0046040447602329,0.00231841028525477,-0.0290572708263089,-0.03242000272168371,0.0057272019074212,-0.0042471620837294,0.0057272019074212,0.7643567898829239,late:wsrc,0.7644724860959474
M2M,death_30d,0.8809285237140949,0.7536015012481102,0.1273270224659847,0.8554627089049637,152,0,-0.003139518541012,-0.004387347838044051,-0.0111650278781904,-0.017018231876450986,0.0070351766948168,-0.001457531965525,0.0070351766948168,0.8879513412790493,late:wsrc,0.8879637004089117
I2M,death_30d,0.8594425693492248,0.7224756530605069,0.13696691628871793,0.840632846017355,152,1,-0.0004702348978085,-0.00548770676705405,-0.0263013003416272,-0.037447177392636144,-0.0014726340857696,-0.00809382503204735,-0.0004702348978085,0.8589020145554266,early:blockstd,0.8579699352634552
M2M,composite_30d,0.8409601813711403,0.6966152568892294,0.14434492448191083,0.8283570046722495,219,0,-0.0057004832081637,-0.0094300600169371,-0.0072643144220037,-0.019684761948909633,5.361113002595902e-05,-0.01157195063606917,5.361113002595902e-05,0.8411884918734234,late:wsrc,0.8410137925011663
I2M,cv_first,0.8038645564961354,0.6183658446816342,0.18549871181450117,0.7692413351037042,76,1,0.0157016066971819,0.0089647644470825,-0.0180431675144777,-0.032924028404463415,0.0002281896475051,-0.021141998736959797,0.0157016066971819,0.8193319838056681,early:blockstd,0.8040927461436406
I2I,cv_first,0.7864260335917314,0.5861185648976346,0.20030746869409677,0.7452939499227142,288,0,-0.0049432466065427,-0.01270228068271285,-0.0544496348036536,-0.07102818237253784,-0.0044883305845682,-0.02961767024911135,-0.0044883305845682,0.7819040697674419,late:wsrc,0.7819377030071631
M2I,cv_first,0.7667505217650566,0.5396696730272311,0.22708084873782552,0.7038399814647842,288,1,-0.0099171794495775,-0.0410995302973139,-0.0702579038118731,-0.10499002608881502,-0.0254153442506679,-0.0464963587800617,-0.0099171794495775,0.7567419499105547,early:blockstd,0.7413351775143887
