direction,outcome,ehr,ctpa,gap,ratio,ev,cross,early_best,inter_best,late_best,any_best,best_arch,late_auc
M2I,death_30d,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.9272443565107569,246,1,0.0115292254192328,0.0003925518971118,0.0236526032442908,0.0236526032442908,late:wsrc,0.7956409591789306
I2I,death_30d,0.7811060797248444,0.7033545237220545,0.07775155600278982,0.9004596712008964,246,0,0.0232886890065747,-0.0061664442218336,0.0148923713208437,0.0232886890065747,early:blockstd,0.7959984510456881
M2I,composite_30d,0.7408009351919091,0.648886448573301,0.09191448661860813,0.8759255256679757,505,1,0.0093004099655251,-0.0222281436695777,0.011215248865139,0.011215248865139,late:wsrc,0.7520161840570482
M2M,death_30d,0.8735145730056604,0.7645708082832332,0.10894376472242717,0.8752811136881614,152,0,0.0084210406085551,-0.0092838540151824,0.0106327701441473,0.0106327701441473,late:wsrc,0.8841473431498077
I2M,death_30d,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.8699013992790815,152,1,0.0011454677457057,-0.0244723721841365,0.0057044121325826,0.0057044121325826,late:wsrc,0.8628089721297699
I2M,composite_30d,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.8634782372101342,219,1,0.0121964348896092,0.0012314129751244,0.0100698708688693,0.0121964348896092,early:blockstd,0.8315853416994086
I2I,composite_30d,0.7588550983899821,0.6440673763261836,0.1147877220637985,0.8487356515000863,505,0,-0.0007347531752019,-0.0309004107272331,0.00600971282614,0.00600971282614,late:wsrc,0.7648648112161222
M2M,composite_30d,0.8362806143628061,0.712826899128269,0.12345371523453708,0.8523776432046064,219,0,-0.0024307952048993,-0.0073171552469287,0.0040301774810457,0.0040301774810457,late:wsrc,0.8403107918438518
M2M,cv_first,0.7996917556128083,0.6663323518586677,0.13335940375414057,0.8332364904125509,76,0,-0.0209263831286012,-0.0644698333709501,0.0063883879678455,0.0063883879678455,late:wsrc,0.8060801435806537
I2M,cv_first,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.7808137740227967,76,1,0.0060100943938139,0.0001512695726346,0.0009778569812174,0.0060100943938139,early:plain,0.8058085526013867
I2I,cv_first,0.7859775641025641,0.6026392615782151,0.18333830252434902,0.7667385038735982,288,0,-0.0099751117135982,-0.0651279915596571,-0.0021427751441301,-0.0021427751441301,late:wsrc,0.7838347889584341
M2I,cv_first,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.6908556095789539,288,1,-0.008540560986537,-0.1138439286225982,-0.0299192790283072,-0.008540560986537,early:blockstd,0.7397928805821081
