direction,outcome,arch,seed,auc,ap
I2M,death_30d,inter:plain,42,0.7610615968779666,0.32504647699330963
I2M,death_30d,inter:plain,7,0.7917106142108778,0.3219169300803032
I2M,death_30d,inter:plain,13,0.8083096016594592,0.3692191915971597
I2M,death_30d,inter:gated,42,0.7826662096122069,0.3362919070307288
I2M,death_30d,inter:gated,7,0.8201095172801743,0.34804957675612463
I2M,death_30d,inter:gated,13,0.8049520092817215,0.3387942409020122
I2M,death_30d,inter:moddrop,42,0.7666077769574237,0.32380217081598667
I2M,death_30d,inter:moddrop,7,0.812229722603101,0.3516660664048703
I2M,death_30d,inter:moddrop,13,0.7924621172168899,0.32935181838535665
I2M,death_30d,inter:lowrank,42,0.7948264950954541,0.32489897355043806
I2M,death_30d,inter:lowrank,7,0.795718630242942,0.30210472891109935
I2M,death_30d,inter:lowrank,13,0.8223156839995781,0.33975410273094964
I2M,death_30d,inter:bilinear,42,0.8169892416411771,0.3242600984722521
I2M,death_30d,inter:bilinear,7,0.7597211967795239,0.31672916892226016
I2M,death_30d,inter:bilinear,13,0.7698071581760011,0.3128398587193087
I2M,death_30d,inter:tucker,42,0.8035764511479099,0.3208530023061366
I2M,death_30d,inter:tucker,7,0.8163520022501142,0.354347752109735
I2M,death_30d,inter:tucker,13,0.814734732623141,0.31261324617031383
I2M,death_30d,inter:crossattn,42,0.7876322821080758,0.30086512536245086
I2M,death_30d,inter:crossattn,7,0.8015460746053511,0.34659897035331527
I2M,death_30d,inter:crossattn,13,0.7691347607495693,0.28657197916904337
I2M,composite_30d,inter:plain,42,0.8009898777022066,0.35864345982365037
I2M,composite_30d,inter:plain,7,0.8093176230162532,0.3407049394558378
I2M,composite_30d,inter:plain,13,0.8039403518855573,0.34697909388785914
I2M,composite_30d,inter:gated,42,0.799255995146406,0.35074834070793864
I2M,composite_30d,inter:gated,7,0.7975732030526551,0.3510997913362295
I2M,composite_30d,inter:gated,13,0.7967397898904748,0.36057919114435577
I2M,composite_30d,inter:moddrop,42,0.7878660152632755,0.3338015063971349
I2M,composite_30d,inter:moddrop,7,0.8166139796276782,0.355753829926282
I2M,composite_30d,inter:moddrop,13,0.8000031931538781,0.33832351524404963
I2M,composite_30d,inter:lowrank,42,0.7624804419324968,0.29419281624679094
I2M,composite_30d,inter:lowrank,7,0.795551936647827,0.34982840111338276
I2M,composite_30d,inter:lowrank,13,0.7882811252674266,0.314455363681005
I2M,composite_30d,inter:bilinear,42,0.7830028419069515,0.35365753644909037
I2M,composite_30d,inter:bilinear,7,0.7670115272854999,0.33306952425525865
I2M,composite_30d,inter:bilinear,13,0.8082543027748508,0.3474432525648298
I2M,composite_30d,inter:tucker,42,0.7843280007663569,0.3295387095398043
I2M,composite_30d,inter:tucker,7,0.8093559408627902,0.3624212088622625
I2M,composite_30d,inter:tucker,13,0.7923492033081074,0.3393233315573979
I2M,composite_30d,inter:crossattn,42,0.7821694287447711,0.3557728078732091
I2M,composite_30d,inter:crossattn,7,0.799881853306511,0.3779812772109512
I2M,composite_30d,inter:crossattn,13,0.7791582846377365,0.3409524519254098
I2M,cv_first,inter:plain,42,0.7790577843209423,0.15062773341833652
I2M,cv_first,inter:plain,7,0.7614556496135443,0.13352218396062768
I2M,cv_first,inter:plain,13,0.7754324622745674,0.16452661392068263
I2M,cv_first,inter:gated,42,0.7841185130658815,0.1697136901837067
I2M,cv_first,inter:gated,7,0.7640688259109312,0.1451506584746018
I2M,cv_first,inter:gated,13,0.7705557600294443,0.15355492453498393
I2M,cv_first,inter:moddrop,42,0.795748987854251,0.15802818616465386
I2M,cv_first,inter:moddrop,7,0.7916543982333457,0.15978381627931595
I2M,cv_first,inter:moddrop,13,0.784781008465219,0.15833844025126736
I2M,cv_first,inter:lowrank,42,0.7800239234449762,0.14930084805431607
I2M,cv_first,inter:lowrank,7,0.7654398233345602,0.13911473763838653
I2M,cv_first,inter:lowrank,13,0.7307784320942216,0.14181721630824387
I2M,cv_first,inter:bilinear,42,0.7244295178505704,0.14021801737047918
I2M,cv_first,inter:bilinear,7,0.7730861244019138,0.16263885386661645
I2M,cv_first,inter:bilinear,13,0.7520518954729482,0.158548515706033
I2M,cv_first,inter:tucker,42,0.7573242546926756,0.14884434286054388
I2M,cv_first,inter:tucker,7,0.7757821126242178,0.1925116697921765
I2M,cv_first,inter:tucker,13,0.784873021715127,0.19049044846035706
I2M,cv_first,inter:crossattn,42,0.7696908354803091,0.13378320775273536
I2M,cv_first,inter:crossattn,7,0.7803459698196541,0.1503216417806852
I2M,cv_first,inter:crossattn,13,0.7794442399705559,0.1566245652116496
M2I,death_30d,inter:plain,42,0.7380045362339673,0.18070013831531895
M2I,death_30d,inter:plain,7,0.765908098668413,0.1891369285024041
M2I,death_30d,inter:plain,13,0.7447130512562492,0.18425343752320686
M2I,death_30d,inter:gated,42,0.7305546238173581,0.17733078916344083
M2I,death_30d,inter:gated,7,0.7537722086454657,0.1865965089943329
M2I,death_30d,inter:gated,13,0.7328546861107118,0.16597567603883426
M2I,death_30d,inter:moddrop,42,0.7259644821399098,0.17900837882555964
M2I,death_30d,inter:moddrop,7,0.7517130672289042,0.20225615201272856
M2I,death_30d,inter:moddrop,13,0.7373256984043318,0.18068882754387058
M2I,death_30d,inter:lowrank,42,0.7154185367983346,0.16684464511764285
M2I,death_30d,inter:lowrank,7,0.7495627485744406,0.1901401986966258
M2I,death_30d,inter:lowrank,13,0.7386301318808867,0.17929007928728535
M2I,death_30d,inter:bilinear,42,0.7456607621086034,0.1814721034065932
M2I,death_30d,inter:bilinear,7,0.7165233120897025,0.18528896274873946
M2I,death_30d,inter:bilinear,13,0.737187268729269,0.1932023833223373
M2I,death_30d,inter:tucker,42,0.7295762987099419,0.17555723337288698
M2I,death_30d,inter:tucker,7,0.7511140926733433,0.19687395330532076
M2I,death_30d,inter:tucker,13,0.7475189142854101,0.17394076031504768
M2I,death_30d,inter:crossattn,42,0.7349564212734465,0.17579535513309918
M2I,death_30d,inter:crossattn,7,0.7580169416625404,0.20088089211110455
M2I,death_30d,inter:crossattn,13,0.727691525441777,0.17591078872119845
M2I,composite_30d,inter:plain,42,0.6880143112701251,0.2746842177671446
M2I,composite_30d,inter:plain,7,0.7008349421704245,0.2749281154159013
M2I,composite_30d,inter:plain,13,0.6998646805646574,0.27811676003872554
M2I,composite_30d,inter:gated,42,0.6819128925414902,0.26470988670116086
M2I,composite_30d,inter:gated,7,0.6920072973308065,0.26123037513215197
