direction,outcome,rung,nfeat,frac,ehr,ctpa,gap,fused,gain,lo,hi,weight_ehr,sig
I2M,death_30d,full,28,1.0,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.8627364377878565,0.005704412132582647,-0.010548706364589804,0.021696922457944027,0.65,0
I2M,death_30d,half_rows,28,0.5,0.85128370776641,0.7455964560700348,0.10568725169637527,0.8607983510881412,0.009599142832140473,-0.004729975834456524,0.02302086987745238,0.7000000000000001,0
I2M,death_30d,quarter_rows,28,0.25,0.8536261118728685,0.7455964560700348,0.10802965580283375,0.8635912175227649,0.010032045309817892,-0.002021588127619112,0.021591898608808564,0.7333333333333334,0
I2M,death_30d,eighth_rows,28,0.125,0.8461945821467497,0.7455964560700348,0.10059812607671492,0.8560124635235382,0.00999206075922098,-0.01182421978936255,0.030305346565172826,0.5833333333333334,0
I2M,death_30d,no_vitals,23,1.0,0.835084642970151,0.7455964560700348,0.08948818690011617,0.8453947368421052,0.010346851861626495,-0.012897327299794193,0.03430190191828504,0.55,0
I2M,death_30d,labs_only,18,1.0,0.8007901768449177,0.7455964560700348,0.05519372077488294,0.8244669162887177,0.023925803609826404,-0.008041889386841309,0.05518931372695508,0.45,0
I2M,death_30d,age_flags,5,1.0,0.7658123264072003,0.7455964560700348,0.020215870337165542,0.791730390605773,0.025532932222767826,-0.011682442491833003,0.062115846898989725,0.35000000000000003,0
I2M,death_30d,age_only,1,1.0,0.6758582955384452,0.7455964560700348,-0.06973816053158954,0.7656277467215132,0.08955610677418245,0.03744627024271288,0.14097457782066372,0.2,1
I2M,composite_30d,full,28,1.0,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.8316233994316184,0.010069870868869324,0.000883314262594609,0.019726301954243294,0.75,1
I2M,composite_30d,half_rows,28,0.5,0.8212456493278412,0.7093607305936074,0.11188491873423378,0.83145416227608,0.0101638286895383,0.0006266457862032116,0.019891363378009282,0.75,1
I2M,composite_30d,quarter_rows,28,0.25,0.823147172462241,0.7093607305936074,0.11378644186863363,0.8306415046141072,0.007452313332184589,-0.005927577485336721,0.02117549619205183,0.6666666666666666,0
I2M,composite_30d,eighth_rows,28,0.125,0.8146485934157167,0.7093607305936074,0.10528786282210933,0.8247996295941502,0.010130558839519268,0.0029875361948920737,0.01740649843939203,0.8166666666666668,1
I2M,composite_30d,no_vitals,23,1.0,0.816867835360986,0.7093607305936074,0.10750710476737857,0.8275696905833893,0.010599292637136258,-0.0038861891319709073,0.025237918617758235,0.65,0
I2M,composite_30d,labs_only,18,1.0,0.7649774882651594,0.7093607305936074,0.05561675767155205,0.7913305872209981,0.026309232978891664,0.002125192184970501,0.04996882565775552,0.5,1
I2M,composite_30d,age_flags,5,1.0,0.7804978126895935,0.7093607305936074,0.07113708209598613,0.8014544815914679,0.02064863104349689,0.00013895266108622796,0.042347960107185716,0.55,1
