stage,outcome,name,mean,sd,leaf,mean_cc,mean_noct,lo,hi,sig,slope,slope_platt,slope_noct,slope_noct_platt
A,death_30d_inhosp,narrow,0.7619686731471929,0.004935437299467944,,,,,,,,,,
A,death_30d_inhosp,wide,0.7612456264206859,0.006824161488099658,,,,,,,,,,
A,death_30d,narrow,0.7961962689743226,0.007579740753442358,,,,,,,,,,
A,death_30d,wide,0.797237640090793,0.008411367402445606,,,,,,,,,,
A,composite_30d,narrow,0.7396064745442652,0.004514390282969453,,,,,,,,,,
A,composite_30d,wide,0.7404394775765896,0.005187719513322712,,,,,,,,,,
A,cv_first,narrow,0.596987705679159,0.018791360421677603,,,,,,,,,,
A,cv_first,wide,0.5952029862942465,0.018548800534947237,,,,,,,,,,
B,cv_first,,0.8135126100360285,0.003448183303659882,25.0,,,,,,,,,
B,cv_first,,0.8178509081454518,0.0038284232151613944,50.0,,,,,,,,,
B,cv_first,,0.8202299149426141,0.0040061778857025734,75.0,,,,,,,,,
B,cv_first,,0.8208204880585372,0.0043224869164061475,100.0,,,,,,,,,
B,composite_30d,,0.8598782558817748,0.0021534820758926996,10.0,,,,,,,,,
B,composite_30d,,0.8609777554354657,0.0014244361285132847,25.0,,,,,,,,,
B,composite_30d,,0.8598331415976256,0.0012422091073384161,50.0,,,,,,,,,
B,composite_30d,,0.8577952649336336,0.0014028290027914734,75.0,,,,,,,,,
B,composite_30d,,0.8560300074438569,0.0011825035068234431,100.0,,,,,,,,,
C,death_30d_inhosp,complete,0.9088162049356473,,1.0,0.9088162049356473,,,,,,,,
C,death_30d_inhosp,ehr_ecg,0.909803620742559,,1.0,0.9182569298442967,0.8999542863884035,,,,,,,
C,death_30d_inhosp,nan_ind,0.8941311916903985,,1.0,0.9142925856678484,0.8867275689943742,,,,,,,
C,death_30d_inhosp,masked,0.8716297398938476,,1.0,0.915468700300235,0.8881601745965035,,,,,,,
C,death_30d_inhosp,complete,0.9153383656971738,,10.0,0.9153383656971738,,,,,,,,
C,death_30d_inhosp,ehr_ecg,0.9138388543867079,,10.0,0.924350072537413,0.9031321197106772,,,,,,,
C,death_30d_inhosp,nan_ind,0.9003656752185302,,10.0,0.9181265952412353,0.8911861207576663,,,,,,,
C,death_30d_inhosp,masked,0.8934023771425093,,10.0,0.9197666389964235,0.8912480553282164,,,,,,,
C,death_30d_inhosp,complete,0.91359436458002,,25.0,0.91359436458002,,,,,,,,
C,death_30d_inhosp,ehr_ecg,0.9118083679270882,,25.0,0.9234935880030101,0.9003819298517257,,,,,,,
C,death_30d_inhosp,nan_ind,0.9008447046830265,,25.0,0.9168310072227094,0.8906405066837724,,,,,,,
C,death_30d_inhosp,masked,0.8993794679197341,,25.0,0.9181188372291483,0.8918393830137068,,,,,,,
C2,death_30d_inhosp,nan_vs_complete,0.017790233287340012,,1.0,,,-0.0001298631007316503,0.033809827102629676,0.0,,,,
C2,death_30d_inhosp,nan_vs_complete,0.014109433656028287,,10.0,,,0.0006541129411030218,0.028059236033709245,1.0,,,,
C2,death_30d_inhosp,nan_vs_complete,0.012245506094979687,,25.0,,,-0.0005999082308853541,0.025037461119843937,0.0,,,,
C3,death_30d_inhosp,calib,,,,,,,,,2.5609019661984385,1.0472510192317481,2.515652740633336,1.0293714252835862
C,death_30d,complete,0.8950006206554122,,1.0,0.8950006206554122,,,,,,,,
C,death_30d,ehr_ecg,0.891362246487834,,1.0,0.8935447403887077,0.8879047619047619,,,,,,,
C,death_30d,nan_ind,0.8634070931470564,,1.0,0.8852133281316499,0.8539546485260772,,,,,,,
C,death_30d,masked,0.8492881534186815,,1.0,0.8957431905234785,0.8641874527588815,,,,,,,
C,death_30d,complete,0.8999671939282168,,10.0,0.8999671939282168,,,,,,,,
C,death_30d,ehr_ecg,0.8956885078812746,,10.0,0.8997907504610583,0.8908944318468128,,,,,,,
C,death_30d,nan_ind,0.869638266379288,,10.0,0.8902379770180169,0.8583280423280424,,,,,,,
C,death_30d,masked,0.8718132449557248,,10.0,0.8992206341325011,0.8675852859662383,,,,,,,
C,death_30d,complete,0.8986850971769046,,25.0,0.8986850971769046,,,,,,,,
C,death_30d,ehr_ecg,0.8947840115297723,,25.0,0.9009939353099732,0.8882091206853111,,,,,,,
C,death_30d,nan_ind,0.8681428367394636,,25.0,0.887695063129522,0.8566419753086422,,,,,,,
C,death_30d,masked,0.8770279350281752,,25.0,0.8977638672152078,0.8667901234567902,,,,,,,
C2,death_30d,nan_vs_complete,-0.01957677306134873,,1.0,,,-0.0330115246073348,-0.006273581584024031,1.0,,,,
C2,death_30d,nan_vs_complete,-0.015616647328566557,,10.0,,,-0.02686052788666456,-0.004371691375543039,1.0,,,,
C2,death_30d,nan_vs_complete,-0.01568120736898087,,25.0,,,-0.0270071719757373,-0.00470641055180354,1.0,,,,
C3,death_30d,calib,,,,,,,,,2.285515655010367,0.9012058906651287,2.724264129516507,1.0777442339124135
C,composite_30d,complete,0.8522626424725205,,1.0,0.8522626424725205,,,,,,,,
C,composite_30d,ehr_ecg,0.8472013902383779,,1.0,0.8538416424177389,0.8404085405525492,,,,,,,
C,composite_30d,nan_ind,0.831222313127925,,1.0,0.8535113414087903,0.8180590158211276,,,,,,,
C,composite_30d,masked,0.8130295239993119,,1.0,0.8529235667353049,0.8220738054810607,,,,,,,
C,composite_30d,complete,0.8598782558817748,,10.0,0.8598782558817748,,,,,,,,
C,composite_30d,ehr_ecg,0.8538969871979741,,10.0,0.8626811419069809,0.8452243045527397,,,,,,,
C,composite_30d,nan_ind,0.8354509548605739,,10.0,0.8567724596629963,0.8207519399527111,,,,,,,
C,composite_30d,masked,0.8342481115062277,,10.0,0.8594103563061711,0.82674556072171,,,,,,,
C,composite_30d,complete,0.8609777554354657,,25.0,0.8609777554354657,,,,,,,,
C,composite_30d,ehr_ecg,0.8540065278821267,,25.0,0.8653770426297761,0.8433418760017138,,,,,,,
C,composite_30d,nan_ind,0.8352381860062703,,25.0,0.8562001527440763,0.8202389831315358,,,,,,,
C,composite_30d,masked,0.8385048501149249,,25.0,0.8595102522210729,0.8250400685529302,,,,,,,
C2,composite_30d,nan_vs_complete,-0.006633946366525114,,1.0,,,-0.019247669606684187,0.005637708313107943,0.0,,,,
C2,composite_30d,nan_vs_complete,-0.008773957367855844,,10.0,,,-0.01903800742087306,0.0012402432394339508,0.0,,,,
C2,composite_30d,nan_vs_complete,-0.00980792577591855,,25.0,,,-0.019578922279443915,-0.00011155868831419792,1.0,,,,
C3,composite_30d,calib,,,,,,,,,2.076410387005618,0.956457438010255,2.3351637906863885,1.0723856799111582
C,cv_first,complete,0.7853359581027374,,1.0,0.7853359581027374,,,,,,,,
C,cv_first,ehr_ecg,0.7783830753727701,,1.0,0.7775832930951232,0.7806237800910865,,,,,,,
C,cv_first,nan_ind,0.7818511753869408,,1.0,0.8045815845188129,0.7778179895901106,,,,,,,
C,cv_first,masked,0.7482707719922533,,1.0,0.7995468558481595,0.7782259813489482,,,,,,,
C,cv_first,complete,0.807118448909854,,10.0,0.807118448909854,,,,,,,,
C,cv_first,ehr_ecg,0.7932507754562202,,10.0,0.7970062771607919,0.7921031229668186,,,,,,,
C,cv_first,nan_ind,0.7880260899686669,,10.0,0.8122924636927534,0.7812310236391239,,,,,,,
C,cv_first,masked,0.7771441167671741,,10.0,0.8113973182780523,0.7852540121448708,,,,,,,
C,cv_first,complete,0.8135126100360285,,25.0,0.8135126100360285,,,,,,,,
C,cv_first,ehr_ecg,0.7987423438459478,,25.0,0.8055528730082087,0.7945320971589677,,,,,,,
