outcome,repr,learner,mean,sd,vs_late
death_30d_inhosp,late,l2,0.8834283148016228,0.004155879370137249,0.0
death_30d_inhosp,coop_r0.0,l2,0.842625514913123,0.012201833629894769,-0.040802799888499774
death_30d_inhosp,coop_r0.5,l2,0.8483615696720042,0.012289092729260152,-0.035066745129618604
death_30d_inhosp,coop_r1.0,l2,0.8589230959829033,0.013183588190186972,-0.024505218818719476
death_30d_inhosp,coop_r2.0,l2,0.8706693096292625,0.01370503953755731,-0.012759005172360283
death_30d_inhosp,coop_r5.0,l2,0.8840988633196023,0.005880404087152979,0.0006705485179795412
death_30d_inhosp,raw74,l2,0.8837055161520115,0.004465586071144588,0.00027720135038877824
death_30d_inhosp,raw74,plain,0.8053969089726515,0.014549820159157645,-0.07803140582897128
death_30d_inhosp,raw74,ridge_var,0.8837055161520115,0.004465586071144588,0.00027720135038877824
death_30d_inhosp,raw74,gb,0.8932743828785581,0.012417711757938274,0.009846068076935333
death_30d_inhosp,raw74,rf,0.906606374082448,0.004552904841112465,0.02317805928082528
death_30d_inhosp,raw74,catboost,0.8968361879394184,0.006689886150335977,0.013407873137795678
death_30d_inhosp,pca8,l2,0.9015424164524422,0.0029935974483754836,0.018114101650819392
death_30d_inhosp,pca8,plain,0.9041549230340384,0.004905151371089915,0.020726608232415678
death_30d_inhosp,pca8,ridge_var,0.9003856041131106,0.003330283141157594,0.016957289311487878
death_30d_inhosp,pca8,gb,0.8791928640009911,0.004366324143604255,-0.0042354508006317015
death_30d_inhosp,pca8,rf,0.8835955647783937,0.0029677603615553944,0.00016724997677097786
death_30d_inhosp,pca8,catboost,0.884905689596432,0.004676235679936294,0.0014773747948092497
death_30d_inhosp,spca,l2,0.8966673893517516,0.0034181415601158877,0.013239074550128849
death_30d_inhosp,spca,plain,0.8983352432867717,0.0031697165519086533,0.014906928485148963
death_30d_inhosp,spca,ridge_var,0.8978629169634835,0.002978623333856617,0.014434602161860766
death_30d_inhosp,spca,gb,0.8789094682070182,0.006552073121282431,-0.004518846594604553
death_30d_inhosp,spca,rf,0.8776674822684052,0.011937516336678696,-0.005760832533217575
death_30d_inhosp,spca,catboost,0.8877117725400316,0.004417924570053058,0.00428345773840888
death_30d_inhosp,lol8,l2,0.8888825223774275,0.009657683742832183,0.005454207575804726
death_30d_inhosp,lol8,plain,0.8916793136556509,0.006317522514536262,0.008250998854028135
death_30d_inhosp,lol8,ridge_var,0.8888825223774275,0.009657683742832183,0.005454207575804726
death_30d_inhosp,lol8,gb,0.8818193080806516,0.010514458443137798,-0.0016090067209711956
death_30d_inhosp,lol8,rf,0.8768962740421842,0.006855447431626275,-0.006532040759438584
death_30d_inhosp,lol8,catboost,0.8905132096509432,0.004814044471367269,0.0070848948493204
death_30d_inhosp,cca,l2,0.8815730789481833,0.009270089792760101,-0.0018552358534394964
death_30d_inhosp,cca,plain,0.8829033357078699,0.0031963550230529403,-0.0005249790937528198
death_30d_inhosp,cca,ridge_var,0.8815730789481833,0.009270089792760101,-0.0018552358534394964
death_30d_inhosp,cca,gb,0.874175364697866,0.012353462862311891,-0.009252950103756707
