outcome,learner,repr,mean,sd,vs_late
death_30d_inhosp,late_wsrc,late,0.8834283148016228,0.004155879370137249,0.0
death_30d_inhosp,l2,raw74,0.8837055161520115,0.004465586071144588,0.00027720135038877824
death_30d_inhosp,plain,raw74,0.8053969089726515,0.014549820159157645,-0.07803140582897128
death_30d_inhosp,ridge_var,raw74,0.8837055161520115,0.004465586071144588,0.00027720135038877824
death_30d_inhosp,gb,raw74,0.8932743828785581,0.012417711757938274,0.009846068076935333
death_30d_inhosp,rf,raw74,0.906606374082448,0.004552904841112465,0.02317805928082528
death_30d_inhosp,catboost,raw74,0.8968361879394184,0.006689886150335977,0.013407873137795678
death_30d_inhosp,l2,pca8,0.9015424164524422,0.0029935974483754836,0.018114101650819392
death_30d_inhosp,plain,pca8,0.9041549230340384,0.004905151371089915,0.020726608232415678
death_30d_inhosp,ridge_var,pca8,0.9003856041131106,0.003330283141157594,0.016957289311487878
death_30d_inhosp,gb,pca8,0.8791928640009911,0.004366324143604255,-0.0042354508006317015
death_30d_inhosp,rf,pca8,0.8835955647783937,0.0029677603615553944,0.00016724997677097786
death_30d_inhosp,catboost,pca8,0.884905689596432,0.004676235679936294,0.0014773747948092497
death_30d,late_wsrc,late,0.8822642728205855,0.0026610799449442767,0.0
death_30d,l2,raw74,0.8827044915584187,0.004344940101503705,0.00044021873783317567
death_30d,plain,raw74,0.8497973666513291,0.0064314894603068155,-0.032466906169256404
death_30d,ridge_var,raw74,0.8827044915584187,0.004344940101503705,0.00044021873783317567
death_30d,gb,raw74,0.891577000672495,0.006723859697419591,0.009312727851909508
death_30d,rf,raw74,0.8875429157965525,0.003720391350330277,0.0052786429759670295
death_30d,catboost,raw74,0.8951279510140516,0.006663965125647654,0.012863678193466122
death_30d,l2,pca8,0.8795570381906346,0.0030617736167760146,-0.0027072346299509276
death_30d,plain,pca8,0.8804905673733762,0.0022955150689963236,-0.0017737054472093394
death_30d,ridge_var,pca8,0.8789031253318231,0.0026117655291528733,-0.0033611474887623727
death_30d,gb,pca8,0.864465720454465,0.005810982400290322,-0.01779855236612049
death_30d,rf,pca8,0.8697589636498778,0.0025232288006317464,-0.01250530917070769
death_30d,catboost,pca8,0.8764290517821116,0.005419563531343851,-0.005835221038473892
composite_30d,late_wsrc,late,0.8422654189980063,0.0034966151646154352,0.0
composite_30d,l2,raw74,0.8424509614766222,0.0067792286334784815,0.00018554247861590767
composite_30d,plain,raw74,0.8240478487362533,0.007667225717964285,-0.01821757026175308
composite_30d,ridge_var,raw74,0.8424509614766222,0.0067792286334784815,0.00018554247861590767
composite_30d,gb,raw74,0.853454241430317,0.005182692106186067,0.011188822432310674
composite_30d,rf,raw74,0.8468428837867388,0.0014288004680837738,0.004577464788732444
composite_30d,catboost,raw74,0.8526792719789054,0.006563504847126803,0.01041385298089903
composite_30d,l2,pca8,0.8331275323171908,0.0008311794112833016,-0.009137886680815499
composite_30d,plain,pca8,0.8334606727120715,0.0017303697909677284,-0.008804746285934861
composite_30d,ridge_var,pca8,0.8332941025146312,0.0014379010644645141,-0.008971316483375125
composite_30d,gb,pca8,0.8194292237442923,0.004710375865623404,-0.022836195253714053
composite_30d,rf,pca8,0.8285683966814587,0.001867068495390023,-0.01369702231654768
composite_30d,catboost,pca8,0.8293748794134672,0.005209825506857226,-0.012890539584539118
cv_first,late_wsrc,late,0.8073591549295775,0.011478773699989401,0.0
cv_first,l2,raw74,0.7973813936249072,0.015012036780208541,-0.009977761304670318
cv_first,plain,raw74,0.6870088954781319,0.0482158085379339,-0.12035025945144562
cv_first,ridge_var,raw74,0.7973813936249072,0.015012036780208541,-0.009977761304670318
cv_first,gb,raw74,0.7770014825796887,0.014180438292045279,-0.030357672349888842
cv_first,rf,raw74,0.7978984432913269,0.013862249231846297,-0.009460711638250685
cv_first,catboost,raw74,0.7931449221645664,0.02259032474089814,-0.014214232765011103
cv_first,l2,pca8,0.7502816901408451,0.011006597244714736,-0.057077464788732435
cv_first,plain,pca8,0.7464733135656042,0.0126348346537731,-0.06088584136397335
cv_first,ridge_var,pca8,0.746254633061527,0.010838717261336731,-0.0611045218680506
cv_first,gb,pca8,0.716009080800593,0.021105268278980346,-0.09135007412898455
cv_first,rf,pca8,0.7355893254262418,0.013401353548870334,-0.07176982950333577
cv_first,catboost,pca8,0.7081819866567828,0.010315956526893407,-0.09917716827279477
