outcome,arm,n_train,mean_all,mean_cc,sd,mean_noct,vs_late2,lo,hi,sig,slope_cc,slope_noct,slope_cc_platt,slope_noct_platt,brier_cc,brier_noct
death_30d,ehr_only,3501.0,0.8650778064867953,0.871245034756703,,,,,,,,,,,,
death_30d,late_ehr_ctpa,1636.0,,0.8883573911193077,,,,,,,,,,,,
death_30d,complete,1636.0,0.885747091786069,0.885747091786069,0.008004204826784649,,-0.0026102993332386415,,,,,,,,,
death_30d,ehr_ecg,3501.0,0.8915621997455141,0.8960082990495106,0.002773539472084852,0.8865880574452003,0.007650907930202955,,,,,,,,,
death_30d,nan,3501.0,0.8625163922719363,0.8804449212654276,0.006699406846400384,0.8493444192491811,-0.007912469853880055,,,,,,,,,
death_30d,nan_ind,3501.0,0.862238859747072,0.8800698680663924,0.005640759782748252,0.8487916351725875,-0.008287523052915247,,,,,,,,,
death_30d,masked,3501.0,0.546537578877665,0.891383972903958,0.002064124016249046,0.5,0.0030265817846503174,,,,,,,,,
death_30d,nan_ind_vs_complete,3501.0,-0.016752268575661824,,,,,-0.031031842695296987,-0.002434919214257459,1.0,,,,,,
death_30d,calib_nan_ind,,,,,,,,,,1.6410054759259651,1.7910775218988972,0.9096347960540025,1.009994028459587,0.09086624529541229,0.130210934691355
death_30d_inhosp,ehr_only,3501.0,0.8702664458752494,0.8657010527622402,,,,,,,,,,,,
death_30d_inhosp,late_ehr_ctpa,1636.0,,0.872795754815786,,,,,,,,,,,,
death_30d_inhosp,complete,1636.0,0.903666436512308,0.903666436512308,0.0060606075049054915,,0.030870681696522073,,,,,,,,,
death_30d_inhosp,ehr_ecg,3501.0,0.9051009410684715,0.9130086346674527,0.0030451504962744364,0.8950216402338768,0.04021287985166677,,,,,,,,,
death_30d_inhosp,nan,3501.0,0.8877727031817801,0.8986462268908214,0.004193299916810942,0.8763218238256394,0.025850472075035436,,,,,,,,,
death_30d_inhosp,nan_ind,3501.0,0.887693076261795,0.8985205470950124,0.004775169708207566,0.8763520537945985,0.025724792279226416,,,,,,,,,
death_30d_inhosp,masked,3501.0,0.5301676983509113,0.90590617460182,0.0010402193348628523,0.5,0.03311041978603402,,,,,,,,,
death_30d_inhosp,nan_ind_vs_complete,3501.0,0.010528195009197463,,,,,-0.012366070397431752,0.03006332591131655,0.0,,,,,,
death_30d_inhosp,calib_nan_ind,,,,,,,,,,2.1740719599581038,1.7502801726980557,1.1725124685009989,0.9490346689331677,0.05779571464246288,0.09300700136379636
composite_30d,ehr_only,3501.0,0.835164787559149,0.838558534172459,,,,,,,,,,,,
composite_30d,late_ehr_ctpa,1636.0,,0.8499950052042549,,,,,,,,,,,,
composite_30d,complete,1636.0,0.8461548128885065,0.8461548128885065,0.005046539170097581,,-0.003840192315748392,,,,,,,,,
composite_30d,ehr_ecg,3501.0,0.8442926828060735,0.8542447707710998,0.0016916878974241336,0.8346283542536141,0.004249765566844976,,,,,,,,,
composite_30d,nan,3501.0,0.82333488876979,0.8442532458116221,0.0042345120990634946,0.8050411000206295,-0.005741759392632773,,,,,,,,,
composite_30d,nan_ind,3501.0,0.8239647786473643,0.8447507919168092,0.004155227899833438,0.8056730723455576,-0.00524421328744562,,,,,,,,,
composite_30d,masked,3501.0,0.5357693036059308,0.8448842012999359,0.0013293145221212061,0.5,-0.00511080390431895,,,,,,,,,
composite_30d,nan_ind_vs_complete,3501.0,-0.0022110660929750186,,,,,-0.015087970185205909,0.011023869790782705,0.0,,,,,,
composite_30d,calib_nan_ind,,,,,,,,,,1.6374445103982844,1.4878760727101659,1.070248098701749,0.9623690128849511,0.11594804134613186,0.15532345099927564
cv_first,ehr_only,3126.0,0.8166105084158649,0.8185751959291313,,,,,,,,,,,,
cv_first,late_ehr_ctpa,1493.0,,0.8207480592801694,,,,,,,,,,,,
cv_first,complete,1493.0,0.7854148868996769,0.7854148868996769,0.009935124002655019,,-0.035333172380492495,,,,,,,,,
cv_first,ehr_ecg,3126.0,0.7864946623419564,0.7887698250566431,0.005180001509604157,0.7843404359141184,-0.0319782342235263,,,,,,,,,
cv_first,nan,3126.0,0.7890007242839824,0.7943115551758718,0.004679053557456772,0.7887185534591195,-0.026436504104297542,,,,,,,,,
cv_first,nan_ind,3126.0,0.7891597518540096,0.7959885599673142,0.006299715687781359,0.7873874972890913,-0.02475949931285515,,,,,,,,,
cv_first,masked,3126.0,0.553543874289493,0.7923801210860603,0.0033907128143190737,0.5,-0.0283679381941091,,,,,,,,,
cv_first,nan_ind_vs_complete,3126.0,-0.010695160491429666,,,,,-0.04286284570033862,0.0183061491642041,0.0,,,,,,
cv_first,calib_nan_ind,,,,,,,,,,1.0529262897683815,1.0543654548056742,0.96252661240646,1.002699983117576,0.07607310326219231,0.1049847371201346
