outcome,modality,feature,importance
death_30d,ehr,cancer,0.3502515683935589
death_30d,ehr,rr,0.11804406254171781
death_30d,ehr,age,0.09980981054320509
death_30d,ehr,rbc,0.06318231899852242
death_30d,ehr,bun,0.046162199928347414
death_30d,ehr,wbc,0.041519016343068295
death_30d,ehr,glucose,0.03798217856371629
death_30d,ehr,rdw,0.01804216771857201
death_30d,ecg,scp_BIGU,0.24028616326010033
death_30d,ecg,scp_ALMI,0.14856026913060308
death_30d,ecg,scp_ILMI,0.10903409381836676
death_30d,ecg,scp_PVC,0.054631245698510786
death_30d,ecg,st_i_mean,0.040564362702678505
death_30d,ecg,scp_LVOLT,0.03789823546300578
death_30d,ecg,scp_NST_,0.025344293504001594
death_30d,ecg,bicarb,0.014982452664147668
death_30d,ctpa,malignancy,0.20065698822964406
death_30d,ctpa,effusion,0.1459000029213313
death_30d,ctpa,lobar,0.12958399105799648
death_30d,ctpa,pe_pos,0.07053840889472829
death_30d,ctpa,subseg,0.047000559083284564
death_30d,ctpa,txt_len,0.04120242928843946
death_30d,ctpa,segmental,0.027558562377879153
death_30d,ctpa,wbc,0.02424423880495588
composite_30d,ehr,age,0.2060648560751773
composite_30d,ehr,cancer,0.13839716875591154
composite_30d,ehr,rbc,0.09781997212038407
composite_30d,ehr,hgb,0.08171067829320372
composite_30d,ehr,rr,0.07509032064425931
composite_30d,ehr,hct,0.038756404605202494
composite_30d,ehr,wbc,0.023072540581353062
composite_30d,ehr,rdw,0.02201743373481231
composite_30d,ecg,scp_BIGU,0.2820187988795395
composite_30d,ecg,scp_ALMI,0.110355284783953
composite_30d,ecg,scp_PVC,0.07919816413519876
composite_30d,ecg,scp_ILMI,0.07013038077896216
composite_30d,ecg,scp_PACE,0.03823202340202463
composite_30d,ecg,bicarb,0.020271160667066763
composite_30d,ecg,scp_LVOLT,0.018189966640806222
composite_30d,ecg,scp_LMI,0.01705405183683365
composite_30d,ctpa,effusion,0.1942431396896919
composite_30d,ctpa,lobar,0.14771205602138351
composite_30d,ctpa,malignancy,0.09547817796131904
composite_30d,ctpa,txt_len,0.08691828234053245
composite_30d,ctpa,subseg,0.055790861784411436
composite_30d,ctpa,pe_pos,0.0540541216268708
composite_30d,ctpa,bicarb,0.0354440540046568
composite_30d,ctpa,cm_mets,0.026168222037885335
