outcome,kind,name,mean,sd,vs_base
death_30d,modality,ehr,0.861274648886367,,
death_30d,modality,ecg,0.7273904099872323,,
death_30d,modality,ctpa,0.7937251737835155,,
death_30d,oracle,oracle,0.9903842743651582,,0.10188427436515823
death_30d,method,late,0.8901023194779402,0.005383956960195068,0.0016023194779402061
death_30d,method,block,0.8884797489005534,0.006561900351700773,-2.025109944658876e-05
death_30d,method,comp_pool,0.8912372322315223,0.004619800129869248,0.002737232231522335
death_30d,method,ctw_rf,0.8909676904525465,0.004631484297578025,0.002467690452546578
death_30d,method,ctw_gp,0.8909472974890056,0.004836757589187451,0.0024472974890056287
death_30d,method,ctw_holo,0.8911148744502766,0.0039596109357146435,0.0026148744502766386
death_30d,method,region_rf,0.8599131969073628,0.006811479164049072,-0.02858680309263717
death_30d,method,comp_feat,0.8889780465314228,0.005669728423038523,0.0004780465314228044
composite_30d,modality,ehr,0.8358645669189843,,
composite_30d,modality,ecg,0.7311220889202541,,
composite_30d,modality,ctpa,0.7373156356441513,,
composite_30d,oracle,oracle,0.9814290271749113,,0.1307290271749113
composite_30d,method,late,0.8551593017597794,0.00490760731480918,0.004459301759779377
composite_30d,method,block,0.8506630188545483,0.004336937720145982,-3.698114545169773e-05
composite_30d,method,comp_pool,0.8524659789960782,0.0019712728788014544,0.0017659789960782213
composite_30d,method,ctw_rf,0.8531652504003893,0.0017797567884743947,0.0024652504003892517
composite_30d,method,ctw_gp,0.8521778920672975,0.0019231859936885024,0.001477892067297537
composite_30d,method,ctw_holo,0.8519426532999489,0.002147317436064536,0.0012426532999488815
composite_30d,method,region_rf,0.8359631738543388,0.006586802877871975,-0.014736826145661186
composite_30d,method,comp_feat,0.8505093080435546,0.003206348039646704,-0.00019069195644538794
