test,featset,outcome,method,k,nfeat,events,ev_per_feat,has_ecg,mean,sd,vs_ref
sets,ehr,death_30d_inhosp,raw,,28,83,2.9642857142857144,0,0.8717484231840433,0.010458383630637185,
sets,ehr,death_30d_inhosp,late,,28,83,2.9642857142857144,0,0.8717484231840433,0.010458383630637185,
sets,ehr,death_30d_inhosp,pca5,5.0,28,83,2.9642857142857144,0,0.8593868067246448,0.005608348743145183,-0.012361616459398483
sets,ehr,death_30d_inhosp,pca8,8.0,28,83,2.9642857142857144,0,0.8802387916120373,0.005697817798989654,0.008490368427994
sets,ehr,death_30d_inhosp,pca10,10.0,28,83,2.9642857142857144,0,0.8784816018743358,0.00591029079491488,0.006733178690292441
sets,ehr,death_30d_inhosp,pca15,15.0,28,83,2.9642857142857144,0,0.8715614550927471,0.0047314421860497145,-0.0001869680912962579
sets,ehr,death_30d_inhosp,pca20,20.0,28,83,2.9642857142857144,0,0.864477614256123,0.009675531257973186,-0.007270808927920314
best,ehr,death_30d_inhosp,pca_best,8.0,28,83,2.9642857142857144,0,0.8802387916120373,,0.008490368427994
sets,ctpa,death_30d_inhosp,raw,,46,83,1.8043478260869565,0,0.7541959208372446,0.01369288398331296,
sets,ctpa,death_30d_inhosp,late,,46,83,1.8043478260869565,0,0.7541959208372446,0.01369288398331296,
sets,ctpa,death_30d_inhosp,pca5,5.0,46,83,1.8043478260869565,0,0.7976229450965484,0.006665169212408017,0.04342702425930378
sets,ctpa,death_30d_inhosp,pca8,8.0,46,83,1.8043478260869565,0,0.7904778159644372,0.011024407724804485,0.0362818951271926
sets,ctpa,death_30d_inhosp,pca10,10.0,46,83,1.8043478260869565,0,0.7865126959867803,0.010099391702782344,0.03231677514953568
sets,ctpa,death_30d_inhosp,pca15,15.0,46,83,1.8043478260869565,0,0.7780921496675692,0.018001848136585338,0.023896228830324606
sets,ctpa,death_30d_inhosp,pca20,20.0,46,83,1.8043478260869565,0,0.7615280180606521,0.019603954945690397,0.007332097223407441
sets,ctpa,death_30d_inhosp,pca30,30.0,46,83,1.8043478260869565,0,0.729004103988394,0.02088085905728934,-0.025191816848850634
best,ctpa,death_30d_inhosp,pca_best,5.0,46,83,1.8043478260869565,0,0.7976229450965484,,0.04342702425930378
sets,ecg,death_30d_inhosp,raw,,264,83,0.3143939393939394,1,0.7126075454425559,0.009558763776497222,
sets,ecg,death_30d_inhosp,late,,264,83,0.3143939393939394,1,0.7126075454425559,0.009558763776497222,
sets,ecg,death_30d_inhosp,pca5,5.0,264,83,0.3143939393939394,1,0.7053142382795833,0.010144521718886797,-0.0072933071629726065
sets,ecg,death_30d_inhosp,pca8,8.0,264,83,0.3143939393939394,1,0.7049325440849037,0.010430255720602591,-0.0076750013576522
sets,ecg,death_30d_inhosp,pca10,10.0,264,83,0.3143939393939394,1,0.7003646265680882,0.012648078848098137,-0.012242918874467712
sets,ecg,death_30d_inhosp,pca15,15.0,264,83,0.3143939393939394,1,0.7000256014398871,0.010726954932136637,-0.012581944002668766
sets,ecg,death_30d_inhosp,pca20,20.0,264,83,0.3143939393939394,1,0.7152607855763039,0.006284600823922976,0.002653240133748014
sets,ecg,death_30d_inhosp,pca30,30.0,264,83,0.3143939393939394,1,0.7091311802263788,0.007006947729880287,-0.003476365216177113
best,ecg,death_30d_inhosp,pca_best,20.0,264,83,0.3143939393939394,1,0.7152607855763039,,0.002653240133748014
sets,ehr+ctpa,death_30d_inhosp,raw,,74,83,1.1216216216216217,0,0.8778757011303423,0.010621084718182171,
sets,ehr+ctpa,death_30d_inhosp,late,,74,83,1.1216216216216217,0,0.8781802031047563,0.009452499951048769,
sets,ehr+ctpa,death_30d_inhosp,pca5,5.0,74,83,1.1216216216216217,0,0.8864669237154672,0.005452535438367732,0.008286720610710896
sets,ehr+ctpa,death_30d_inhosp,pca8,8.0,74,83,1.1216216216216217,0,0.8993917718523807,0.005329022179697731,0.02121156874762442
sets,ehr+ctpa,death_30d_inhosp,pca10,10.0,74,83,1.1216216216216217,0,0.89924902442998,0.003524172381031634,0.021068821325223697
sets,ehr+ctpa,death_30d_inhosp,pca15,15.0,74,83,1.1216216216216217,0,0.8920534682193034,0.005207768853927786,0.013873265114547118
sets,ehr+ctpa,death_30d_inhosp,pca20,20.0,74,83,1.1216216216216217,0,0.885449072529655,0.008864195090625113,0.007268869424898683
sets,ehr+ctpa,death_30d_inhosp,pca30,30.0,74,83,1.1216216216216217,0,0.8763613371709633,0.01099036406114492,-0.0018188659337929902
best,ehr+ctpa,death_30d_inhosp,pca_best,8.0,74,83,1.1216216216216217,0,0.8993917718523807,,0.02121156874762442
sets,ehr+ecg,death_30d_inhosp,raw,,292,83,0.2842465753424658,1,0.8455884064267372,0.011868882515278208,
sets,ehr+ecg,death_30d_inhosp,late,,292,83,0.2842465753424658,1,0.8732655024476529,0.009656368701753477,
sets,ehr+ecg,death_30d_inhosp,pca5,5.0,292,83,0.2842465753424658,1,0.7267426434650385,0.009065063818032933,-0.1465228589826144
sets,ehr+ecg,death_30d_inhosp,pca8,8.0,292,83,0.2842465753424658,1,0.7319195649306822,0.009323400664160788,-0.14134593751697067
sets,ehr+ecg,death_30d_inhosp,pca10,10.0,292,83,0.2842465753424658,1,0.7406853427877639,0.011491265109403695,-0.132580159659889
sets,ehr+ecg,death_30d_inhosp,pca15,15.0,292,83,0.2842465753424658,1,0.8073553712596684,0.007893928030814247,-0.0659101311879845
sets,ehr+ecg,death_30d_inhosp,pca20,20.0,292,83,0.2842465753424658,1,0.8127495170637475,0.009362898343859028,-0.060515985383905346
sets,ehr+ecg,death_30d_inhosp,pca30,30.0,292,83,0.2842465753424658,1,0.8124508335983988,0.00971918123847392,-0.06081466884925413
best,ehr+ecg,death_30d_inhosp,pca_best,20.0,292,83,0.2842465753424658,1,0.8127495170637475,,-0.060515985383905346
sets,ecg+ctpa,death_30d_inhosp,raw,,310,83,0.267741935483871,1,0.7730122033530128,0.00910350939926344,
sets,ecg+ctpa,death_30d_inhosp,late,,310,83,0.267741935483871,1,0.7834925018813179,0.006798943646376552,
sets,ecg+ctpa,death_30d_inhosp,pca5,5.0,310,83,0.267741935483871,1,0.7114120357799517,0.009659244693036318,-0.0720804661013662
sets,ecg+ctpa,death_30d_inhosp,pca8,8.0,310,83,0.267741935483871,1,0.7132080155780882,0.010275845389210236,-0.0702844863032297
sets,ecg+ctpa,death_30d_inhosp,pca10,10.0,310,83,0.267741935483871,1,0.7077324106470957,0.01082578320275356,-0.07576009123422223
sets,ecg+ctpa,death_30d_inhosp,pca15,15.0,310,83,0.267741935483871,1,0.7191956493068217,0.009644650462801867,-0.06429685257449624
