outcome,test,kind,mtry,k,leaf,ntree,maxs,mean,sd,vs_late,lo,hi,brier,slope,brier_platt,slope_platt
death_30d_inhosp,ref,late,,,,,,0.8717819865580575,0.006137592710702065,0.0,,,,,,
death_30d_inhosp,mtry_k,rf,1.0,1.0,5.0,500.0,,0.9061386935918481,0.003450996946900338,0.03435670703379057,,,,,,
death_30d_inhosp,mtry_k,rf,1.0,2.0,5.0,500.0,,0.9109610679220739,0.0031198572007815847,0.03917908136401638,,,,,,
death_30d_inhosp,mtry_k,rf,1.0,3.0,5.0,500.0,,0.9099838944466813,0.003978930360389482,0.038201907888623765,,,,,,
death_30d_inhosp,mtry_k,rf,1.0,5.0,5.0,500.0,,0.9089463251463437,0.006035149954657535,0.03716433858828616,,,,,,
death_30d_inhosp,mtry_k,rf,1.0,10.0,5.0,500.0,,0.9104670610462415,0.004443875840303044,0.038685074488184035,,,,,,
death_30d_inhosp,mtry_k,rf,2.0,1.0,5.0,500.0,,0.913451234242884,0.0043862493452670945,0.041669247684826494,,,,,,
death_30d_inhosp,mtry_k,rf,2.0,2.0,5.0,500.0,,0.9128039148883451,0.0058723868332106605,0.041021928330287616,,,,,,
death_30d_inhosp,mtry_k,rf,2.0,3.0,5.0,500.0,,0.9153142131508037,0.0049195519642602666,0.04353222659274625,,,,,,
death_30d_inhosp,mtry_k,rf,2.0,5.0,5.0,500.0,,0.9128488246043298,0.004164887447109609,0.041066838046272314,,,,,,
death_30d_inhosp,mtry_k,rf,2.0,10.0,5.0,500.0,,0.9108851859881686,0.0035406212009172597,0.03910319943011109,,,,,,
death_30d_inhosp,mtry_k,rf,3.0,1.0,5.0,500.0,,0.9148836993217084,0.0032059639967998007,0.043101712763650935,,,,,,
death_30d_inhosp,mtry_k,rf,3.0,2.0,5.0,500.0,,0.9137237897605847,0.004686715514267207,0.04194180320252716,,,,,,
death_30d_inhosp,mtry_k,rf,3.0,3.0,5.0,500.0,,0.9177068169851644,0.0048492203946989155,0.04592483042710693,,,,,,
