outcome,test,mtry,k,leaf,depth,prod,mean,sd,vs_late,lo,hi,brier,slope,intercept
death_30d_inhosp,ref,,,,,0,0.8717819865580575,0.006137592710702065,0.0,,,,,
death_30d_inhosp,untuned,,10.0,10.0,6.0,0,0.9095193111778734,0.006573380353966303,0.03773732461981594,,,,,
death_30d_inhosp,mtry_k,0.1,5.0,10.0,6.0,0,0.9105599777000031,0.006341753065487067,0.03877799114194558,,,,,
death_30d_inhosp,mtry_k,0.1,10.0,10.0,6.0,0,0.9095193111778734,0.006573380353966303,0.03773732461981594,,,,,
death_30d_inhosp,mtry_k,0.1,20.0,10.0,6.0,0,0.9076485892154738,0.008033996466325468,0.03586660265741626,,,,,
death_30d_inhosp,mtry_k,0.1,30.0,10.0,6.0,0,0.907608325332177,0.004847323413523066,0.03582633877411945,,,,,
death_30d_inhosp,mtry_k,0.25,5.0,10.0,6.0,0,0.9052854089881377,0.007525590527272734,0.0335034224300802,,,,,
death_30d_inhosp,mtry_k,0.25,10.0,10.0,6.0,0,0.9038297147458729,0.007349674927380517,0.03204772818781543,,,,,
death_30d_inhosp,mtry_k,0.25,20.0,10.0,6.0,0,0.9029934648620188,0.007542226739529975,0.031211478303961315,,,,,
death_30d_inhosp,mtry_k,0.25,30.0,10.0,6.0,0,0.901941958063617,0.005164150063821383,0.03015997150555949,,,,,
death_30d_inhosp,mtry_k,0.4,5.0,10.0,6.0,0,0.9016926317093568,0.0074064196187743495,0.029910645151299264,,,,,
death_30d_inhosp,mtry_k,0.4,10.0,10.0,6.0,0,0.9021866385851892,0.007174475033128732,0.030404652027131718,,,,,
death_30d_inhosp,mtry_k,0.4,20.0,10.0,6.0,0,0.8991343265091214,0.007006907295810225,0.027352339951063898,,,,,
death_30d_inhosp,mtry_k,0.4,30.0,10.0,6.0,0,0.8982299377458419,0.005821334234560972,0.026447951187784424,,,,,
death_30d_inhosp,mtry_k,0.6,5.0,10.0,6.0,0,0.9011707498373959,0.005399565064359936,0.02938876327933837,,,,,
death_30d_inhosp,mtry_k,0.6,10.0,10.0,6.0,0,0.899526125065816,0.00670196143237182,0.027744138507758476,,,,,
death_30d_inhosp,mtry_k,0.6,20.0,10.0,6.0,0,0.8971598476166877,0.008154132330379071,0.025377861058630158,,,,,
death_30d_inhosp,mtry_k,0.6,30.0,10.0,6.0,0,0.8958868894601544,0.007873043595793997,0.02410490290209688,,,,,
death_30d_inhosp,mtry_k,1.0,5.0,10.0,6.0,0,0.8957149936506953,0.00604806758748705,0.023933007092637792,,,,,
death_30d_inhosp,mtry_k,1.0,10.0,10.0,6.0,0,0.896230681079072,0.0062502029769909455,0.024448694521014502,,,,,
death_30d_inhosp,mtry_k,1.0,20.0,10.0,6.0,0,0.8910072165267755,0.006914379434537601,0.019225229968718005,,,,,
death_30d_inhosp,mtry_k,1.0,30.0,10.0,6.0,0,0.8899619041719579,0.0055720178902693394,0.018179917613900365,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,5.0,4.0,0,0.9072459503825069,0.00511462597511766,0.035463963824449385,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,5.0,6.0,0,0.9116966580976864,0.005491631132134781,0.03991467153962891,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,5.0,8.0,0,0.9131585467835353,0.005501557633216526,0.041376560225477754,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,5.0,12.0,0,0.9140908105429428,0.00575099180194651,0.042308823984885335,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,5.0,-1.0,0,0.9138507758540589,0.00548067704924051,0.04206878929600144,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,10.0,4.0,0,0.9079676030600551,0.005801670296050745,0.036185616501997586,,,,,
