outcome,test,subset,k,leaf,depth,mean,sd,vs_late,lo,hi,brier,slope,slope_platt
death_30d_inhosp,ref,,,,,0.8661109734568092,,0.0,,,,,
death_30d_inhosp,subset_k,2.0,1.0,5.0,12.0,0.8984750054201381,0.004820883953562987,0.03236403196332893,,,,,
death_30d_inhosp,subset_k,2.0,2.0,5.0,12.0,0.9008192151639979,0.0011388345966394967,0.03470824170718867,,,,,
death_30d_inhosp,subset_k,2.0,3.0,5.0,12.0,0.8958152662062131,0.0068631209946522255,0.029704292749403893,,,,,
death_30d_inhosp,subset_k,2.0,5.0,5.0,12.0,0.8910823241552327,0.012412202070104825,0.02497135069842349,,,,,
death_30d_inhosp,subset_k,2.0,10.0,5.0,12.0,0.8926773933781398,0.010567071016895595,0.026566419921330575,,,,,
death_30d_inhosp,subset_k,2.0,15.0,5.0,12.0,0.8946983305974541,0.003285099797998669,0.028587357140644865,,,,,
death_30d_inhosp,subset_k,2.0,20.0,5.0,12.0,0.8969805959054727,0.005297223424272741,0.030869622448663536,,,,,
death_30d_inhosp,subset_k,4.0,1.0,5.0,12.0,0.8927257874686407,0.009529526997361065,0.026614814011831522,,,,,
death_30d_inhosp,subset_k,4.0,2.0,5.0,12.0,0.894816412178276,0.011095424567740472,0.028705438721466803,,,,,
death_30d_inhosp,subset_k,4.0,3.0,5.0,12.0,0.8929716294483848,0.004133750579148322,0.02686065599157561,,,,,
death_30d_inhosp,subset_k,4.0,5.0,5.0,12.0,0.8957978443336327,0.003991396254568326,0.029686870876823535,,,,,
death_30d_inhosp,subset_k,4.0,10.0,5.0,12.0,0.896757983089169,0.0015823230693692758,0.03064700963235978,,,,,
death_30d_inhosp,subset_k,4.0,15.0,5.0,12.0,0.886854616409081,0.0023707470208890664,0.020743642952271824,,,,,
death_30d_inhosp,subset_k,4.0,20.0,5.0,12.0,0.8894369250782048,0.0002080563205398673,0.023325951621395613,,,,,
death_30d_inhosp,subset_k,8.0,1.0,5.0,12.0,0.8971664292129959,0.001218224508424508,0.031055455756186734,,,,,
death_30d_inhosp,subset_k,8.0,2.0,5.0,12.0,0.8895763000588472,0.005803676309797583,0.02346532660203804,,,,,
death_30d_inhosp,subset_k,8.0,3.0,5.0,12.0,0.8906874283767461,0.011503324459325233,0.024576454919936874,,,,,
death_30d_inhosp,subset_k,8.0,5.0,5.0,12.0,0.8899673243100938,0.009762221566385934,0.023856350853284636,,,,,
death_30d_inhosp,subset_k,8.0,10.0,5.0,12.0,0.8928012822498219,0.0040570982505282755,0.026690308793012707,,,,,
death_30d_inhosp,subset_k,8.0,15.0,5.0,12.0,0.9023407253693437,0.0010238561037095454,0.036229751912534525,,,,,
death_30d_inhosp,subset_k,8.0,20.0,5.0,12.0,0.8877450676742962,0.001297614420209441,0.021634094217486965,,,,,
death_30d_inhosp,subset_k,16.0,1.0,5.0,12.0,0.8965256914547651,0.0017575283919293253,0.03041471799795592,,,,,
death_30d_inhosp,subset_k,16.0,2.0,5.0,12.0,0.890449329451482,0.010914744078850413,0.024338355994672822,,,,,
death_30d_inhosp,subset_k,16.0,3.0,5.0,12.0,0.8922553969089726,0.00015330465724001376,0.02614442345216339,,,,,
death_30d_inhosp,subset_k,16.0,5.0,5.0,12.0,0.89150819215164,0.0032029723030486926,0.025397218694830803,,,,,
death_30d_inhosp,subset_k,16.0,10.0,5.0,12.0,0.88855808839471,0.012083692090305,0.022447114937900747,,,,,
death_30d_inhosp,subset_k,16.0,15.0,5.0,12.0,0.891455926533899,0.003430191705743473,0.025344953077089838,,,,,
death_30d_inhosp,subset_k,16.0,20.0,5.0,12.0,0.8903409266887603,0.0004681267212148584,0.024229953231951096,,,,,
death_30d_inhosp,subset_k,32.0,1.0,5.0,12.0,0.8869939913897233,0.003005866315168686,0.02088301793291414,,,,,
death_30d_inhosp,subset_k,32.0,2.0,5.0,12.0,0.888736178647753,0.0017356277266092112,0.022625205190943798,,,,,
death_30d_inhosp,subset_k,32.0,3.0,5.0,12.0,0.892805153777062,0.004489636390598194,0.026694180320252836,,,,,
death_30d_inhosp,subset_k,32.0,5.0,5.0,12.0,0.886914625081302,0.006600313010812269,0.020803651624492825,,,,,
death_30d_inhosp,subset_k,32.0,10.0,5.0,12.0,0.8914617338247591,0.002732107998668869,0.02535076036794992,,,,,
death_30d_inhosp,subset_k,32.0,15.0,5.0,12.0,0.8883141821785858,1.0950332660017807e-05,0.022203208721776613,,,,,
death_30d_inhosp,subset_k,32.0,20.0,5.0,12.0,0.8843923250843992,0.0029784904835186417,0.018281351627590037,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,1.0,6.0,0.8977026357357449,0.008382479651226517,0.03159166227893573,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,1.0,12.0,0.8872611267692879,0.0014782949090995777,0.021150153312478714,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,1.0,-1.0,0.8727700003097222,0.003361752126618558,0.006659026852912975,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,2.0,6.0,0.8987905348902034,0.010807978335415594,0.03267956143339423,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,2.0,12.0,0.8878999287638987,0.0020039108767790194,0.021788955307089464,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,2.0,-1.0,0.8839606497971318,0.0027512710808237036,0.01784967634032264,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,3.0,6.0,0.9013728435593273,0.006400469439767454,0.035261870102518134,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,3.0,12.0,0.8939608046582215,0.0036108721946335313,0.027849831201412267,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,3.0,-1.0,0.8930219593025056,0.00015330465723977825,0.0269109858456964,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,5.0,6.0,0.9032311766345589,0.005798201143467653,0.03712020317774967,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,5.0,12.0,0.9023407253693437,0.0010238561037095454,0.036229751912534525,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,5.0,-1.0,0.9018954997367361,0.0011607352619594539,0.0357845262799269,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,10.0,6.0,0.9005133645120327,0.006564724429667251,0.03440239105522347,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,10.0,12.0,0.8975439031189023,0.007665232861996763,0.0314329296620931,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,10.0,-1.0,0.8975981045002632,0.008223699827656573,0.03148713104345402,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,25.0,6.0,0.9003662464769102,0.004736018875448045,0.03425527302010101,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,25.0,12.0,0.9005094929847927,0.005858427973097593,0.03439851952798345,,,,,
death_30d_inhosp,leaf_depth,8.0,15.0,25.0,-1.0,0.9005094929847927,0.005858427973097593,0.03439851952798345,,,,,
death_30d_inhosp,per_outcome,8.0,15.0,5.0,6.0,0.9046109889429182,0.0024145533176611286,0.03850001548610904,0.9009740762536005,0.9079660544491591,0.04200661070642646,1.5374947149466809,0.9472958130591241
death_30d,ref,,,,,0.883892860935122,,0.0,,,,,
death_30d,subset_k,2.0,1.0,5.0,12.0,0.8907085088309206,0.007179813041195178,0.006815647895798582,,,,,
death_30d,subset_k,2.0,2.0,5.0,12.0,0.8991434537925176,0.005180727841489887,0.015250592857395606,,,,,
death_30d,subset_k,2.0,3.0,5.0,12.0,0.897311789898418,0.005693795091492525,0.013418928963295995,,,,,
death_30d,subset_k,2.0,5.0,5.0,12.0,0.8986014759494567,0.0031691288064186803,0.014708615014334736,,,,,
death_30d,subset_k,2.0,10.0,5.0,12.0,0.8944935051145011,0.0006069210152470871,0.010600644179379115,,,,,
death_30d,subset_k,2.0,15.0,5.0,12.0,0.8970773015255018,0.0073518782774766415,0.01318444059037982,,,,,
death_30d,subset_k,2.0,20.0,5.0,12.0,0.8993624570842034,0.004257832483253537,0.015469596149081388,,,,,
death_30d,subset_k,4.0,1.0,5.0,12.0,0.8897340547906417,0.0011497086242437562,0.005841193855519733,,,,,
death_30d,subset_k,4.0,2.0,5.0,12.0,0.8929803914628536,0.0012513835365918439,0.009087530527731591,,,,,
death_30d,subset_k,4.0,3.0,5.0,12.0,0.8963915336424451,0.003647783009164931,0.012498672707323077,,,,,
death_30d,subset_k,4.0,5.0,5.0,12.0,0.8935688245496054,0.00010011068292740717,0.009675963614483418,,,,,
death_30d,subset_k,4.0,10.0,5.0,12.0,0.9001234382189502,0.00025340516615976146,0.016230577283828262,,,,,
death_30d,subset_k,4.0,15.0,5.0,12.0,0.8930379074788518,0.0038480043750195882,0.009145046543729829,,,,,
death_30d,subset_k,4.0,20.0,5.0,12.0,0.8916022192333558,0.004270346318619374,0.007709358298233826,,,,,
death_30d,subset_k,8.0,1.0,5.0,12.0,0.8892905178211163,0.008002597716504278,0.005397656885994362,,,,,
death_30d,subset_k,8.0,2.0,5.0,12.0,0.887070620819028,0.007306515624275333,0.003177759883906006,,,,,
death_30d,subset_k,8.0,3.0,5.0,12.0,0.892038013662266,0.008115222234797758,0.008145152727144,,,,,
death_30d,subset_k,8.0,5.0,5.0,12.0,0.8884786571337557,0.0015235594558004797,0.004585796198633751,,,,,
death_30d,subset_k,8.0,10.0,5.0,12.0,0.8912018192758291,0.004285988612826887,0.007308958340707106,,,,,
death_30d,subset_k,8.0,15.0,5.0,12.0,0.8930954234948502,0.0012388697012258494,0.009202562559728178,,,,,
death_30d,subset_k,8.0,20.0,5.0,12.0,0.8937966764591371,0.005283966983258734,0.009903815524015092,,,,,
death_30d,subset_k,16.0,1.0,5.0,12.0,0.8843585194492621,0.0030486831410216396,0.0004656585141401548,,,,,
death_30d,subset_k,16.0,2.0,5.0,12.0,0.8839216189431212,0.0016799823978744307,2.8758007999174495e-05,,,,,
