outcome,stage,combo,method,mean,sd,note
death_30d_inhosp,uni,ehr,l2,0.8555070248799448,,
death_30d_inhosp,uni,ecg,l2,0.71299234284207,,
death_30d_inhosp,uni,ctpa,l2,0.7711308854219194,,
death_30d_inhosp,A,ehr+ecg,late,0.8706242872326395,0.011169959561996597,
death_30d_inhosp,A,ehr+ecg,block,0.8967020690618236,0.005174154965492017,
death_30d_inhosp,A,ehr+ecg,rf_raw,0.8592952621820185,0.007431506238438669,
death_30d_inhosp,A,ehr+ecg,rf_pca,0.708760347248621,0.014262546621449887,
death_30d_inhosp,A,ehr+ecg,rf_ccaaug,0.8627080116990822,0.008929915745653414,
death_30d_inhosp,A,ehr+ctpa,late,0.8772441989464621,0.00992881793795784,
death_30d_inhosp,A,ehr+ctpa,block,0.9053103592735396,0.005272014751924742,
death_30d_inhosp,A,ehr+ctpa,rf_raw,0.9015539298210227,0.006704817568044536,
death_30d_inhosp,A,ehr+ctpa,rf_pca,0.879172840751286,0.012863620993936424,
death_30d_inhosp,A,ehr+ctpa,rf_ccaaug,0.909726995554659,0.007349446403198986,
death_30d_inhosp,A,ecg+ctpa,late,0.7897283919968346,0.011559204550960385,
death_30d_inhosp,A,ecg+ctpa,block,0.7856352648197426,0.00838307969815529,
death_30d_inhosp,A,ecg+ctpa,rf_raw,0.7392749361903505,0.008531401182777445,
death_30d_inhosp,A,ecg+ctpa,rf_pca,0.6899231181002181,0.017330369185909977,
death_30d_inhosp,A,ecg+ctpa,rf_ccaaug,0.7516900829331492,0.004472217584630626,
death_30d_inhosp,A,ehr+ecg+ctpa,late,0.8794249761441127,0.009586983251338516,
death_30d_inhosp,A,ehr+ecg+ctpa,block,0.9060287511927942,0.0055618897898588055,
death_30d_inhosp,A,ehr+ecg+ctpa,rf_raw,0.8597599671060288,0.006636627704075095,
death_30d_inhosp,A,ehr+ecg+ctpa,rf_pca,0.7203686607343733,0.018283890251986828,
death_30d_inhosp,A,ehr+ecg+ctpa,rf_ccaaug,0.8842489080597987,0.004906292216784697,
death_30d_inhosp,B,models,mean,0.9009573386915337,,
death_30d_inhosp,B,models,grid,0.9033002583418026,,
death_30d_inhosp,C,des,ola_ehr,0.9011241359514038,,
death_30d_inhosp,C,des,lca_ehr,0.9013568763140133,,
death_30d_inhosp,C,des,ola_full,0.9010620718547079,,
death_30d_inhosp,C,des,lca_full,0.9011862000480996,,
death_30d_inhosp,C,des,auto_strat,0.9033002583418026,,cancer
death_30d_inhosp,C,des,des_meta,0.9017913249908842,,
death_30d,uni,ehr,l2,0.861274648886367,,
death_30d,uni,ecg,l2,0.7273904099872323,,
death_30d,uni,ctpa,l2,0.7937251737835155,,
death_30d,A,ehr+ecg,late,0.8672688501915167,0.0049561525954105075,
death_30d,A,ehr+ecg,block,0.8730759682224429,0.0061968820934983244,
death_30d,A,ehr+ecg,rf_raw,0.8363841502340756,0.005088254599121544,
death_30d,A,ehr+ecg,rf_pca,0.700156493828912,0.003577146651555445,
death_30d,A,ehr+ecg,rf_ccaaug,0.8421970314938289,0.004665702707324432,
death_30d,A,ehr+ctpa,late,0.8817048517520216,0.005976283007100958,
death_30d,A,ehr+ctpa,block,0.8891828628174208,0.005946587425560744,
death_30d,A,ehr+ctpa,rf_raw,0.8905873173499786,0.005043231020262721,
death_30d,A,ehr+ctpa,rf_pca,0.8686196623634558,0.004104314398179415,
death_30d,A,ehr+ctpa,rf_ccaaug,0.8973369449567314,0.0043231354285455876,
death_30d,A,ecg+ctpa,late,0.8171349659526174,0.005751356794643672,
death_30d,A,ecg+ctpa,block,0.8041991771882536,0.007405404100501196,
death_30d,A,ecg+ctpa,rf_raw,0.7381343984962406,0.0033222772122260638,
