outcome,feature,importance
death_30d_inhosp,cancer,0.10440473308854031
death_30d_inhosp,wbc,0.04383843273938032
death_30d_inhosp,age,0.04129845844813214
death_30d_inhosp,scp_AFLT,0.03685774570054081
death_30d_inhosp,heart_failure,0.031213099277528276
death_30d_inhosp,scp_SVTAC,0.027487765384609855
death_30d_inhosp,scp_AFIB,0.025569365787838864
death_30d_inhosp,hgb,0.019351719348210627
death_30d_inhosp,bun,0.01815685769984365
death_30d_inhosp,dbp,0.017715037249657124
death_30d,wbc,0.09298888082679257
death_30d,cancer,0.0862396456305336
death_30d,scp_ILBBB,0.06126986494942263
death_30d,cm_mets,0.022977641063358728
death_30d,rbc,0.021175910477464907
death_30d,bun,0.020823012994855086
death_30d,age,0.015265704813132042
death_30d,rr,0.012573154836618259
death_30d,scp_AFLT,0.01246910894415492
death_30d,scp_BIGU,0.011786175674337644
composite_30d,cancer,0.11795798965720969
composite_30d,wbc,0.033199504618417565
composite_30d,scp_ILBBB,0.018943229142510867
composite_30d,rr,0.018553702875418337
composite_30d,scp_PVC,0.018241611927177104
composite_30d,scp_PRC(S),0.016700597520542888
composite_30d,scp_TRIGU,0.016343186381957458
composite_30d,rbc,0.016094560865484494
composite_30d,scp_BIGU,0.015212639743738692
composite_30d,scp_DIG,0.013535534670890591
cv_first,age,0.08417493349811245
cv_first,chloride,0.030646200407107957
cv_first,scp_ISCAN,0.028977891342207705
cv_first,cancer,0.026777301020699626
cv_first,scp_DIG,0.025287136160199283
cv_first,afib,0.024487398427068187
cv_first,hgb,0.0212981156996211
cv_first,scp_PVC,0.019390982889391756
cv_first,scp_ILMI,0.017882093280038508
cv_first,scp_ILBBB,0.01757525558344843
