direction,outcome,scaler,arch,n,ev,auc,cross,gain,lo,hi
I2M,death_30d,std,ehr_only,1649,152,0.8459946208205885,True,,,
I2M,death_30d,std,early,1649,152,0.8326829096790072,True,-0.013199560631523593,-0.03755231103280897,0.010075568610994625
I2M,death_30d,std,late_mean,1649,152,0.8367216889920192,True,-0.00929071123718041,-0.03443627206330794,0.015289523395936607
I2M,death_30d,std,late_wsrc,1649,152,0.8479305101430932,True,0.001940988126577256,-0.017855282006740626,0.02155790843935913
I2M,death_30d,blockstd,ehr_only,1649,152,0.8588932250465844,True,0.012483097037909709,0.0020849332378951235,0.02420431301257825
I2M,death_30d,blockstd,early,1649,152,0.8658193580142742,True,0.019719617153929295,-0.0005957684950799039,0.039648843811972
I2M,death_30d,blockstd,late_mean,1649,152,0.8508727982280351,True,0.00473987756465677,-0.021602107909445882,0.030705017984520556
I2M,death_30d,blockstd,late_wsrc,1649,152,0.8613433006363606,True,0.01518096012207323,-0.0072702854363251275,0.037017803983461196
I2M,death_30d,robust,ehr_only,1649,152,0.8475415743768238,True,0.0014386313800094559,-0.0013556150136084105,0.004454187853068064
I2M,death_30d,robust,early,1649,152,0.8526526737685898,True,0.006822083784764845,-0.009016359936139723,0.023034200014504423
I2M,death_30d,robust,late_mean,1649,152,0.8445333649755652,True,-0.001377771205323759,-0.02560164989269285,0.022859873671499817
I2M,death_30d,robust,late_wsrc,1649,152,0.8539776922265584,True,0.008047186540030251,-0.010629946870603759,0.026740469089740742
I2M,death_30d,quantile,ehr_only,1649,152,0.867208100411349,True,0.020974585118335786,0.005477749467188564,0.03809245421862227
I2M,death_30d,quantile,early,1649,152,0.8719895932215308,True,0.02591922463058099,0.005493929964981603,0.04570028090384765
I2M,death_30d,quantile,late_mean,1649,152,0.8570628098301867,True,0.010999563993452139,-0.014340967882175107,0.03589124960825788
I2M,death_30d,quantile,late_wsrc,1649,152,0.8723257919347467,True,0.026222238233873343,0.006437387260177788,0.045954914343106806
I2M,death_30d,tgtfit,ehr_only,1649,152,0.8454628555356327,True,-0.0005353503729829652,-0.0011543306045678548,-4.943214305375143e-06
I2M,death_30d,tgtfit,early,1649,152,0.8322961712899484,True,-0.013579856570824026,-0.03765493646319704,0.009224152295415991
I2M,death_30d,tgtfit,late_mean,1649,152,0.8371325985303941,True,-0.008871800234187058,-0.03391279388523414,0.015615603437296247
I2M,death_30d,tgtfit,late_wsrc,1649,152,0.8480645501529374,True,0.002086174977441356,-0.01754320910890517,0.021620559795582372
I2M,death_30d,coral,ehr_only,1649,152,0.8326345673803749,True,-0.013136526856449017,-0.021738140584507883,-0.004961533651274105
I2M,death_30d,coral,early,1649,152,0.829320922546848,True,-0.01633424301123899,-0.03931673821400841,0.007655016995392463
I2M,death_30d,coral,late_mean,1649,152,0.8332871884119115,True,-0.012543689383017753,-0.0387899761413778,0.012734257683216168
I2M,death_30d,coral,late_wsrc,1649,152,0.8423667510459516,True,-0.00343351829382307,-0.024147952427277384,0.0178353815006689
I2M,composite_30d,std,ehr_only,1649,219,0.8183191237985759,True,,,
I2M,composite_30d,std,early,1649,219,0.8214260625219529,True,0.002880741534308971,-0.009484080898009017,0.015147808907594337
I2M,composite_30d,std,late_mean,1649,219,0.817800236293387,True,-0.0008074068214196117,-0.018910610322813656,0.01827802149097002
I2M,composite_30d,std,late_wsrc,1649,219,0.8321247245904779,True,0.01360813710288236,0.0030596400589949584,0.024228213283580022
I2M,composite_30d,blockstd,ehr_only,1649,219,0.8236868154676373,True,0.005239187631892621,-0.00027150504553285213,0.011155807191717805
I2M,composite_30d,blockstd,early,1649,219,0.8338218858766804,True,0.015291271382559157,0.00500921216395594,0.026108718891113478
I2M,composite_30d,blockstd,late_mean,1649,219,0.8164639013954083,True,-0.0019928411582862526,-0.021611555174278353,0.01817994688923543
I2M,composite_30d,blockstd,late_wsrc,1649,219,0.8330555289459398,True,0.014573744410500312,0.0029937144698012896,0.027027440958627434
I2M,composite_30d,robust,ehr_only,1649,219,0.8189481751125586,True,0.0005977648588094602,-0.000991454941277786,0.0021705237122298547
I2M,composite_30d,robust,early,1649,219,0.8266915732669157,True,0.008274788779964536,-0.002037359715123796,0.01923428405866039
I2M,composite_30d,robust,late_mean,1649,219,0.8168838011303765,True,-0.001492095274484371,-0.019922615834344452,0.01968917221930103
I2M,composite_30d,robust,late_wsrc,1649,219,0.8318708688571702,True,0.013483116799652521,0.003231648458795014,0.02528584241214675
I2M,composite_30d,quantile,ehr_only,1649,219,0.8310853530031612,True,0.012694042351998456,0.003395057256710621,0.021670916036668115
I2M,composite_30d,quantile,early,1649,219,0.8403007950953157,True,0.021757147281801968,0.01017492628837014,0.0337633876106441
I2M,composite_30d,quantile,late_mean,1649,219,0.8237091675447841,True,0.005311871329433352,-0.014343409620689489,0.025490804311334807
I2M,composite_30d,quantile,late_wsrc,1649,219,0.8418207363412844,True,0.023377643474222255,0.012150695176835393,0.03545047345689386
I2M,composite_30d,tgtfit,ehr_only,1649,219,0.81817862502794,True,-0.0001446012550562099,-0.0006593215694038673,0.0003128728611686087
I2M,composite_30d,tgtfit,early,1649,219,0.8210428840565827,True,0.00249725697705198,-0.010116932833205047,0.014742957035276116
I2M,composite_30d,tgtfit,late_mean,1649,219,0.8172973145575885,True,-0.0013151659703161884,-0.019325235440223954,0.017882366454531836
I2M,composite_30d,tgtfit,late_wsrc,1649,219,0.8318676757032921,True,0.013361215323937048,0.002887091691059762,0.02407502633755176
I2M,composite_30d,coral,ehr_only,1649,219,0.8042500878117316,True,-0.013887105218213533,-0.02135726318604751,-0.006702225592211103
I2M,composite_30d,coral,early,1649,219,0.8119775201966983,True,-0.006351597663667819,-0.02114817528808356,0.008361327924099035
I2M,composite_30d,coral,late_mean,1649,219,0.8077513810390523,True,-0.010656576502700741,-0.03119279841916112,0.010618744472358761
I2M,composite_30d,coral,late_wsrc,1649,219,0.8204601334738321,True,0.002146132272357398,-0.010790887347281787,0.015325001869548298
I2M,cv_first,std,ehr_only,1506,76,0.8003496503496503,True,,,
I2M,cv_first,std,early,1506,76,0.8053551711446448,True,0.004972763195689138,-0.010971355634428578,0.0229258077324449
I2M,cv_first,std,late_mean,1506,76,0.7574162679425838,True,-0.042967566805977825,-0.08218962878354075,-0.002297060131780967
I2M,cv_first,std,late_wsrc,1506,76,0.8006394920868606,True,0.00026356189266555784,-0.009401716513146372,0.010562262851052093
I2M,cv_first,blockstd,ehr_only,1506,76,0.806302907618697,True,0.006035753017375013,-0.007704100600901783,0.019708219563017226
I2M,cv_first,blockstd,early,1506,76,0.8098546190651453,True,0.009460596533393059,-0.005581619116580491,0.024900062291839213
I2M,cv_first,blockstd,late_mean,1506,76,0.7674871181450129,True,-0.03317276152095876,-0.06964953973721832,0.006388973983416044
I2M,cv_first,blockstd,late_wsrc,1506,76,0.8076509017298492,True,0.007280858260805269,-0.009001951942678327,0.022191684749225643
I2M,cv_first,robust,ehr_only,1506,76,0.8006900993743099,True,0.00027693452434402556,-0.003375887044251594,0.003788479351169965
I2M,cv_first,robust,early,1506,76,0.8048122929701877,True,0.004248697234407095,-0.009036084620331855,0.01887215630090662
I2M,cv_first,robust,late_mean,1506,76,0.7660379094589621,True,-0.03481504826090071,-0.07058160967066669,0.0054315654572714926
I2M,cv_first,robust,late_wsrc,1506,76,0.8033032756716968,True,0.002779258220147765,-0.0073873655574670325,0.012986993048197313
I2M,cv_first,quantile,ehr_only,1506,76,0.8084284136915715,True,0.008183753160466122,-0.0020331464932627384,0.018632585634046316
I2M,cv_first,quantile,early,1506,76,0.8154858299595141,True,0.015014199138888898,0.001775242232422306,0.03049951972265567
I2M,cv_first,quantile,late_mean,1506,76,0.7701739050423261,True,-0.030566940573915877,-0.06796743350768981,0.010846650206090628
I2M,cv_first,quantile,late_wsrc,1506,76,0.8100524475524474,True,0.009657027467335695,-0.0030490047271253314,0.022155651286523116
I2M,cv_first,tgtfit,ehr_only,1506,76,0.8001564225248435,True,-0.00018967969855882683,-0.0010338316387296155,0.0006663092838246424
I2M,cv_first,tgtfit,early,1506,76,0.805668016194332,True,0.005286263995155535,-0.011253571862337193,0.023995887515085995
I2M,cv_first,tgtfit,late_mean,1506,76,0.758018954729481,True,-0.042330466813708896,-0.0807876998263818,-0.0018737363014524845
I2M,cv_first,tgtfit,late_wsrc,1506,76,0.800726904674273,True,0.0003646186153246629,-0.009687606005963167,0.0105621393475307
I2M,cv_first,coral,ehr_only,1506,76,0.790172984909827,True,-0.009870624452245687,-0.022787233621318546,0.0020709283137562064
I2M,cv_first,coral,early,1506,76,0.7992546926757452,True,-0.0009158482759080655,-0.020835683636349765,0.020151415439745416
I2M,cv_first,coral,late_mean,1506,76,0.7548444976076555,True,-0.045390524188091294,-0.08283705160678567,-0.005524205174807461
I2M,cv_first,coral,late_wsrc,1506,76,0.7922064777327935,True,-0.007833877296709795,-0.023193591972848183,0.0073264840432024055
M2I,death_30d,std,ehr_only,3300,246,0.773351355812183,True,,,
M2I,death_30d,std,early,3300,246,0.7797091379558196,True,0.006533569144128002,-0.006601318578324439,0.02118510178491631
M2I,death_30d,std,late_mean,3300,246,0.7927335069028489,True,0.019653340457685766,8.981440566082915e-05,0.040695503909052216
M2I,death_30d,std,late_wsrc,3300,246,0.7980084761554885,True,0.02479978764497291,0.014119749656512864,0.03625223690973962
M2I,death_30d,blockstd,ehr_only,3300,246,0.7588069225485968,True,-0.014609380763595142,-0.026184801987086326,-0.0039330411243099295
M2I,death_30d,blockstd,early,3300,246,0.7833535653627657,True,0.010145093972841284,-0.004475170554574801,0.025996438670840047
M2I,death_30d,blockstd,late_mean,3300,246,0.7860010328983448,True,0.01304443497182408,-0.007448390161251514,0.034538738193742376
M2I,death_30d,blockstd,late_wsrc,3300,246,0.7861461178462472,True,0.012975318494302005,-0.000608955096208921,0.027398627064074567
M2I,death_30d,robust,ehr_only,3300,246,0.7757712130166489,True,0.0024004961529806262,-0.0013839596283987453,0.006108977993014458
M2I,death_30d,robust,early,3300,246,0.7901499299865297,True,0.016930202148472663,0.006968562030440151,0.027206862880524384
M2I,death_30d,robust,late_mean,3300,246,0.7981395850304278,True,0.025229057900738712,0.004916036545961406,0.04701032904725144
M2I,death_30d,robust,late_wsrc,3300,246,0.7992842919588331,True,0.026124476140998228,0.016867320894555442,0.03566973001275547
M2I,death_30d,quantile,ehr_only,3300,246,0.7642203214762991,True,-0.009138884408266434,-0.023746376080989142,0.0039332108869420375
M2I,death_30d,quantile,early,3300,246,0.7870392554613169,True,0.01386316161373591,-0.00508081731432716,0.032332530730519955
M2I,death_30d,quantile,late_mean,3300,246,0.7877546972915702,True,0.014841108978349015,-0.008893342611645951,0.03897912343439439
M2I,death_30d,quantile,late_wsrc,3300,246,0.7876229228893468,True,0.014446382280831888,-0.0027369830351077567,0.030511422380699024
M2I,death_30d,tgtfit,ehr_only,3300,246,0.7727563744203257,True,-0.0005916027036366402,-0.002601000967779904,0.0012198463926422348
M2I,death_30d,tgtfit,early,3300,246,0.7811906016899068,True,0.008018694934535836,-0.005159793484543912,0.02264965755508599
M2I,death_30d,tgtfit,late_mean,3300,246,0.7930749223995188,True,0.020017357406099702,0.0007349307234802094,0.040856355383989046
M2I,death_30d,tgtfit,late_wsrc,3300,246,0.797649756949436,True,0.02444277166618908,0.013836096539887682,0.03587323965652863
M2I,death_30d,coral,ehr_only,3300,246,0.7623275618807268,True,-0.010960074613958978,-0.01857201484334632,-0.0035595149915015984
M2I,death_30d,coral,early,3300,246,0.7704662950362313,True,-0.002696717674287927,-0.018618531027303622,0.014171560931917114
M2I,death_30d,coral,late_mean,3300,246,0.786408335596126,True,0.013413575833581359,-0.006995716244019135,0.03625496456712564
M2I,death_30d,coral,late_wsrc,3300,246,0.7889746088030625,True,0.015818412962575107,0.0029854678255398976,0.029210024253427853
M2I,composite_30d,std,ehr_only,3300,505,0.7359180998600754,True,,,
M2I,composite_30d,std,early,3300,505,0.7341256487008271,True,-0.0016738472232105134,-0.014209743284358613,0.010402805787961293
M2I,composite_30d,std,late_mean,3300,505,0.7365550222285199,True,0.0006423765902684185,-0.016197913000285814,0.017884308520406553
M2I,composite_30d,std,late_wsrc,3300,505,0.7490699445615403,True,0.013154047077903852,0.005899831579581349,0.020630885662007874
M2I,composite_30d,blockstd,ehr_only,3300,505,0.7397077525283834,True,0.003854040771391357,-0.003908057123848066,0.01171383492716088
M2I,composite_30d,blockstd,early,3300,505,0.7499410191466374,True,0.014168911162884807,0.0024218787460801193,0.02566750996652674
M2I,composite_30d,blockstd,late_mean,3300,505,0.737361271010822,True,0.0015809712201010336,-0.015505108778356081,0.01904997081457565
M2I,composite_30d,blockstd,late_wsrc,3300,505,0.7505620007439027,True,0.014728022844189606,0.004518564126955338,0.024467434432280034
M2I,composite_30d,robust,ehr_only,3300,505,0.7361696098053454,True,0.00020172677659583538,-0.00256945542876664,0.0031083198279858253
M2I,composite_30d,robust,early,3300,505,0.7433280787828336,True,0.007378267525094176,-0.0021415459903729507,0.016975732881636976
M2I,composite_30d,robust,late_mean,3300,505,0.7345950158522113,True,-0.0013233405571459289,-0.017860672393862156,0.01581941867224374
M2I,composite_30d,robust,late_wsrc,3300,505,0.7474974760445633,True,0.011532872537120705,0.0034354215948944446,0.019440227145623906
M2I,composite_30d,quantile,ehr_only,3300,505,0.740246904833596,True,0.004445693137711171,-0.006124774463644284,0.01452908064739859
M2I,composite_30d,quantile,early,3300,505,0.7499289750084132,True,0.014161416943218187,0.00011344164592964617,0.02822958707650493
M2I,composite_30d,quantile,late_mean,3300,505,0.7349184363874669,True,-0.0008448845470868495,-0.019355048881360463,0.018580670995090996
M2I,composite_30d,quantile,late_wsrc,3300,505,0.7494213500061991,True,0.013621776626481601,0.002008905819767218,0.025537300666212362
M2I,composite_30d,tgtfit,ehr_only,3300,505,0.7350707593120672,True,-0.0008388259391348274,-0.0021880954920122098,0.0005404792940597394
M2I,composite_30d,tgtfit,early,3300,505,0.7341128960838837,True,-0.001681978991522994,-0.01392218029454067,0.010559129095144348
M2I,composite_30d,tgtfit,late_mean,3300,505,0.7357292902814432,True,-0.0001855671137959516,-0.01701471554893935,0.0167318317853148
M2I,composite_30d,tgtfit,late_wsrc,3300,505,0.7480511521635169,True,0.012138496857002266,0.004842133324108769,0.019403823575797986
M2I,composite_30d,coral,ehr_only,3300,505,0.7265846012150411,True,-0.00936348246991262,-0.0147904802276139,-0.003840596552934404
M2I,composite_30d,coral,early,3300,505,0.7256451584335535,True,-0.01017144679145391,-0.02326175064402944,0.0034321323536091295
M2I,composite_30d,coral,late_mean,3300,505,0.7275970173045927,True,-0.00831118676810689,-0.02455747734993476,0.008723868120389208
M2I,composite_30d,coral,late_wsrc,3300,505,0.7390286756761544,True,0.003082240596346805,-0.005704879098105656,0.012013266855560884
M2I,cv_first,std,ehr_only,3083,288,0.7619701600079506,True,,,
M2I,cv_first,std,early,3083,288,0.707619012124826,True,-0.054413159326122805,-0.07727814315131484,-0.030224275821259243
M2I,cv_first,std,late_mean,3083,288,0.698848389982111,True,-0.06305725613828328,-0.08752245623255703,-0.03978579723025086
M2I,cv_first,std,late_wsrc,3083,288,0.7388404392764857,True,-0.023183016816198408,-0.03816211119614665,-0.008744251595500614
M2I,cv_first,blockstd,ehr_only,3083,288,0.770354427549195,True,0.008472035664599104,-0.00216928449475606,0.019311564047950733
M2I,cv_first,blockstd,early,3083,288,0.7610626614987082,True,-0.0008653627765932353,-0.01714936905785793,0.014183088979823032
M2I,cv_first,blockstd,late_mean,3083,288,0.7194046909163189,True,-0.04263722663399659,-0.06959148203852543,-0.01810140103919221
M2I,cv_first,blockstd,late_wsrc,3083,288,0.7635211687537269,True,0.0014825505816123182,-0.013886586682012883,0.015935783568136824
