outcome,strategy,draws,n_ehr,n_ecg,n_ctpa,ehr_share,mean_all,sd_all,mean_cc,mean_noct,vs_bar
death_30d,complete,28+4+4,28,4,4,77.77777777777777,0.8811232089658108,0.006478344585919688,0.8811232089658108,,-0.010476791034189192
death_30d,complete,28+2+2,28,2,2,87.5,0.878637040714995,0.006800333003904128,0.878637040714995,,-0.012962959285004905
death_30d,complete,38+4+4,38,4,4,82.6086956521739,0.8725204816285996,0.010516061408561444,0.8725204816285996,,-0.019079518371400317
death_30d,complete,20+4+4,20,4,4,71.42857142857143,0.8852922400340475,0.005839799598085812,0.8852922400340475,,-0.006307759965952453
death_30d,complete,28+4+2,28,4,2,82.3529411764706,0.879028496949922,0.008014496113517759,0.879028496949922,,-0.012571503050077926
death_30d,complete,28+2+4,28,2,4,82.3529411764706,0.8803026138459356,0.007815063039378383,0.8803026138459356,,-0.011297386154064393
death_30d,complete,28+8+8,28,8,8,63.63636363636363,0.8836204603489858,0.006842445872565974,0.8836204603489858,,-0.007979539651014167
death_30d,complete,20+8+16,20,8,16,45.45454545454545,0.8888508121719394,0.006000102338623668,0.8888508121719394,,-0.002749187828060551
death_30d,nan_ind,28+4+4,28,4,4,77.77777777777777,0.8673930120231634,0.004667991091202087,0.8829417293233084,0.8562585034013604,-0.024206987976836514
death_30d,nan_ind,28+2+2,28,2,2,87.5,0.8692065491183879,0.0052892823134386415,0.8829842885515676,0.8596356764928192,-0.022393450881612043
death_30d,nan_ind,38+4+4,38,4,4,82.6086956521739,0.8631018073697057,0.004710783649419845,0.8787106327138602,0.8523058704963468,-0.028498192630294295
death_30d,nan_ind,20+4+4,20,4,4,71.42857142857143,0.8703713742242073,0.004284536352112681,0.8855422755000708,0.8604283194759386,-0.021228625775792653
death_30d,nan_ind,28+4+2,28,4,2,82.3529411764706,0.8697559336778415,0.004289888774284834,0.883519825507164,0.8603955656336609,-0.021844066322158406
death_30d,nan_ind,28+2+4,28,2,4,82.3529411764706,0.8679141564309643,0.003914653460037115,0.8831110795857569,0.8573973293020911,-0.02368584356903569
death_30d,nan_ind,28+8+8,28,8,8,63.63636363636363,0.8654140915110752,0.005039697138082571,0.8819105546886081,0.8536533131771227,-0.02618590848892477
death_30d,nan_ind,20+8+16,20,8,16,45.45454545454545,0.866102080033239,0.004578566364440976,0.885028018158604,0.8534134542705971,-0.025497919966760985
death_30d,masked,28+4+4,28,4,4,77.77777777777777,0.8648020592588747,0.005011480527441022,0.888940807206696,0.8637601410934744,-0.026797940741125292
death_30d,masked,28+2+2,28,2,2,87.5,0.8634871069100729,0.005028705817588295,0.8873599092069797,0.8639551524313429,-0.028112893089927038
death_30d,masked,38+4+4,38,4,4,82.6086956521739,0.8619710652055363,0.004931341569768005,0.8844144559511987,0.8581093474426809,-0.0296289347944636
death_30d,masked,20+4+4,20,4,4,71.42857142857143,0.8645725674517646,0.00459725242160647,0.8917009504894311,0.8671604938271604,-0.027027432548235364
death_30d,masked,28+4+2,28,4,2,82.3529411764706,0.8644782713131995,0.005155548562433849,0.8881765143992055,0.8637601410934744,-0.027121728686800406
death_30d,masked,28+2+4,28,2,4,82.3529411764706,0.8637425666727259,0.004832712001630523,0.88759132501064,0.8639551524313429,-0.027857433327274084
death_30d,masked,28+8+8,28,8,8,63.63636363636363,0.8667355358487626,0.005123248370235335,0.8900109944673004,0.8647548500881834,-0.02486446415123733
death_30d,masked,20+8+16,20,8,16,45.45454545454545,0.8672047443454778,0.005367830221313906,0.8947084692864236,0.865670949861426,-0.024395255654522163
death_30d,ccs_rank,28+4+4,28,4,4,77.77777777777777,0.8834678257030824,0.0028391601681988154,0.8829262129380053,0.8861410934744267,-0.008132174296917594
death_30d,ccs_rank,28+2+2,28,2,2,87.5,0.8827485944844062,0.0028444106498495313,0.8807725386579657,0.8863812043335854,-0.008851405515593713
death_30d,ccs_rank,38+4+4,38,4,4,82.6086956521739,0.879275705029993,0.0026635726044125807,0.8760932401759114,0.8834777021919878,-0.012324294970006977
death_30d,ccs_rank,20+4+4,20,4,4,71.42857142857143,0.8864534102417618,0.003427015337076009,0.88789987941552,0.8878735197782817,-0.005146589758238118
death_30d,ccs_rank,28+4+2,28,4,2,82.3529411764706,0.8829236347347373,0.003194918025310706,0.8815581110795858,0.8861410934744267,-0.008676365265262609
death_30d,ccs_rank,28+2+4,28,2,4,82.3529411764706,0.8835350989379107,0.0025364055787078996,0.8827617392537949,0.8863812043335854,-0.008064901062089236
death_30d,ccs_rank,28+8+8,28,8,8,63.63636363636363,0.8845324307304786,0.0029475264111413916,0.8845035643353668,0.886901738473167,-0.0070675692695213455
death_30d,ccs_rank,20+8+16,20,8,16,45.45454545454545,0.8871528408943364,0.003852578582244719,0.8901506419350262,0.8875835222978079,-0.004447159105663512
death_30d_inhosp,complete,28+4+4,28,4,4,77.77777777777777,0.9014740222965267,0.007316774262685288,0.9014740222965267,,-0.003625977703473282
death_30d_inhosp,complete,28+2+2,28,2,2,87.5,0.8995779641424682,0.006724643579221166,0.8995779641424682,,-0.0055220358575318595
death_30d_inhosp,complete,38+4+4,38,4,4,82.6086956521739,0.8983964189016206,0.008408205027465658,0.8983964189016206,,-0.00670358109837943
death_30d_inhosp,complete,20+4+4,20,4,4,71.42857142857143,0.9040287356767701,0.006638959015900696,0.9040287356767701,,-0.0010712643232299035
death_30d_inhosp,complete,28+4+2,28,4,2,82.3529411764706,0.9015081575497094,0.0072973480948957045,0.9015081575497094,,-0.00359184245029065
death_30d_inhosp,complete,28+2+4,28,2,4,82.3529411764706,0.9007626125881505,0.008679646535327167,0.9007626125881505,,-0.004337387411849525
death_30d_inhosp,complete,28+8+8,28,8,8,63.63636363636363,0.9035011908548553,0.007463047546397343,0.9035011908548553,,-0.001598809145144764
death_30d_inhosp,complete,20+8+16,20,8,16,45.45454545454545,0.90691937098038,0.006162518680525594,0.90691937098038,,0.0018193709803799862
death_30d_inhosp,nan_ind,28+4+4,28,4,4,77.77777777777777,0.8919607241485117,0.004502558472451006,0.9038906430616219,0.8798085926843475,-0.01313927585148833
death_30d_inhosp,nan_ind,28+2+2,28,2,2,87.5,0.8921752603724207,0.00474541139530713,0.9036144578313252,0.8803468335950806,-0.01292473962757934
death_30d_inhosp,nan_ind,38+4+4,38,4,4,82.6086956521739,0.8825137762179243,0.005868751979675448,0.8922412121118084,0.8698268043973547,-0.022586223782075754
death_30d_inhosp,nan_ind,20+4+4,20,4,4,71.42857142857143,0.8975396803258111,0.004914283850541794,0.9114717724730215,0.8858634342719369,-0.007560319674188909
death_30d_inhosp,nan_ind,28+4+2,28,4,2,82.3529411764706,0.8926618975044315,0.005532241831575072,0.9030139876957927,0.8813532703665199,-0.012438102495568537
death_30d_inhosp,nan_ind,28+2+4,28,2,4,82.3529411764706,0.8910059618754422,0.00599428446069332,0.9007595093833155,0.880127850649207,-0.014094038124557784
death_30d_inhosp,nan_ind,28+8+8,28,8,8,63.63636363636363,0.890765305993067,0.004350963531471529,0.9024011047409213,0.8787571796176279,-0.014334694006932991
death_30d_inhosp,nan_ind,20+8+16,20,8,16,45.45454545454545,0.8939369425798616,0.004190938909898076,0.9078084391655482,0.8829502975071335,-0.011163057420138456
death_30d_inhosp,masked,28+4+4,28,4,4,77.77777777777777,0.8872926593616153,0.0029866921732200563,0.9066043956896485,0.882375928096913,-0.01780734063838474
death_30d_inhosp,masked,28+2+2,28,2,2,87.5,0.8865963041951215,0.0034381581739910383,0.906834032847423,0.8816061698629329,-0.01850369580487854
death_30d_inhosp,masked,38+4+4,38,4,4,82.6086956521739,0.8802603851001296,0.00499100122303428,0.8978456000434448,0.8714363659153413,-0.02483961489987041
death_30d_inhosp,masked,20+4+4,20,4,4,71.42857142857143,0.8894197631986692,0.00357191539302373,0.9119574240296666,0.8883990650829112,-0.015680236801330794
death_30d_inhosp,masked,28+4+2,28,4,2,82.3529411764706,0.8874366978665564,0.0029309508486590734,0.9076253500802954,0.882375928096913,-0.01766330213344358
death_30d_inhosp,masked,28+2+4,28,2,4,82.3529411764706,0.8864768638151439,0.0035340816485392545,0.9060070287589508,0.8816061698629329,-0.018623136184856115
death_30d_inhosp,masked,28+8+8,28,8,8,63.63636363636363,0.8884251874656071,0.004091277366586897,0.9095927819455543,0.8819335383072693,-0.016674812534392958
death_30d_inhosp,masked,20+8+16,20,8,16,45.45454545454545,0.8903757934163246,0.0036127524411414882,0.9146416962117627,0.887545990105215,-0.014724206583675459
death_30d_inhosp,ccs_rank,28+4+4,28,4,4,77.77777777777777,0.8957753354347403,0.002626919930487262,0.9018006346053887,0.8953538012342674,-0.00932466456525971
death_30d_inhosp,ccs_rank,28+2+2,28,2,2,87.5,0.8950183725170475,0.0019610808820222595,0.9003297155136968,0.8949593370051687,-0.010081627482952493
death_30d_inhosp,ccs_rank,38+4+4,38,4,4,82.6086956521739,0.8938909161913988,0.003608761201648761,0.8990767965616488,0.89355474942305,-0.011209083808601195
death_30d_inhosp,ccs_rank,20+4+4,20,4,4,71.42857142857143,0.8990601994730423,0.001820251814533409,0.9048681525845819,0.8987749489408451,-0.006039800526957739
death_30d_inhosp,ccs_rank,28+4+2,28,4,2,82.3529411764706,0.8958155292781085,0.0023041099600542973,0.9019084709733978,0.8953538012342674,-0.009284470721891536
death_30d_inhosp,ccs_rank,28+2+4,28,2,4,82.3529411764706,0.8956556414658454,0.002204848332470906,0.9021388839323812,0.8949593370051687,-0.009444358534154595
death_30d_inhosp,ccs_rank,28+8+8,28,8,8,63.63636363636363,0.8965198724954926,0.002128128982386818,0.9036749703256038,0.8954935226761632,-0.008580127504507429
death_30d_inhosp,ccs_rank,20+8+16,20,8,16,45.45454545454545,0.9004863835430935,0.00225421526483708,0.909181607304944,0.8986355961571073,-0.0046136164569065
composite_30d,complete,28+4+4,28,4,4,77.77777777777777,0.8432623427847759,0.004667172468143135,0.8432623427847759,,-0.001037657215224197
composite_30d,complete,28+2+2,28,2,2,87.5,0.8408722524595342,0.0051763780330924165,0.8408722524595342,,-0.0034277475404658198
composite_30d,complete,38+4+4,38,4,4,82.6086956521739,0.8360646809936743,0.005824290780475139,0.8360646809936743,,-0.008235319006325792
composite_30d,complete,20+4+4,20,4,4,71.42857142857143,0.8472875036655356,0.004556986732700345,0.8472875036655356,,0.0029875036655355736
composite_30d,complete,28+4+2,28,4,2,82.3529411764706,0.8420107436445253,0.006423263323074597,0.8420107436445253,,-0.0022892563554747225
composite_30d,complete,28+2+4,28,2,4,82.3529411764706,0.8420497352758254,0.005808175844412519,0.8420497352758254,,-0.0022502647241746665
