outcome,method,thr,k,n_sel,mean,sd,lo,hi,vs_late
death_30d_inhosp,late_wsrc,,,,0.8823040232911079,0.0069589240086324325,0.8645662340880231,0.8905751540867842,0.0
death_30d_inhosp,early,,,,0.8808885929321398,0.009065890123499131,0.8608960262644408,0.8882212655248242,-0.0014154303589680728
death_30d_inhosp,spca,0.05,2.0,32.760000000000005,0.8902956298200515,0.003081807989662306,0.8835134884009044,0.8941369591476445,0.007991606528943596
death_30d_inhosp,spca,0.1,2.0,38.44,0.8869545018118747,0.004126243630967575,0.8777603989221668,0.8917211261498437,0.004650478520766832
death_30d_inhosp,spca,0.25,2.0,48.879999999999995,0.8736186390807447,0.006505889747142219,0.8650695326292317,0.8816319261622325,-0.008685384210363245
death_30d_inhosp,spca,0.5,2.0,60.93999999999998,0.8626064669991018,0.006137343650355626,0.8556230061634713,0.8747715798928362,-0.01969755629200609
death_30d_inhosp,pca,1.0,2.0,74.0,0.8505071700684486,0.0030470382577053746,0.8443568618948804,0.8546164090810543,-0.03179685322265935
death_30d_inhosp,spca,0.05,3.0,32.760000000000005,0.8903715117539568,0.004473106346206858,0.8815080372905504,0.8978923405705084,0.008067488462848882
death_30d_inhosp,spca,0.1,3.0,38.44,0.8885588627001579,0.003938008196949545,0.882901787096974,0.89386595224084,0.006254839409050028
death_30d_inhosp,spca,0.25,3.0,48.879999999999995,0.890733112398179,0.0020738483325115943,0.8868584879363212,0.8930761606838666,0.008429089107071075
death_30d_inhosp,spca,0.5,3.0,60.93999999999998,0.8895399077027907,0.0032536906019573443,0.8829869606962555,0.8930606745749062,0.007235884411682769
death_30d_inhosp,pca,1.0,3.0,74.0,0.8810558429089106,0.0026378263191114016,0.8761343574813392,0.8846284882460433,-0.001248180382197317
death_30d_inhosp,spca,0.05,4.0,32.760000000000005,0.8923521850899743,0.005398636472438021,0.8844426549385201,0.89917768761421,0.010048161798866362
death_30d_inhosp,spca,0.1,4.0,38.44,0.8895886889460154,0.0036843203869687917,0.8830643912410568,0.8941989035834856,0.007284665654907485
death_30d_inhosp,spca,0.25,4.0,48.879999999999995,0.8903405395360362,0.0037569856575164298,0.8836528633815468,0.895290674265184,0.008036516244928293
death_30d_inhosp,spca,0.5,4.0,60.93999999999998,0.8877009322637595,0.0031954835248674904,0.8818951900145571,0.8906990429584661,0.0053969089726515485
death_30d_inhosp,pca,1.0,4.0,74.0,0.8869413386192585,0.003379297122966266,0.8809118220955803,0.8905054665964629,0.004637315328150593
death_30d_inhosp,spca,0.05,5.0,32.760000000000005,0.8903428624523804,0.005237544098556809,0.8784340446619381,0.8968083129432898,0.00803883916127246
death_30d_inhosp,spca,0.1,5.0,38.44,0.891689379626475,0.005948395733873795,0.8774351906340013,0.8968857434880911,0.009385356335367079
death_30d_inhosp,spca,0.25,5.0,48.879999999999995,0.897238052466937,0.004454215598472662,0.8885232446495493,0.903180846780438,0.014934029175829089
death_30d_inhosp,spca,0.5,5.0,60.93999999999998,0.8955043825688358,0.003735207177389029,0.8899402236194134,0.9038699786291696,0.013200359277727891
death_30d_inhosp,pca,1.0,5.0,74.0,0.8827128565676589,0.004554807802681589,0.8761730727537399,0.8901725152538175,0.00040883327655094615
death_30d_inhosp,spca,0.05,6.0,32.760000000000005,0.8886099668597268,0.006069477875835269,0.8771486976182364,0.8985040418744387,0.00630594356861891
death_30d_inhosp,spca,0.1,6.0,38.44,0.8908136401647722,0.007925297578415239,0.8712330039954161,0.9004398054944714,0.00850961687366425
death_30d_inhosp,spca,0.25,6.0,48.879999999999995,0.8953650075881935,0.0048708144275700395,0.884845293771487,0.9010437637439217,0.013060984297085576
death_30d_inhosp,spca,0.5,6.0,60.93999999999998,0.8983917675844767,0.005083173894687684,0.8904202929971816,0.9044584507696597,0.01608774429336879
death_30d_inhosp,pca,1.0,6.0,74.0,0.8908817790441972,0.005781864592202625,0.8843342521757983,0.9029640412549942,0.008577755753089278
death_30d_inhosp,spca,0.05,8.0,32.760000000000005,0.8906773624059218,0.0063029697948076245,0.8783721002260971,0.8993790070306935,0.00837333911481386
death_30d_inhosp,spca,0.1,8.0,38.44,0.8911558831727941,0.004823658479630905,0.8826307801901694,0.8982020627497136,0.008851859881686241
death_30d_inhosp,spca,0.25,8.0,48.879999999999995,0.8962585560752006,0.00636416904719703,0.8813454331464676,0.9029795273639545,0.013954532784092644
death_30d_inhosp,spca,0.5,8.0,60.93999999999998,0.9013991699445596,0.004693662885372401,0.8954687645182271,0.9091042834577384,0.01909514665345169
death_30d_inhosp,pca,1.0,8.0,74.0,0.9014464025768885,0.004104560647241964,0.8970560906866542,0.9093675473100629,0.019142379285780553
death_30d_inhosp,spca,0.05,10.0,32.760000000000005,0.8882220398302723,0.007688747353408661,0.8743379688419488,0.8964521324372039,0.00591801653916435
death_30d_inhosp,spca,0.1,10.0,38.44,0.889925511815901,0.006250877984063388,0.8819184191779973,0.8976755350450645,0.007621488524793052
death_30d_inhosp,spca,0.25,10.0,48.879999999999995,0.8959472852850991,0.004746395975576311,0.8887942515563539,0.904357791061418,0.01364326199399124
death_30d_inhosp,spca,0.5,10.0,60.93999999999998,0.8980688822126552,0.005513896698159618,0.887555362839533,0.907547929507232,0.01576485892154733
death_30d_inhosp,pca,1.0,10.0,74.0,0.9002137083036515,0.003772330531622396,0.8951900145569425,0.9069594573667421,0.01790968501254364
death_30d_inhosp,spca,0.05,12.0,32.760000000000005,0.8865944497785486,0.009676612936764799,0.8628395329389539,0.8989066807074054,0.004290426487440713
death_30d_inhosp,spca,0.1,12.0,38.44,0.8860137206925387,0.00805787789021085,0.8730835940161674,0.8980162294421904,0.0037096974014307893
death_30d_inhosp,spca,0.25,12.0,48.879999999999995,0.8927865704463095,0.004993361298503663,0.8821429677579211,0.8997429305912596,0.010482547155201583
death_30d_inhosp,spca,0.5,12.0,60.93999999999998,0.8969182643169077,0.005325899296739884,0.8895763000588472,0.9042958466255768,0.014614241025799779
death_30d_inhosp,pca,1.0,12.0,74.0,0.8963739275869547,0.0050589212850750045,0.8881283488710627,0.9068123393316195,0.014069904295846758
death_30d_inhosp,boot_vs_late,1.0,8.0,74.0,0.013730462677259624,,-0.0045098319494471985,0.033673442984237544,0.013730462677259624
PERMUTED,spca,1.0,8.0,74.0,0.4712717192678168,0.03047430824578216,0.43097066930962935,0.5013937498064236,
death_30d,spca,1.0,8.0,74.0,0.8776001663540155,0.004806828816471393,0.8706199341662834,0.8837822532120483,-0.004554826036173298
death_30d,late_wsrc,,,,0.8821549923901888,0.003148083844325504,0.8772696704774714,0.8869589070187237,0.0
composite_30d,spca,1.0,8.0,74.0,0.8293378995433789,0.004356080165330005,0.822171843848479,0.8356518104058139,-0.01555968229468141
composite_30d,late_wsrc,,,,0.8448975818380603,0.004480362065355902,0.8363930156280146,0.8532043861341565,0.0
cv_first,spca,1.0,8.0,74.0,0.7427752038547073,0.011324696960305738,0.724749814677539,0.7567828020756115,-0.06359247590807993
cv_first,late_wsrc,,,,0.8063676797627872,0.008036093024206608,0.787981838398814,0.8176380652335062,0.0
