outcome,model,n,ev,mean,sd,gain_vs_within,lo,hi,sig
death_30d,ehr,1636,152,0.856424670165981,0.0,,,,
death_30d,ecg_within,1636,152,0.7209939648649927,0.0037270053667021034,,,,
death_30d,ecg_full,1636,152,0.7370615512838702,0.004464443538822709,0.01606758641887751,,,
death_30d,ctpa_within,1636,152,0.7899340036411783,0.006761823999578227,,,,
death_30d,ctpa_full,1636,152,0.792860689459498,0.004817591312920964,0.0029266858183196742,,,
death_30d,2mod_within,1636,152,0.874280704709888,0.0018171977631440226,,,,
death_30d,2mod_full,1636,152,0.8743047181633329,0.0015407972410670398,2.401345344493766e-05,,,
death_30d,3mod_within,1636,152,0.8763979524282405,0.0017142906287423351,,,,
death_30d,3mod_full,1636,152,0.8778864171040809,0.000992136273276591,0.0014884646758404063,,,
death_30d,ecg_full_vs_ecg_within,1636,152,0.016246312115337468,,,0.001183022666458439,0.03257617058270547,1.0
death_30d,ctpa_full_vs_ctpa_within,1636,152,-0.0026221226435507888,,,-0.014057113163960137,0.00917555689025525,0.0
death_30d,2mod_full_vs_2mod_within,1636,152,0.00040776097172854253,,,-0.003209266718058876,0.004216908158459119,0.0
death_30d,3mod_full_vs_3mod_within,1636,152,0.0005637583670560502,,,-0.0037749542614090082,0.004871749963174717,0.0
death_30d,3mod_full_vs_2mod_full,1636,152,0.004088581866644396,,,-0.0017867338364345813,0.010166708985265373,0.0
composite_30d,ehr,1636,219,0.8209414062122368,1.2161883888976234e-16,,,,
composite_30d,ecg_within,1636,219,0.7385911883209859,0.004419068296653425,,,,
composite_30d,ecg_full,1636,219,0.7428958429335456,0.004789788276770516,0.0043046546125596885,,,
composite_30d,ctpa_within,1636,219,0.7312681732689272,0.007249585384938841,,,,
composite_30d,ctpa_full,1636,219,0.7300471336854396,0.007266296116076125,-0.0012210395834876264,,,
composite_30d,2mod_within,1636,219,0.8352732475517444,0.00245988753431901,,,,
composite_30d,2mod_full,1636,219,0.8355933441392785,0.0020897213606521237,0.0003200965875341799,,,
composite_30d,3mod_within,1636,219,0.8404364162501651,0.0027467734800320333,,,,
composite_30d,3mod_full,1636,219,0.8409383126613239,0.0026018545858264674,0.0005018964111588309,,,
composite_30d,ecg_full_vs_ecg_within,1636,219,0.004347849909979237,,,-0.007994433627515837,0.016056365187053143,0.0
composite_30d,ctpa_full_vs_ctpa_within,1636,219,0.011882062929456,,,-0.006344079197456653,0.030743684898287778,0.0
composite_30d,2mod_full_vs_2mod_within,1636,219,0.003078540609042241,,,-0.0022170166179016097,0.008492480430606015,0.0
composite_30d,3mod_full_vs_3mod_within,1636,219,0.00514692292899556,,,-0.0010522553108110178,0.011541467920686974,0.0
composite_30d,3mod_full_vs_2mod_full,1636,219,0.007149517870656707,,,0.00034646590073668946,0.01410420768392386,1.0
cv_first,ehr,1493,76,0.8045258700739145,0.0,,,,
cv_first,ecg_within,1493,76,0.7150515668140004,0.004674223397680852,,,,
cv_first,ecg_full,1493,76,0.7289755351681958,0.005480857420815544,0.013923968354195404,,,
cv_first,ctpa_within,1493,76,0.6270010771459348,0.015380230150290641,,,,
cv_first,ctpa_full,1493,76,0.6319689484827099,0.047861274379344,0.00496787133677512,,,
cv_first,2mod_within,1493,76,0.8063853396723991,0.0017047384777057243,,,,
cv_first,2mod_full,1493,76,0.806328851415766,0.003725424479914101,-5.6488256633069334e-05,,,
cv_first,3mod_within,1493,76,0.8031848543376792,0.005202601301483565,,,,
cv_first,3mod_full,1493,76,0.8086224293974174,0.004310871212838272,0.005437575059738187,,,
cv_first,ecg_full_vs_ecg_within,1493,76,0.01107325159698492,,,-0.008944104653007542,0.032049612584078506,0.0
cv_first,ctpa_full_vs_ctpa_within,1493,76,0.028656610591436163,,,0.00263184902337508,0.05532677845138525,1.0
cv_first,2mod_full_vs_2mod_within,1493,76,0.0006952497666978661,,,-0.0069291093168773795,0.007870484641905592,0.0
cv_first,3mod_full_vs_3mod_within,1493,76,0.003170750827210817,,,-0.005772911079238016,0.011980507755365894,0.0
cv_first,3mod_full_vs_2mod_full,1493,76,0.003591884583049631,,,-0.011458083432120736,0.017656119942895968,0.0
death_30d_inhosp,ehr,1636,83,0.8579740727236054,0.0,,,,
death_30d_inhosp,ecg_within,1636,83,0.72613182931339,0.006352506764627367,,,,
death_30d_inhosp,ecg_full,1636,83,0.7350664732335653,0.004507862112293103,0.00893464392017529,,,
death_30d_inhosp,ctpa_within,1636,83,0.7583353374864558,0.01590119801328735,,,,
death_30d_inhosp,ctpa_full,1636,83,0.7601701073450272,0.01595905598682514,0.00183476985857145,,,
death_30d_inhosp,2mod_within,1636,83,0.8645328254421422,0.006260682788164831,,,,
death_30d_inhosp,2mod_full,1636,83,0.8658458689878638,0.0033286968121264836,0.0013130435457215928,,,
death_30d_inhosp,3mod_within,1636,83,0.8688773122108523,0.003263635723170654,,,,
death_30d_inhosp,3mod_full,1636,83,0.8700895015994435,0.0022426528596759428,0.001212189388591245,,,
death_30d_inhosp,ecg_full_vs_ecg_within,1636,83,0.008878211593970115,,,-0.01702362385170993,0.03464682286907042,0.0
death_30d_inhosp,ctpa_full_vs_ctpa_within,1636,83,0.012187438707981365,,,-0.027927945535468315,0.05245091644906612,0.0
death_30d_inhosp,2mod_full_vs_2mod_within,1636,83,0.007589906131450414,,,-0.002511656767642026,0.018268506182908092,0.0
death_30d_inhosp,3mod_full_vs_3mod_within,1636,83,0.003074229255802975,,,-0.0061665309810912785,0.012307361399043239,0.0
death_30d_inhosp,3mod_full_vs_2mod_full,1636,83,0.00851241039771612,,,-0.0002819006668126205,0.018110177923721205,0.0
