outcome,stage,method,mean,sd,vs_late,value,leaf,depth,na,nb,nc,mfeat,k,reg,ntree,lo,hi,boot,boot_lo,boot_hi,sig,boot2,sig2,slope,slope_platt,vs_late2,vs_per_outcome
death_30d_inhosp,ref,ehr,0.8555070248799448,,-0.016489654690881927,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,ref,ecg,0.7185548375084367,,-0.15344184206238998,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,ref,ctpa,0.7711308854219194,,-0.10086579414890728,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,ref,late_2mod,0.8689632968448165,,-0.0030333827260101698,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,ref,late_3mod,0.8719966795708267,,0.0,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,n_ehr,0.9001124911752612,0.005968842150184624,0.028115811604434437,14.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,n_ehr,0.9007455449615591,0.004112071717418042,0.028748865390732403,20.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,n_ehr,0.8996508894560857,0.006187799753881138,0.027654209885259018,28.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,n_ehr,0.8961931434689175,0.009135564642222089,0.024196463898090825,38.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,n_ecg,0.8999495729214345,0.004929376107446106,0.0279528933506078,4.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,n_ecg,0.9007455449615591,0.004112071717418042,0.028748865390732403,8.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,n_ecg,0.8990310242903359,0.006821834907429569,0.027034344719509162,16.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,n_ctpa,0.9006540004189325,0.0038591494034429697,0.028657320848105794,8.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,n_ctpa,0.9007455449615591,0.004112071717418042,0.028748865390732403,16.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,n_ctpa,0.8994809889913808,0.006227820369077573,0.02748430942055413,24.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,A,n_ctpa,0.8928502160606367,0.005656975431111537,0.02085353648981003,46.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9074624318264688,0.004765721630055489,0.03546575225564208,,1.0,6.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9026772899712178,0.0048924905401817155,0.03068061040039105,,1.0,12.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9007455449615591,0.004112071717418042,0.028748865390732403,,1.0,-1.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.908249094252089,0.004922315305886692,0.03625241468126228,,2.0,6.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9049069426450167,0.004516774334163433,0.03291026307418998,,2.0,12.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9058208364688631,0.004808961975487463,0.03382415689803642,,2.0,-1.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9100706754901126,0.005181055232127582,0.03807399591928584,,5.0,6.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9111800712185509,0.0057531934222425874,0.03918339164772422,,5.0,12.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.911876740703962,0.006055790636700288,0.03988006113313525,,5.0,-1.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9111055943025159,0.005837747128913753,0.039108914731689204,,10.0,6.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9120117301142756,0.007271125383690536,0.04001505054344889,,10.0,12.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9122708477179808,0.007509141365540096,0.04027416814715412,,10.0,-1.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9102941062382175,0.006355251562556641,0.03829742666739078,,25.0,6.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.910452369684792,0.006228015944766539,0.038455690113965324,,25.0,12.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B,leaf_depth,0.9104539212872094,0.006227172714813849,0.03845724171638265,,25.0,-1.0,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B2,mfeat,0.9122708477179808,0.007509141365540096,0.04027416814715412,-1.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B2,mfeat,0.913152157891062,0.005338754242625694,0.04115547832023525,0.25,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B2,mfeat,0.9127052963948519,0.00484082672450029,0.04070861682402516,0.5,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,B2,mfeat,0.9122708477179808,0.007509141365540096,0.04027416814715412,1.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,C,cca_k,0.9139698523650299,0.005871916811971635,0.041973172794203206,5.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,C,cca_k,0.9148666785622852,0.00486613724786972,0.04286999899145849,10.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,C,cca_k,0.913152157891062,0.005338754242625694,0.04115547832023525,20.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,C,cca_reg,0.9114019503642388,0.004113054081893953,0.03940527079341205,0.1,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,C,cca_reg,0.9148666785622852,0.00486613724786972,0.04286999899145849,0.5,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,D,ntree,0.9138984786538294,0.005262547871250983,0.04190179908300273,300.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,D,ntree,0.9148666785622852,0.00486613724786972,0.04286999899145849,600.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,D,ntree,0.9152530275642169,0.005198995203654922,0.043256347993390176,1200.0,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,rotation,0.915589725288792,0.00323010402248069,0.043593045717965295,,,,,,,,,,,,,,,,,,,,,,
death_30d_inhosp,E,final,0.914301895282353,0.004620530278949991,0.042305215711526234,,10.0,-1.0,20.0,8.0,16.0,0.25,10.0,0.5,1200.0,0.908253749059341,0.9217294160544303,0.0360335421775152,0.01803126081768053,0.05573611643556098,1.0,0.03892868008637234,1.0,1.726611216248581,0.9787230972071534,0.045338598437536404,
death_30d,ref,ehr,0.861274648886367,,-0.023436391686764035,,,,,,,,,,,,,,,,,,,,,,
death_30d,ref,ecg,0.7107213789189956,,-0.17398966165413543,,,,,,,,,,,,,,,,,,,,,,
death_30d,ref,ctpa,0.7937251737835155,,-0.09098586678961551,,,,,,,,,,,,,,,,,,,,,,
death_30d,ref,late_2mod,0.8817584941126401,,-0.0029525464604909235,,,,,,,,,,,,,,,,,,,,,,
death_30d,ref,late_3mod,0.884711040573131,,0.0,,,,,,,,,,,,,,,,,,,,,,
death_30d,A,n_ehr,0.8925530217052063,0.0052258973871563055,0.007841981132075349,14.0,,,,,,,,,,,,,,,,,,,,,
death_30d,A,n_ehr,0.892739218328841,0.006859996502843319,0.008028177755709964,20.0,,,,,,,,,,,,,,,,,,,,,
death_30d,A,n_ehr,0.8896332813164987,0.006015800425844366,0.004922240743367667,28.0,,,,,,,,,,,,,,,,,,,,,
death_30d,A,n_ehr,0.885278496949922,0.0053836034505481455,0.000567456376791009,38.0,,,,,,,,,,,,,,,,,,,,,
death_30d,A,n_ecg,0.8919868953042986,0.00440167814886251,0.0072758547311676525,4.0,,,,,,,,,,,,,,,,,,,,,
death_30d,A,n_ecg,0.892739218328841,0.006859996502843319,0.008028177755709964,8.0,,,,,,,,,,,,,,,,,,,,,
death_30d,A,n_ecg,0.8895885054617677,0.008155437166070739,0.004877464888636718,16.0,,,,,,,,,,,,,,,,,,,,,
death_30d,A,n_ctpa,0.8902659065115619,0.008195539412301854,0.0055548659384309085,8.0,,,,,,,,,,,,,,,,,,,,,
death_30d,A,n_ctpa,0.892739218328841,0.006859996502843319,0.008028177755709964,16.0,,,,,,,,,,,,,,,,,,,,,
death_30d,A,n_ctpa,0.8923326890339055,0.00730664940084836,0.0076216484607745105,24.0,,,,,,,,,,,,,,,,,,,,,
death_30d,A,n_ctpa,0.8853995247552845,0.0065235116718459765,0.0006884841821535037,46.0,,,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.892366825081572,0.006036649692928623,0.007655784508440955,,1.0,6.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8920263512554971,0.005736967274748306,0.007315310682366127,,1.0,12.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.892739218328841,0.006859996502843319,0.008028177755709964,,1.0,-1.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8931231380337638,0.006005702253627697,0.008412097460632761,,2.0,6.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8930566392396084,0.005235875366871372,0.008345598666477438,,2.0,12.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8954213363597674,0.006053792841620003,0.010710295786636403,,2.0,-1.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8948352603206129,0.0056036916956688,0.0101242197474819,,5.0,6.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8977807135763938,0.0051697380841551985,0.013069673003262783,,5.0,12.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8988172081146262,0.005705531606664057,0.014106167541495185,,5.0,-1.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8965314228968648,0.005728121707050311,0.011820382323733836,,10.0,6.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8995416016456236,0.0052662523829099615,0.014830561072492587,,10.0,12.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8998182366293092,0.005263128693141325,0.015107196056178163,,10.0,-1.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8975519577244999,0.005353615968703484,0.012840917151368925,,25.0,6.0,,,,,,,,,,,,,,,,,,,
death_30d,B,leaf_depth,0.8985361398779969,0.005391191941482254,0.013825099304865862,,25.0,12.0,,,,,,,,,,,,,,,,,,,
