direction,outcome,modality,learner,n,ev,auc,lo,hi,ap
I2M,death_30d,ehr,lr,1649,152,0.8459946208205885,0.8152494237713587,0.877408616320852,0.3951160572440815
I2M,death_30d,ehr,gb,1649,152,0.8404748092676583,0.8076569158564001,0.8707878526257086,0.3480660624584207
I2M,death_30d,ctpa,lr,1649,152,0.7267209858313117,0.6825643855882175,0.7698495282434993,0.25173342683507166
I2M,death_30d,ctpa,gb,1649,152,0.6948568189009598,0.6428760130192983,0.7434927171278677,0.23839897650232372
I2M,composite_30d,ehr,lr,1649,219,0.8183191237985759,0.7908964855302094,0.8441666923824735,0.37245046867539505
I2M,composite_30d,ehr,gb,1649,219,0.8297218762972187,0.8017478124290871,0.8552242276692162,0.38163691558187257
I2M,composite_30d,ctpa,lr,1649,219,0.7164830603186767,0.6801890522875521,0.7507607186352966,0.29573587028184195
I2M,composite_30d,ctpa,gb,1649,219,0.6827904971740587,0.6391570552595081,0.7219191339350948,0.2862817020420072
I2M,cv_first,ehr,lr,1506,76,0.8003496503496503,0.7452033708947527,0.8514943878341166,0.18119374214392595
I2M,cv_first,ehr,gb,1506,76,0.8209422156790578,0.7692633427996729,0.8657711449080873,0.18454777766651398
I2M,cv_first,ctpa,lr,1506,76,0.6153570114096429,0.5454042117705818,0.6868870092730931,0.10174136167353613
I2M,cv_first,ctpa,gb,1506,76,0.5771807140228193,0.5094178115021684,0.6428128459622845,0.06596951739171739
M2I,death_30d,ehr,lr,3300,246,0.773351355812183,0.7433755250349798,0.8014659418125086,0.21419515253998048
M2I,death_30d,ehr,gb,3300,246,0.764469894207783,0.7337534036049803,0.7915436583463478,0.19793971007083902
M2I,death_30d,ctpa,lr,3300,246,0.7105575255163159,0.6778042512033944,0.7435014068637432,0.1516736363603281
M2I,death_30d,ctpa,gb,3300,246,0.6772146085900937,0.6386649381788838,0.7135022222490284,0.14972358474672234
M2I,composite_30d,ehr,lr,3300,505,0.7359180998600754,0.7129444421620742,0.7590796092895397,0.3165889439200364
M2I,composite_30d,ehr,gb,3300,505,0.7224244141766591,0.6982857332694704,0.7455405355862911,0.3083856373142698
M2I,composite_30d,ctpa,lr,3300,505,0.6473256699551887,0.6216266183041554,0.6740769332877813,0.2487633658402521
M2I,composite_30d,ctpa,gb,3300,505,0.6394647443277424,0.6120363736799536,0.6662851197753966,0.24039576812490893
M2I,cv_first,ehr,lr,3083,288,0.7619701600079506,0.7344961111463322,0.7888501484720609,0.23360755471727884
M2I,cv_first,ehr,gb,3083,288,0.7275262124826077,0.6989399326940198,0.7567521632466353,0.20790894747468178
M2I,cv_first,ctpa,lr,3083,288,0.5462588203140529,0.5085409048015803,0.5846116135656826,0.1252120559171257
M2I,cv_first,ctpa,gb,3083,288,0.5392112651560326,0.5050669013471328,0.5747266383423488,0.10693617840129693
M2M,death_30d,ehr,lr,1649,152,0.8746396301374678,0.8491510757554003,0.8996286150401775,0.444153415869368
M2M,death_30d,ehr,gb,1649,152,0.8954443975670641,0.8729852967117496,0.9183577118149593,0.5175566542760318
M2M,death_30d,ctpa,lr,1649,152,0.746783039763738,0.7055378049326209,0.7874013718086587,0.23159953639273573
M2M,death_30d,ctpa,gb,1649,152,0.7325000878950884,0.6899037124928088,0.7764939752503149,0.23318340306852636
M2M,composite_30d,ehr,lr,1649,219,0.8359421400517293,0.8111850469647169,0.8603937716461325,0.4175421692808164
M2M,composite_30d,ehr,gb,1649,219,0.860104735447201,0.8343952797085429,0.8838621920179933,0.4854054293990523
M2M,composite_30d,ctpa,lr,1649,219,0.6979180636714883,0.6598566354926427,0.7370414553190332,0.2626043716998275
M2M,composite_30d,ctpa,gb,1649,219,0.6715218571382955,0.6304705503388126,0.7084295721863025,0.2565495610642076
M2M,cv_first,ehr,lr,1506,76,0.7887099742362901,0.7329121484944356,0.8373097309343566,0.15274630070035491
M2M,cv_first,ehr,gb,1506,76,0.7863452337136546,0.7353741323736622,0.8327945406669346,0.144592322396991
M2M,cv_first,ctpa,lr,1506,76,0.6606183290393817,0.5924302500509185,0.7250768655268173,0.10224896487604486
M2M,cv_first,ctpa,gb,1506,76,0.5694654030180346,0.4976906432730826,0.6368549520090132,0.06730988780465642
I2I,death_30d,ehr,lr,3300,246,0.7796612199913747,0.7479400863498644,0.808185993097919,0.23850181988128621
I2I,death_30d,ehr,gb,3300,246,0.791984123181114,0.7630814069549247,0.8184260717370208,0.2436473770558123
I2I,death_30d,ctpa,lr,3300,246,0.7017519340222872,0.6703870549253521,0.7356503985768682,0.15089293815492488
I2I,death_30d,ctpa,gb,3300,246,0.6985054919311472,0.6683580031323351,0.7305249987142486,0.1402804968266278
I2I,composite_30d,ehr,lr,3300,505,0.7542669902052819,0.7314635193145101,0.775978034582631,0.34086941185680175
I2I,composite_30d,ehr,gb,3300,505,0.7497383942329832,0.72677866865987,0.7708662240265214,0.3436799586492488
I2I,composite_30d,ctpa,lr,3300,505,0.6382861899785686,0.6130274265122116,0.66499436532841,0.23119564699432799
I2I,composite_30d,ctpa,gb,3300,505,0.62512194689952,0.5986771090883596,0.6513142257261791,0.21941602112583855
I2I,cv_first,ehr,lr,3083,288,0.7849520473066984,0.7571127401246138,0.8108460024695575,0.286699064679355
I2I,cv_first,ehr,gb,3083,288,0.7732645100377658,0.7450029060319633,0.8007061590942234,0.26459109326785246
I2I,cv_first,ctpa,lr,3083,288,0.5881161796859471,0.554342053695558,0.6229600092083456,0.1312276538321572
I2I,cv_first,ctpa,gb,3083,288,0.5683624031007752,0.5327585572594273,0.6019567777048035,0.11825059763459975
