outcome,stage,draws,reg,mean,sd,boot_diff,lo,hi,sig,name,modal_pct,modal_cfg,slope,slope_platt,brier,brier_platt
death_30d_inhosp,A,14+4+8,0.1,0.9095384758609454,0.004794496382883613,,,,,,,,,,,
death_30d_inhosp,A,14+4+8,0.5,0.9136835817190203,0.005092671842727829,,,,,,,,,,,
death_30d_inhosp,A,14+8+16,0.1,0.9088821480383867,0.003910778590334195,,,,,,,,,,,
death_30d_inhosp,A,14+8+16,0.5,0.9131156952342531,0.004963313228005035,,,,,,,,,,,
death_30d_inhosp,A,20+8+16,0.1,0.9076757771588608,0.005630570239238851,,,,,,,,,,,
death_30d_inhosp,A,20+8+16,0.5,0.9125485845506948,0.005147950367800613,,,,,,,,,,,
death_30d_inhosp,A,20+12+24,0.1,0.9079100691238876,0.004772038726364423,,,,,,,,,,,
death_30d_inhosp,A,20+12+24,0.5,0.9113018720083167,0.00540847203542707,,,,,,,,,,,
death_30d_inhosp,A2,14+4+8,0.5,0.9136835817190203,,0.0,0.0,0.0,0.0,,,,,,,
death_30d_inhosp,A2,14+8+16,0.5,0.9131156952342531,,0.002784013292382917,-0.003491141366123565,0.009481588334982957,0.0,,,,,,,
death_30d_inhosp,A2,20+8+16,0.5,0.9125485845506948,,0.004167156628448909,-0.0016533098838257543,0.010314179214618573,0.0,,,,,,,
death_30d_inhosp,A2,20+12+24,0.5,0.9113018720083167,,0.00046147870791043115,-0.004914219908655468,0.00582416951266846,0.0,,,,,,,
death_30d_inhosp,A2,14+4+8,0.1,0.9095384758609454,,0.0027246696001687744,-0.0033394955986739833,0.008513978757625005,0.0,,,,,,,
death_30d_inhosp,A2,14+8+16,0.1,0.9088821480383867,,0.002407110304339428,-0.004561167566201829,0.008942684587629195,0.0,,,,,,,
death_30d_inhosp,A2,20+12+24,0.1,0.9079100691238876,,0.004651828224662433,-0.002091450118356095,0.01097148960935198,0.0,,,,,,,
death_30d_inhosp,A2,20+8+16,0.1,0.9076757771588608,,0.0055052330553820505,-0.0018622266011775468,0.012734852307582275,0.0,,,,,,,
death_30d_inhosp,B,,,0.9160195191584108,0.005896798593219282,,,,,flat,,,,,,
death_30d_inhosp,B,,,0.9045547288962676,0.008740302571780012,0.011464790262143199,,,,nested,,,,,,
death_30d_inhosp,B2,,,8.0,,,,,,selection,24.0,14+4+8/lf5,,,,
death_30d_inhosp,D,,,0.028439068330974142,,,0.01,0.48000000000000004,,dca,,,1.4902283044880527,0.9357227789347077,0.041826642175919776,0.03902396636439121
