outcome,threshold,nb_model,nb_treat_all,nb_treat_none,prevalence
death_30d_inhosp,0.01,0.04423822577856808,0.04114494579042256,0.0,0.050733496332518335
death_30d_inhosp,0.02,0.03950651165111521,0.03136071054338606,0.0,0.050733496332518335
death_30d_inhosp,0.03,0.03600685604819399,0.021374738487132304,0.0,0.050733496332518335
death_30d_inhosp,0.04,0.031504686226568865,0.011180725346373259,0.0,0.050733496332518335
death_30d_inhosp,0.05,0.029211169733625017,0.0007721014026508752,0.0,0.050733496332518335
death_30d_inhosp,0.060000000000000005,0.02682983925505904,-0.009857982624980506,0.0,0.050733496332518335
death_30d_inhosp,0.06999999999999999,0.023365407366511555,-0.02071667061019533,0.0,0.050733496332518335
death_30d_inhosp,0.08,0.021606250664398856,-0.03181141702987138,0.0,0.050733496332518335
death_30d_inhosp,0.09,0.020869717079986028,-0.043150004030199626,0.0,0.050733496332518335
death_30d_inhosp,0.09999999999999999,0.020714479760934525,-0.054740559630535174,0.0,0.050733496332518335
death_30d_inhosp,0.11,0.019099750006867942,-0.06659157715447378,0.0,0.050733496332518335
death_30d_inhosp,0.12,0.018615247832851747,-0.07871193598577461,0.0,0.050733496332518335
death_30d_inhosp,0.13,0.01881516454486693,-0.09111092375572608,0.0,0.050733496332518335
death_30d_inhosp,0.14,0.018038892363677717,-0.10379826007846707,0.0,0.050733496332518335
death_30d_inhosp,0.15000000000000002,0.018768876743851574,-0.11678412196174318,0.0,0.050733496332518335
death_30d_inhosp,0.16,0.015543136570031436,-0.1300791710327163,0.0,0.050733496332518335
death_30d_inhosp,0.17,0.0155978436975285,-0.14369458273190563,0.0,0.050733496332518335
death_30d_inhosp,0.18000000000000002,0.012180213489176457,-0.15764207764327035,0.0,0.050733496332518335
death_30d_inhosp,0.19,0.012406049080865709,-0.1719339551450391,0.0,0.050733496332518335
death_30d_inhosp,0.2,0.011919315403422982,-0.18658312958435208,0.0,0.050733496332518335
death_30d_inhosp,0.21000000000000002,0.012789762000557084,-0.2016031691993439,0.0,0.050733496332518335
death_30d_inhosp,0.22,0.011676383925772678,-0.2170083380352329,0.0,0.050733496332518335
death_30d_inhosp,0.23,0.011113580795732386,-0.23281364112659958,0.0,0.050733496332518335
death_30d_inhosp,0.24000000000000002,0.011420666580877622,-0.24903487324668644,0.0,0.050733496332518335
death_30d_inhosp,0.25,0.011817440912795438,-0.2656886715566422,0.0,0.050733496332518335
death_30d_inhosp,0.26,0.011299808365823037,-0.2827925725236239,0.0,0.050733496332518335
death_30d_inhosp,0.27,0.01060890243493988,-0.3003650735170982,0.0,0.050733496332518335
death_30d_inhosp,0.28,0.009813909263787012,-0.318425699538169,0.0,0.050733496332518335
death_30d_inhosp,0.29000000000000004,0.009960742449808876,-0.3369950755880024,0.0,0.050733496332518335
death_30d_inhosp,0.3,0.010041914076143906,-0.3560950052392596,0.0,0.050733496332518335
death_30d_inhosp,0.31,0.010098862549165515,-0.37574855603982854,0.0,0.050733496332518335
death_30d_inhosp,0.32,0.009672083992521213,-0.395980152452179,0.0,0.050733496332518335
death_30d_inhosp,0.33,0.01019961318103857,-0.4168156771156444,0.0,0.050733496332518335
death_30d_inhosp,0.34,0.010187449062754685,-0.43828258131436626,0.0,0.050733496332518335
death_30d_inhosp,0.35000000000000003,0.009591875117547489,-0.4604100056422795,0.0,0.050733496332518335
death_30d_inhosp,0.36000000000000004,0.008672066014669926,-0.48322891198044016,0.0,0.050733496332518335
death_30d_inhosp,0.37,0.008208173244848061,-0.5067722280436218,0.0,0.050733496332518335
death_30d_inhosp,0.38,0.007078633961668901,-0.531075005915293,0.0,0.050733496332518335
death_30d_inhosp,0.39,0.0065834301976031104,-0.5561745961761995,0.0,0.050733496332518335
death_30d_inhosp,0.4,0.005704971475142624,-0.5821108394458029,0.0,0.050733496332518335
death_30d_inhosp,0.41000000000000003,0.0034602793087729466,-0.6089262774025114,0.0,0.050733496332518335
death_30d_inhosp,0.42000000000000004,0.003688559143411178,-0.6366663856335892,0.0,0.050733496332518335
death_30d_inhosp,0.43,0.0028739329987560597,-0.6653798309955817,0.0,0.050733496332518335
death_30d_inhosp,0.44,0.0020520433112120153,-0.6951187565490744,0.0,0.050733496332518335
death_30d_inhosp,0.45,0.002833963102911758,-0.7259390975772393,0.0,0.050733496332518335
death_30d_inhosp,0.46,0.002558181653536176,-0.7579009327175587,0.0,0.050733496332518335
death_30d_inhosp,0.47000000000000003,0.002387322969045532,-0.7910688748443051,0.0,0.050733496332518335
death_30d_inhosp,0.48000000000000004,0.000376151965394019,-0.8255125070528494,0.0,0.050733496332518335
death_30d_inhosp,0.49,-0.00041948319670166365,-0.8613068699362385,0.0,0.050733496332518335
death_30d_inhosp,0.5,-0.0006112469437652814,-0.8985330073349633,0.0,0.050733496332518335
death_30d,0.01,0.08659331703341484,0.08374700550739671,0.0,0.09290953545232274
death_30d,0.02,0.08080934085125492,0.07439748515543136,0.0,0.09290953545232274
death_30d,0.03,0.07527789680639226,0.06485519118796158,0.0,0.09290953545232274
death_30d,0.04,0.07184698451507743,0.05511409942950284,0.0,0.09290953545232274
death_30d,0.05,0.06820229056749452,0.04516793205507656,0.0,0.09290953545232274
death_30d,0.060000000000000005,0.06614472246787702,0.035010144098215665,0.0,0.09290953545232274
death_30d,0.06999999999999999,0.06399032520966427,0.024633909088519076,0.0,0.09290953545232274
death_30d,0.08,0.06200170086106092,0.014032103752524713,0.0,0.09290953545232274
death_30d,0.09,0.057766194685510086,0.0031972917058491618,0.0,0.09290953545232274
death_30d,0.09999999999999999,0.05433306166802499,-0.007878293941863623,0.0,0.09290953545232274
death_30d,0.11,0.05184610312903492,-0.019202769154693558,0.0,0.09290953545232274
death_30d,0.12,0.048288508557457206,-0.030784618804178696,0.0,0.09290953545232274
death_30d,0.13,0.04563977180114099,-0.042632717870893413,0.0,0.09290953545232274
death_30d,0.14,0.04332745778131575,-0.054756354125206144,0.0,0.09290953545232274
death_30d,0.15000000000000002,0.04185243779663454,-0.06716525240903211,0.0,0.09290953545232274
death_30d,0.16,0.03836302247060193,-0.07986960065199676,0.0,0.09290953545232274
death_30d,0.17,0.037315521253719036,-0.09288007776828587,0.0,0.09290953545232274
death_30d,0.18000000000000002,0.03594430198580713,-0.1062078835947284,0.0,0.09290953545232274
death_30d,0.19,0.03514292613722117,-0.11986477104651512,0.0,0.09290953545232274
death_30d,0.2,0.03346577017114914,-0.13386308068459657,0.0,0.09290953545232274
